,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,26-02-2020 00:24:07,Tbilisi,21de5577be,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),True,1,нет,Тбилиси,0.5 гр,0.003,1883,713,65,29.0,,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
1,1,26-02-2020 00:24:07,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,,3,нет,Тбилиси,0.5 гр,0.0093,6427,2432,220,99.0,True,,,,,,,,Cocaine Pure VHQ 0.5g
2,2,26-02-2020 00:24:07,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,,1,нет,Тбилиси,0.5 гр,0.0108,7076,2678,242,109.0,True,,,,,,,,Pure COCAINE VHQ 0.5g
3,3,26-02-2020 00:24:07,Tbilisi,edfbad0151,THC Snow Buds Only 0.5 G (THC 23+%),,8,нет,Тбилиси,0.5 гр,0.0031,1948,737,67,30.0,True,,,,,,,,THC Snow Buds Only 0.5 G (THC 23+%)
4,4,26-02-2020 00:24:07,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,,6,нет,Тбилиси,0.5 гр,0.0104,6427,2432,220,99.0,True,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
5,5,26-02-2020 00:24:07,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),,6,нет,Тбилиси,0.8 гр,0.0156,9738,3686,334,150.0,True,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
6,6,26-02-2020 00:24:07,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,,3,нет,Тбилиси,1 гр,0.0124,7791,2948,267,120.0,True,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
7,7,26-02-2020 00:24:07,Tbilisi,4a91350669,1 gr гашиш VHQ gorilla glue hash тгк 28 %,,1,нет,Тбилиси,1 гр,0.0093,5843,2211,200,90.0,True,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
8,8,26-02-2020 00:24:07,Tbilisi,bb1791277e,1 gr сжатая марихуана EUPHORIA шишки low thc.,,3,нет,Тбилиси,1 гр,0.0036,2272,860,78,35.0,True,,,,,,,,1 gr szhataja marihuana EUPHORIA shishki low thc.
9,9,26-02-2020 00:24:07,Tbilisi,cb721d4bca,"1 mdma very strong best quality , import califronia , лучши мдма на саите",,3,нет,Тбилиси,1 гр,0.0104,6492,2457,222,100.0,True,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
10,10,26-02-2020 00:24:07,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,,5,нет,Тбилиси,1 гр,0.0088,5518,2088,189,85.0,True,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
11,11,26-02-2020 00:24:07,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,True,9,нет,Тбилиси,1 гр,0.0038,2402,909,82,37.0,True,,,,,,,,1G -- AK-47 -> Sativa
12,12,26-02-2020 00:24:07,Tbilisi,cb721d4bca,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",,5,нет,Тбилиси,1 гр,0.0096,5989,2267,205,,True,85.0,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
13,13,26-02-2020 00:24:07,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,,8,нет,Тбилиси,1 гр,0.0088,5518,2088,189,85.0,True,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
14,14,26-02-2020 00:24:07,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),,3,нет,Тбилиси,1 гр,0.0097,6341,2400,217,,True,90.0,,,,,,,1gr mdma (skidka v bitkoin 5%)
15,15,26-02-2020 00:24:07,Tbilisi,ae784bef73,Afghan HQ buds ! NEW ! 1G,,6,нет,Тбилиси,1 гр,0.0049,3051,1155,105,47.0,True,,,,,,,,Afghan HQ buds ! NEW ! 1G
16,16,26-02-2020 00:24:07,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,5,нет,Тбилиси,1 гр,0.0179,12335,4668,423,190.0,True,,,,,,,,Cocaine Pure VHQ 1g
17,17,26-02-2020 00:24:07,Tbilisi,8219f5e7b8,"Cocaine, 1g",,5,нет,Тбилиси,1 гр,0.023,14283,5405,489,220.0,True,,,,,,,,"Cocaine, 1g"
18,18,26-02-2020 00:24:07,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",,1,нет,Тбилиси,1 гр,0.0042,2597,983,89,40.0,True,,,,,,,,"LSD - 250 ug, 1piece"
19,19,26-02-2020 00:24:07,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,,1,нет,Тбилиси,1 гр,0.0198,12919,4889,443,199.0,True,,,,,,,,VHQ BEST Cocaine 1g.
20,20,26-02-2020 00:24:07,Tbilisi,dd631c4acf,☃️❄1g. New COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.0189,11686,4423,400,180.0,True,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
21,21,26-02-2020 00:24:07,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,2,нет,Тбилиси,1 гр,0.0114,7076,2678,242,109.0,True,,,,,,,,✨ 1g. MDMA ✨
22,22,26-02-2020 00:24:07,Tbilisi,7ee4f68218,🍃 1гр ГАШИШ 🍃,,1,нет,Тбилиси,1 гр,0.0065,4220,1597,145,65.0,True,,,,,,,,🍃 1gr GAShISh 🍃
23,23,26-02-2020 00:24:07,Tbilisi,dd631c4acf,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,,2,нет,Тбилиси,1 гр,0.0072,4480,1695,154,69.0,True,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
24,24,26-02-2020 00:24:07,Tbilisi,4a91350669,2 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,1,нет,Тбилиси,2 гр,0.0196,12270,4644,420,189.0,True,,,,,,,,2 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
25,25,26-02-2020 00:24:07,Tbilisi,7ee4f68218,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",,2,нет,Тбилиси,2 гр,0.0076,4932,1867,168,,True,70.0,,,,,,,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
26,26,26-02-2020 00:24:07,Tbilisi,21de5577be,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),True,1,нет,Тбилиси,2 гр,0.0085,5324,2015,182,82.0,,,,,,,,,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
27,27,26-02-2020 00:24:07,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,,4,нет,Тбилиси,2 гр,0.0083,5129,1941,176,79.0,True,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
28,28,26-02-2020 00:24:07,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,1,нет,Тбилиси,2 гр,0.0073,4545,1720,156,70.0,True,,,,,,,,2x Extasy Duracell 223mg MDMA.
29,29,26-02-2020 00:24:07,Tbilisi,8219f5e7b8,"Cocaine, 2 g",,1,нет,Тбилиси,2 гр,0.0419,25969,9828,890,400.0,True,,,,,,,,"Cocaine, 2 g"
30,30,26-02-2020 00:24:07,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,3,нет,Тбилиси,2 гр,0.0354,22398,8477,767,345.0,True,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
31,31,26-02-2020 00:24:07,Tbilisi,8219f5e7b8,Ketamine 2 g,,4,нет,Тбилиси,2 гр,0.0188,11686,4423,400,180.0,True,,,,,,,,Ketamine 2 g
32,32,26-02-2020 00:24:07,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",,6,нет,Тбилиси,2 гр,0.0073,4545,1720,156,70.0,True,,,,,,,,"LSD - 250 ug, 2 pieces"
33,33,26-02-2020 00:25:04,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0363,22658,8575,776,349.0,,,True,,,,,,Kokain KOLUMBIA 2g
34,34,26-02-2020 00:25:04,Tbilisi,7ee4f68218,🍃 2гр ГАШИШ 🍃,,6,нет,Тбилиси,2 гр,0.011000000000000001,7141,2703,245,110.0,True,,,,,,,,🍃 2gr GAShISh 🍃
35,35,26-02-2020 00:25:04,Tbilisi,7c395c455d,3gr bubble hash thc 25% гашиш вишего качество HQ,,1,нет,Тбилиси,3 гр,0.0255,15906,6020,545,245.0,True,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
36,36,26-02-2020 00:25:04,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,4,нет,Тбилиси,3 гр,0.011000000000000001,6817,2580,234,105.0,True,,,,,,,,3x Extasy Duracell 223mg MDMA
37,37,26-02-2020 00:25:04,Tbilisi,ae784bef73,NEW ! Easy Bud ! 3g,,5,нет,Тбилиси,3 гр,0.0083,5194,1966,178,80.0,True,,,,,,,,NEW ! Easy Bud ! 3g
38,38,26-02-2020 00:25:04,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,,1,нет,Тбилиси,3 гр,0.0121,7466,2826,256,115.0,True,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
39,39,26-02-2020 00:25:04,Tbilisi,4be7861731,metadon sirop 4ml,,2,нет,Тбилиси,4 гр,0.006999999999999999,4350,1646,149,67.0,True,,,,,,,,metadon sirop 4ml
40,40,26-02-2020 00:25:04,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,,3,нет,Тбилиси,5 гр,0.0163,10063,3808,345,155.0,True,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
41,41,26-02-2020 00:25:04,Tbilisi,7ee4f68218,"5 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",,1,нет,Тбилиси,5 гр,0.0179,11626,4401,397,,True,165.0,,,,,,,"5 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
42,42,26-02-2020 00:25:04,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",,2,нет,Тбилиси,5 гр,0.0157,9738,3686,334,150.0,True,,,,,,,,"LSD - 250 ug, 5 pieces"
43,43,26-02-2020 00:25:04,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,,1,нет,Тбилиси,5 гр,0.0167,10322,3907,354,159.0,True,,,,,,,,NEW !!! 5G OG KusH !!! NEW
44,44,26-02-2020 00:25:04,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,,1,нет,Тбилиси,5 гр,0.0162,9998,3784,343,154.0,True,,,,,,,,NEW !!! 5G White Widow !!! NEW
45,45,26-02-2020 00:25:04,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,5 гр,0.0061,4220,1597,145,65.0,True,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
46,46,26-02-2020 00:25:04,Tbilisi,c225d2f67d,гашиш евро 5г,,1,нет,Тбилиси,5 гр,0.0209,13633,5160,467,210.0,True,,,,,,,,gashish evro 5g
47,47,26-02-2020 00:25:04,Tbilisi,7ee4f68218,🍃 5гр ГАШИШ 🍃,,3,нет,Тбилиси,5 гр,0.0269,17529,6634,601,270.0,True,,,,,,,,🍃 5gr GAShISh 🍃
48,48,26-02-2020 00:25:04,Tbilisi,7ee4f68218,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",,1,нет,Тбилиси,10 гр,0.0325,21138,8001,722,,True,300.0,,,,,,,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
49,49,26-02-2020 00:25:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,11,нет,Тбилиси,10 гр,0.0278,17334,6560,594,267.0,True,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
50,50,26-02-2020 00:25:04,Tbilisi,8219f5e7b8,"LSD - 250 ug, 10 pieces",,2,нет,Тбилиси,10 гр,0.0315,19476,7371,667,300.0,True,,,,,,,,"LSD - 250 ug, 10 pieces"
51,51,26-02-2020 00:25:04,Tbilisi,e501bd0ada,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road",,2,нет,Тбилиси,10 гр,0.0239,15581,5897,534,240.0,True,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road"
52,52,26-02-2020 00:25:04,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0399,25969,9828,890,400.0,True,,,,,,,,gashish evro 10g
53,53,26-02-2020 00:25:04,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",,12,нет,Тбилиси,10 гр,0.009000000000000001,6168,2334,211,95.0,True,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
54,54,26-02-2020 00:25:04,Tbilisi,e501bd0ada,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road",,3,нет,Тбилиси,20 гр,0.0449,29215,11057,1001,450.0,True,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road"
55,55,26-02-2020 00:25:04,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0775,50444,19091,1729,777.0,True,,,,,,,,Gashish Evro 20gr
56,56,26-02-2020 00:25:04,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.17 G,,2,4,Тбилиси,0.17 гр,0.0157,9738,3686,334,150.0,True,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.17 G
57,57,26-02-2020 00:25:04,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,1,5,Тбилиси,0.27 гр,0.0238,14737,5577,505,227.0,True,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
58,58,26-02-2020 00:25:04,Tbilisi,2dbb5960b9,Methadone HQ in city 0.35g,,нет,1,Тбилиси,0.35 гр,0.0187,11686,4423,400,180.0,True,,,,,,,,Methadone HQ in city 0.35g
59,59,26-02-2020 00:25:04,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),,нет,5,Тбилиси,0.35 гр,0.0315,19476,7371,667,300.0,True,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
60,60,26-02-2020 00:25:04,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),,нет,5,Тбилиси,1 гр,0.063,38953,14742,1335,600.0,True,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
61,61,26-02-2020 00:25:04,Tbilisi,cb721d4bca,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,,нет,5,Тбилиси,2 гр,0.0174,10842,4103,372,167.0,True,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
