,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Old Tbilisi (Старый город),Авлобари,€,Didube,Varketili,Vake,Батуми,Центр,desc_en
24,24,03-08-2020 22:21:15,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0044,3708,1398,122,50.0,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
25,25,03-08-2020 22:21:15,Tbilisi,67187efef3,АКЦИЯ! 1g hindu kish best buds BTC 5% sale,True,2,нет,Тбилиси,1 гр,0.0034,2966,1118,98,40.0,,,,,,,,,,,AKTsIJa! 1g hindu kish best buds BTC 5% sale
26,26,03-08-2020 22:21:15,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,2 гр,0.0105,8899,3354,293,120.0,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
27,27,03-08-2020 22:21:15,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0105,8899,3354,293,120.0,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
28,28,03-08-2020 22:21:15,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,2,нет,Тбилиси,2 гр,0.0077,6526,2460,215,88.0,,,,,,,,,,,2gr HYBRID buds
29,29,03-08-2020 22:21:15,Tbilisi,ae784bef73,Maserati (ecstasy) 2шт,True,3,нет,Тбилиси,2 гр,0.0087,7416,2795,244,100.0,,,,,,,,,,,Maserati (ecstasy) 2sht
30,30,03-08-2020 22:21:15,Tbilisi,7c395c455d,5 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 2g,True,5,нет,Тбилиси,2.2 гр,0.0218,18540,6988,609,250.0,,,,,,,,,,,5 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 2g
31,31,03-08-2020 22:21:15,Tbilisi,4a91350669,3 ecstasy red maseratti VHQ екстази импорт с США,True,2,нет,Тбилиси,3 гр,0.0131,11124,4193,366,150.0,,,,,,,,,,,3 ecstasy red maseratti VHQ ekstazi import s SShA
32,32,03-08-2020 22:21:15,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,2,нет,Тбилиси,3 гр,0.0071,6674,2516,219,90.0,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
33,33,03-08-2020 22:21:15,Tbilisi,4a91350669,5 ecstasy red maseratti VHQ екстази импорт с США,True,8,нет,Тбилиси,5 гр,0.0218,18540,6988,609,250.0,,,,,,,,,,,5 ecstasy red maseratti VHQ ekstazi import s SShA
34,34,03-08-2020 22:21:15,Tbilisi,c47f675e02,LSD-25 шишки 10gram,True,1,нет,Тбилиси,10 гр,0.0394,34855,13137,1146,470.0,,,,,,,,,,,LSD-25 shishki 10gram
35,35,03-08-2020 22:22:32,Tbilisi,4a91350669,5 ecstasy red maseratti VHQ екстази импорт с США,True,8,нет,Тбилиси,5 гр,0.0218,18540,6988,609,250.0,,,,,,,,,,,5 ecstasy red maseratti VHQ ekstazi import s SShA
36,36,03-08-2020 22:22:32,Tbilisi,c47f675e02,LSD-25 шишки 10gram,True,1,нет,Тбилиси,10 гр,0.0393,34855,13137,1146,470.0,,,,,,,,,,,LSD-25 shishki 10gram
37,37,03-08-2020 22:22:32,Tbilisi,7bd1a5deba,15 + GRAMM NEW BEASTWEED,True,1,нет,Тбилиси,15 гр,0.0166,15499,5842,509,209.0,,,,,,,,,,,15 + GRAMM NEW BEASTWEED
38,38,03-08-2020 22:22:32,Tbilisi,fccfd69694,Мощные Кексы / Marijuana cupcakes (75g),True,2,нет,Тбилиси,75 гр,0.0022,1854,699,61,25.0,,,,,,,,,,,Moschnye Keksy / Marijuana cupcakes (75g)
39,39,03-08-2020 22:22:32,Tbilisi,7c395c455d,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,2,Тбилиси,4.4 гр,0.0419,35596,13416,1170,480.0,,,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
40,40,03-08-2020 22:22:32,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0218,18540,6988,609,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
41,41,03-08-2020 22:22:32,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0236,20023,7547,658,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
42,42,03-08-2020 22:22:32,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.024,20394,7686,670,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
43,43,03-08-2020 22:22:32,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0209,17798,6708,585,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
44,44,03-08-2020 22:22:32,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0244,20764,7826,683,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
45,45,03-08-2020 22:22:32,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0236,20023,7547,658,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
