,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Varketili,Zahesi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,26-06-2020 14:35:24,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,9,нет,Тбилиси,0.25 гр,0.0101,6947,2683,238,89.0,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,26-06-2020 14:35:24,Tbilisi,21e6be39fb,"Black Gerain, Sirec VHQ 0.4g",,3,нет,Тбилиси,0.4 гр,0.0123,8336,3217,286,,True,120.0,,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
2,2,26-06-2020 14:35:24,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,,9,нет,Тбилиси,0.5 гр,0.0165,11045,4263,379,,True,159.0,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,3,26-06-2020 14:35:24,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",,5,нет,Тбилиси,0.5 гр,0.0154,10420,4022,357,,True,150.0,,,,,,,,,"Black Geroin, Sirec 0.5g"
4,4,26-06-2020 14:35:24,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet,,6,нет,Тбилиси,0.5 гр,0.0151,10212,3941,350,,True,147.0,True,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet
5,5,26-06-2020 14:35:24,Tbilisi,8e86176694,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr",,7,нет,Тбилиси,0.5 гр,0.003,2084,804,71,,,30.0,,True,,,,,,,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr"
6,6,26-06-2020 14:35:24,Tbilisi,8e86176694,КЕТАМИН WHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.013999999999999999,10420,4022,357,,True,150.0,,,,,,,,,KETAMIN WHQ 0.5g
7,7,26-06-2020 14:35:24,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,,4,нет,Тбилиси,0.5 гр,0.003,2015,777,69,,,29.0,,,True,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
8,8,26-06-2020 14:35:24,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,7,нет,Тбилиси,1 гр,0.0062,4168,1609,143,,,60.0,,True,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
9,9,26-06-2020 14:35:24,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,4,нет,Тбилиси,1 гр,0.0061,4099,1582,141,,True,59.0,,,,,,,,,1 G Hybrid Marijuana Buds
10,10,26-06-2020 14:35:24,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,1,нет,Тбилиси,1 гр,0.0062,4168,1609,143,,True,60.0,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
11,11,26-06-2020 14:35:24,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,2,нет,Тбилиси,1 гр,0.0061,4099,1582,141,,True,59.0,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
12,12,26-06-2020 14:35:24,Tbilisi,64284550d9,1G ---> Top BUDS (BTC - Sale),,24,нет,Тбилиси,1 гр,0.0057,3821,1475,131,,,55.0,,True,,,,,,,1G ---> Top BUDS (BTC - Sale)
13,13,26-06-2020 14:35:24,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,7,нет,Тбилиси,1 гр,0.0062,4168,1609,143,,,60.0,True,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
14,14,26-06-2020 14:35:24,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,7,нет,Тбилиси,1 гр,0.0062,4168,1609,143,,True,60.0,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
15,15,26-06-2020 14:35:24,Tbilisi,16a8841259,Skunk 1Г,,8,нет,Тбилиси,1 гр,0.0057,3821,1475,131,,True,55.0,,,,,,,,,Skunk 1G
16,16,26-06-2020 14:35:24,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,2,нет,Тбилиси,2 гр,0.0102,6877,2654,236,,,99.0,,True,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
17,17,26-06-2020 14:35:24,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,4,нет,Тбилиси,2 гр,0.0112,7572,2922,260,,True,109.0,,,,,,,,,2 G Hybrid Marijuana Buds
18,18,26-06-2020 14:35:24,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,4,нет,Тбилиси,2 гр,0.0113,7641,2949,262,,,110.0,True,True,,True,,,,,2 gr top buds white widow wishki THC 25% VHQ
19,19,26-06-2020 14:35:24,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,2 гр,0.0123,8336,3217,286,,,120.0,,True,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
20,20,26-06-2020 14:35:24,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,2,нет,Тбилиси,2 гр,0.0123,8336,3217,286,,,120.0,,True,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
21,21,26-06-2020 14:35:24,Tbilisi,0dec0e1c48,2gr HYBRID buds,,6,нет,Тбилиси,2 гр,0.009000000000000001,6113,2359,210,,True,88.0,,,,,,,,,2gr HYBRID buds
22,22,26-06-2020 14:35:24,Tbilisi,ebadfc162f,Bubba Kush 2G Super strong indica dominant weed 100%шишки!,True,1,нет,Тбилиси,2 гр,0.0108,7294,2815,250,,,105.0,,,,,,,,,Bubba Kush 2G Super strong indica dominant weed 100%shishki!
23,23,26-06-2020 14:35:24,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,,2,нет,Тбилиси,2 гр,0.0123,8336,3217,286,,True,120.0,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
