,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Gldani,Vazisubani,Varketili,Didube,€,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
24,24,26-05-2020 06:46:33,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0153,10023,3787,336,140.0,,,,,,,True,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
25,25,26-05-2020 06:46:33,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0601,39378,14878,1320,550.0,,,,,,,,,,,,,"""Kief"" Weed trichomes 5G"
26,26,26-05-2020 06:46:33,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0601,39378,14878,1320,550.0,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
27,27,26-05-2020 06:46:33,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.0257,16825,6357,564,235.0,,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
28,28,26-05-2020 06:46:33,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0262,17183,6492,576,240.0,,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
29,29,26-05-2020 06:46:33,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0251,16467,6222,552,230.0,,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
30,30,26-05-2020 06:46:33,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,1,Тбилиси,5 гр,0.0174,11384,4301,382,159.0,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
31,31,26-05-2020 06:46:33,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0262,17183,6492,576,240.0,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
32,32,26-05-2020 06:46:33,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0262,17183,6492,576,240.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
33,33,26-05-2020 06:47:05,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0251,16467,6222,552,230.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
