,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Vake,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,05-03-2020 12:42:58,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,1,нет,Тбилиси,1 гр,0.0054,3304,1244,112,50,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
1,05-03-2020 12:42:58,Tbilisi,03F3,geoshop,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,4,нет,Тбилиси,1 гр,0.0086,5286,1990,178,80,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
2,05-03-2020 12:42:58,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,6,нет,Тбилиси,1 гр,0.0191,12225,4603,413,185,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
3,05-03-2020 12:42:58,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0878,59471,22392,2008,900,,,,,,,,,Metadon 1gr
4,05-03-2020 12:42:58,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 1гр.,True,1,нет,Тбилиси,1 гр,0.0591,40000,18406,1352,,,,,,,,,,reagent 25i nbome. 1gr.
5,05-03-2020 12:42:58,Tbilisi,9VLN,AlienShop,☃️❄1g. New COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0195,11894,4478,402,180,,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
6,05-03-2020 12:42:58,Tbilisi,03F3,geoshop,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,1,нет,Тбилиси,1.2 гр,0.0129,7929,2986,268,120,,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
7,05-03-2020 12:42:58,Tbilisi,JVZTQ,partyshop,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,5,нет,Тбилиси,2 гр,0.0097,5947,2239,201,90,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
8,05-03-2020 12:42:58,Tbilisi,0WE,Khachapuri,2 g Ketamine / 2 гр Кетамин (скидка в биткоин),True,1,нет,Тбилиси,2 гр,0.0154,9912,3732,335,150,,,,,,,,,2 g Ketamine / 2 gr Ketamin (skidka v bitkoin)
9,05-03-2020 12:42:58,Tbilisi,0WE,Khachapuri,2 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,2 гр,0.0195,12535,4711,423,,170,,,,,,,,2 gr mdma (skidka v bitkoin 5%)
