,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Saburtalo,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
0,0,15-06-2020 15:04:06,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,True,3,нет,Тбилиси,0.25 гр,0.0127,8447,3235,285,120.0,,,,,,,,,,NEW Iranian Sirec 0.25g.
1,1,15-06-2020 15:04:06,Tbilisi,4a91350669,1 г шишки марихуана индика тгк 21% VHQ,,14,нет,Тбилиси,1 гр,0.0042,2816,1078,95,40.0,True,,,,,,,,,1 g shishki marihuana indika tgk 21% VHQ
2,2,15-06-2020 15:04:06,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0116,7673,2939,259,109.0,,True,,,,,,,,✨ 1g. MDMA ✨
3,3,15-06-2020 15:04:06,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,6,нет,Тбилиси,2 гр,0.0093,6195,2372,209,88.0,,,,,,,,,,2gr HYBRID buds
4,4,15-06-2020 15:04:06,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,2 гр,0.009000000000000001,5984,2292,202,85.0,,,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
5,5,15-06-2020 15:04:06,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,True,6,нет,Тбилиси,3 гр,0.0073,4857,1860,164,69.0,,,,,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
6,6,15-06-2020 15:04:06,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,4 гр,0.0148,9855,3774,333,140.0,,True,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
7,7,15-06-2020 15:04:06,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,7,нет,Тбилиси,5 гр,0.0187,12319,4718,416,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
8,8,15-06-2020 15:04:06,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 5gr marijuana buds -indica- (КЛАДИ НА МАГНИТАХ),True,5,нет,Тбилиси,5 гр,0.0105,6969,2669,235,99.0,,,,,,,,,,AKTsIJa! SUPER TsENA! 5gr marijuana buds -indica- (KLADI NA MAGNITAH)
9,9,15-06-2020 15:04:06,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,True,6,нет,Тбилиси,10 гр,0.0015,986,377,33,14.0,,,,,,,,,,GABAGAMA 10 shtuk
10,10,15-06-2020 15:04:06,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),True,4,нет,Тбилиси,10 гр,0.021,14009,5365,473,199.0,,,,,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
11,11,15-06-2020 15:04:06,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,10 гр,0.0082,5984,2292,202,85.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
12,12,15-06-2020 15:04:06,Tbilisi,e56bb6ca93,"Отходы, листья и шишки. 🍃 Leafs and Buds (Good for making bubble hash)",True,6,нет,Тбилиси,10 гр,0.01,6617,2534,224,94.0,,,,,,,,,,"Othody, list'ja i shishki. 🍃 Leafs and Buds (Good for making bubble hash)"
13,13,15-06-2020 15:04:06,Tbilisi,83f3d55917,Химка !! 10 г %%5%% скидка новинка !!!!,,2,нет,Тбилиси,10 гр,0.0066,4576,1752,155,65.0,,,,True,,,,,,Himka !! 10 g %%5%% skidka novinka !!!!
14,14,15-06-2020 15:04:06,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,8,нет,Тбилиси,10 гр,0.0091,6688,2561,226,95.0,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
15,15,15-06-2020 15:04:06,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.048,35198,13480,1189,500.0,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
16,16,15-06-2020 15:04:06,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2133,140790,53920,4756,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
17,17,15-06-2020 15:04:06,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G Same Day,True,нет,2,Тбилиси,0.5 гр,0.0179,11897,4556,402,169.0,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G Same Day
18,18,15-06-2020 15:04:06,Tbilisi,52fe6d0af9,New !!! VHQ Ketamine Imported!! New!!! 0.5G,True,нет,1,Тбилиси,0.5 гр,0.0116,7743,2966,262,110.0,,,,,,,,,,New !!! VHQ Ketamine Imported!! New!!! 0.5G
19,19,15-06-2020 15:04:06,Tbilisi,52fe6d0af9,New !!! VHQ Ketamine Imported!! New!!! 1G,True,нет,1,Тбилиси,1 гр,0.0169,11263,4314,381,160.0,,,,,,,,,,New !!! VHQ Ketamine Imported!! New!!! 1G
