,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Gldani,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,19-05-2020 00:49:39,Tbilisi,H9FHF,OldStar,0.3 a-pvp white,True,17,нет,Тбилиси,0.3 гр,0.0098,3221,234,7000,,,,,,,,,,,0.3 a-pvp white
1,19-05-2020 00:49:39,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,18,нет,Тбилиси,0.5 гр,0.0164,4253,389,11604,159,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,19-05-2020 00:49:39,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0138,3611,330,9852,135,,,,,,,,,,Cocaine Pure VHQ 0.5g
3,19-05-2020 00:49:39,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,4,нет,Тбилиси,0.5 гр,0.0056,1471,135,4014,55,True,,,,,,,,,HQ Euro Hashish 0.5 g
4,19-05-2020 00:49:40,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,2,нет,Тбилиси,0.5 гр,0.0028,722,66,1970,27,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
5,19-05-2020 00:49:40,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0134,3478,318,9487,130,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
6,19-05-2020 00:49:40,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,1,нет,Тбилиси,1 гр,0.0308,7998,731,21821,299,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
7,19-05-2020 00:49:40,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.024,6286,575,17150,235,,,,,,,,,,Cocaine Pure VHQ 1g
8,19-05-2020 00:49:40,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0835,24075,2202,65682,900,,,,,,,,,,Metadon 1gr
9,19-05-2020 00:49:40,Tbilisi,9VLN,AlienShop,✨ 1g. MDMA ✨,,2,нет,Тбилиси,1 гр,0.0112,2916,267,7955,109,True,,,,,,,,,✨ 1g. MDMA ✨
10,19-05-2020 00:49:40,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,2 гр,0.0092,2381,218,6495,89,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
11,19-05-2020 00:49:40,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds.,,1,нет,Тбилиси,2 гр,0.0088,2274,208,6203,85,,True,,,,,,,,2g super Skunk top class buds.
12,19-05-2020 00:49:40,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.0072,1873,171,5109,70,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
13,19-05-2020 00:49:40,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,2 гр,0.0091,2381,218,6495,89,True,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
14,19-05-2020 00:49:40,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,2,нет,Тбилиси,2 гр,0.0485,12840,1174,35030,480,,,,,,,,,,VHQ BEST Cocaine 2g.
