,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Nadzaladevi,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,08-04-2020 21:08:51,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,6,нет,Тбилиси,0.12 гр,0.0133,8332,3031,281,110.0,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,08-04-2020 21:08:51,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,3,нет,Тбилиси,0.3 гр,0.0105,6000,2761,203,,,,,,,,,,,0.3 a-pvp white
2,2,08-04-2020 21:08:51,Tbilisi,54915c4374,MDMA 0.4 грам.,True,3,нет,Тбилиси,0.4 гр,0.0078,4924,1791,166,65.0,,,,,,,,,,MDMA 0.4 gram.
3,3,08-04-2020 21:08:51,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0139,8257,3003,278,109.0,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,4,08-04-2020 21:08:51,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни! НУЖЕН КУРЬЕР,True,6,нет,Тбилиси,0.5 гр,0.0099,5681,2066,191,75.0,,,,,,,,,,MDMA 0.5gr ogromnye kamni! NUZhEN KUR'ER
5,5,08-04-2020 21:08:51,Tbilisi,99accec7c7,MEPHEDRONE 0.5 gr,True,1,нет,Тбилиси,0.5 гр,0.0073,4166,1515,140,55.0,,,,,,,,,,MEPHEDRONE 0.5 gr
6,6,08-04-2020 21:08:51,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0165,9847,3582,332,130.0,,,,,,,,,,Pure COCAINE VHQ 0.5g
7,7,08-04-2020 21:08:51,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.6 грамм",True,1,нет,Тбилиси,0.6 гр,0.0108,6818,2480,230,90.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.6 gramm"
8,8,08-04-2020 21:08:51,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,2,нет,Тбилиси,1 гр,0.0072,4545,1653,153,60.0,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
9,9,08-04-2020 21:08:51,Tbilisi,f25c0d6c5c,1 a-pvp white,True,1,нет,Тбилиси,1 гр,0.0245,14000,6442,474,,,,,,,,,,,1 a-pvp white
10,10,08-04-2020 21:08:51,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0247,14695,5345,495,194.0,,,,,,,,,,Cocaine Pure VHQ 1g
11,11,08-04-2020 21:08:51,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0795,45450,16530,1531,600.0,True,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
12,12,08-04-2020 21:08:51,Tbilisi,99accec7c7,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,,2,нет,Тбилиси,1 гр,0.0928,53025,19285,1786,700.0,True,,,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
13,13,08-04-2020 21:08:51,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,6,нет,Тбилиси,1 гр,0.0267,15907,5786,536,210.0,,,,,,,,,,VHQ BEST Cocaine 1g.
14,14,08-04-2020 21:08:51,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1084,68175,24795,2297,900.0,,,,,,,,,,Metadon 1gr
15,15,08-04-2020 21:08:51,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,8,нет,Тбилиси,1 гр,0.0024,1515,551,51,20.0,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
16,16,08-04-2020 21:08:51,Tbilisi,83f3d55917,19% ТГК Шишки Northern Lights 1.1г Скидка 5% через БИТКОИН,,5,нет,Тбилиси,1.1 гр,0.0064,3788,1378,128,50.0,,True,,,,,,,,19% TGK Shishki Northern Lights 1.1g Skidka 5% cherez BITKOIN
17,17,08-04-2020 21:08:51,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,2 гр,0.0094,5303,1929,179,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
18,18,08-04-2020 21:08:51,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,2 гр,0.0042,2651,964,89,35.0,True,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
19,19,08-04-2020 21:08:51,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍2 LSD 200ug.🌈️‍🌈️‍🤩,True,1,нет,Тбилиси,2 гр,0.0119,6742,2452,227,89.0,,,,,,,,,,️‍🤩🌈️‍🌈️‍2 LSD 200ug.🌈️‍🌈️‍🤩
20,20,08-04-2020 21:08:51,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0407,24240,8816,817,320.0,,,,,,,,,,"5 Grm MDMA , Purity A +++"
21,21,08-04-2020 21:08:51,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0394,22725,8265,766,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
22,22,08-04-2020 21:08:51,Tbilisi,64284550d9,5G ---> ONLY BUDS,,1,нет,Тбилиси,5 гр,0.0126,7196,2617,242,95.0,True,,,,,,,,,5G ---> ONLY BUDS
23,23,08-04-2020 21:08:51,Tbilisi,f4d1c31614,5g MDMA (IMPORTED),True,2,нет,Тбилиси,5 гр,0.0509,30300,11020,1021,400.0,,,,,,,,,,5g MDMA (IMPORTED)
24,24,08-04-2020 21:08:51,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (hight quality),True,15,нет,Тбилиси,5 гр,0.0178,10150,3692,342,134.0,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
25,25,08-04-2020 21:08:51,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0234,13256,4821,447,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
26,26,08-04-2020 21:08:51,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,1,нет,Тбилиси,5 гр,0.009000000000000001,5681,2066,191,75.0,,,True,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
27,27,08-04-2020 21:08:51,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,5 гр,0.0066,4166,1515,140,55.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
28,28,08-04-2020 21:08:51,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0484,27649,10056,931,365.0,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
