,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Varketili,Батуми,Центр,€,desc_en
0,0,16-08-2020 03:14:07,Tbilisi,8ddca45a78,"0,5G ☠️DURBAN POISON (100% sativa)",True,3,нет,Тбилиси,0.5 гр,0.0024,2123,800,71,29.0,,,,,,,,,,,"0,5G ☠️DURBAN POISON (100% sativa)"
1,1,16-08-2020 03:14:07,Tbilisi,8ddca45a78,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)",True,5,нет,Тбилиси,0.5 гр,0.0024,2123,800,71,29.0,,,,,,,,,,,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)"
2,2,16-08-2020 03:14:07,Tbilisi,8ddca45a78,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,4,нет,Тбилиси,0.5 гр,0.0024,2123,800,71,29.0,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
3,3,16-08-2020 03:14:07,Tbilisi,16a8841259,0.5 Gram Northern-Light DOMINANT INDICA,True,2,нет,Тбилиси,0.5 гр,0.0024,2050,773,69,28.0,,,,,,,,,,,0.5 Gram Northern-Light DOMINANT INDICA
4,4,16-08-2020 03:14:07,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,8,нет,Тбилиси,0.5 гр,0.0025,2196,828,74,30.0,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
5,5,16-08-2020 03:14:07,Tbilisi,69672fee0d,0.5 г Skunk #1 марихуана шишки тгк 29% VHQ,True,8,нет,Тбилиси,0.5 гр,0.0028,2416,911,81,33.0,,,,,,,,,,,0.5 g Skunk #1 marihuana shishki tgk 29% VHQ
6,6,16-08-2020 03:14:07,Tbilisi,4a91350669,0.5 шишки Girl Scout Cookies тгк thc 28%,True,9,нет,Тбилиси,0.5 гр,0.0028,2416,911,81,33.0,,,,,,,,,,,0.5 shishki Girl Scout Cookies tgk thc 28%
7,7,16-08-2020 03:14:07,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),,1,нет,Тбилиси,0.5 гр,0.0019,1684,635,57,23.0,True,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
8,8,16-08-2020 03:14:07,Tbilisi,16a8841259,0.5Gramm 😬 AK-49 NEW!!!,True,1,нет,Тбилиси,0.5 гр,0.0024,2050,773,69,28.0,,,,,,,,,,,0.5Gramm 😬 AK-49 NEW!!!
9,9,16-08-2020 03:14:07,Tbilisi,0dec0e1c48,0.5g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,4,нет,Тбилиси,0.5 гр,0.0024,2050,773,69,28.0,,,,,,,,,,,0.5g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
10,10,16-08-2020 03:14:07,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0021,1830,690,61,25.0,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
11,11,16-08-2020 03:14:07,Tbilisi,52fe6d0af9,VHQ Methadon 0.50G Imported Crystals,True,1,нет,Тбилиси,0.5 гр,0.0518,45028,16974,1511,615.0,,,,,,,,,,,VHQ Methadon 0.50G Imported Crystals
12,12,16-08-2020 03:14:07,Tbilisi,fccfd69694,Бошки OG Kush 05g.,True,2,нет,Тбилиси,0.5 гр,0.0021,1830,690,61,25.0,,,,,,,,,,,Boshki OG Kush 05g.
13,13,16-08-2020 03:14:07,Tbilisi,16a8841259,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA,True,4,нет,Тбилиси,0.5 гр,0.0024,2050,773,69,28.0,,,,,,,,,,,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA
14,14,16-08-2020 03:14:07,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,3,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55.0,,,,,,,,,,,1 G Hybrid Marijuana Buds
15,15,16-08-2020 03:14:07,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,7,нет,Тбилиси,1 гр,0.0046,3954,1490,133,54.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
16,16,16-08-2020 03:14:07,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,1 гр,0.0051,4393,1656,147,60.0,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
17,17,16-08-2020 03:14:07,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,3,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55.0,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
