,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,11-03-2020 10:31:15,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,7,нет,Тбилиси,0.25 гр,0.0231,15124,5426,487,210.0,,,,,,,,,Metadon VHQ 0.25 24/7
1,1,11-03-2020 10:31:15,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G,True,2,нет,Тбилиси,0.35 гр,0.0391,23047,8269,743,320.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
2,2,11-03-2020 10:31:15,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,7,нет,Тбилиси,0.5 гр,0.0121,7130,2558,230,99.0,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
3,3,11-03-2020 10:31:15,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0127,7850,2817,253,109.0,,,,,,,,,Pure COCAINE VHQ 0.5g
4,4,11-03-2020 10:31:15,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,3,нет,Тбилиси,0.5 гр,0.0036,2161,775,70,30.0,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
5,5,11-03-2020 10:31:15,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.0121,7130,2558,230,99.0,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
6,6,11-03-2020 10:31:15,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS saburtalo!! btc sale 1%",True,5,нет,Тбилиси,1 гр,0.0047,2809,1008,91,39.0,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS saburtalo!! btc sale 1%"
7,7,11-03-2020 10:31:15,Tbilisi,64284550d9,1G ---> INDICA,,4,нет,Тбилиси,1 гр,0.0042,2521,904,81,35.0,True,,,,,,,,1G ---> INDICA
8,8,11-03-2020 10:31:15,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0054,3241,1163,104,45.0,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
9,9,11-03-2020 10:31:15,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,6,нет,Тбилиси,1 гр,0.0242,14260,5116,460,198.0,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
10,10,11-03-2020 10:31:15,Tbilisi,da96c34455,ALFA PVP 1g,True,4,нет,Тбилиси,1 гр,0.0154,10083,3618,325,140.0,,,,,,,,,ALFA PVP 1g
11,11,11-03-2020 10:31:15,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,13,нет,Тбилиси,1 гр,0.0182,10803,3876,348,150.0,,,,,,,,,Apvp VHQ 1g 24/7
12,12,11-03-2020 10:31:15,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0208,12892,4625,415,179.0,,,,,,,,,Cocaine Pure VHQ 1g
13,13,11-03-2020 10:31:15,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.066,43212,15504,1392,600.0,,,,,,,,,Metadon VHQ 1 24/7
14,14,11-03-2020 10:31:15,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! BUDS ! 1G,True,2,нет,Тбилиси,1 гр,0.0054,3241,1163,104,45.0,,,,,,,,,NEW ! Super Critical ! NEW ! BUDS ! 1G
15,15,11-03-2020 10:31:15,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,3,нет,Тбилиси,1 гр,0.0231,13612,4884,439,189.0,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
16,16,11-03-2020 10:31:15,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,1,нет,Тбилиси,1 гр,0.0154,10083,3618,325,140.0,,,,,,,,,NZT-52 mind storm limited 1g muka
17,17,11-03-2020 10:31:15,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,5,нет,Тбилиси,1 гр,0.0231,14332,5142,462,199.0,,,,,,,,,VHQ BEST Cocaine 1g.
18,18,11-03-2020 10:31:15,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,4,нет,Тбилиси,1 гр,0.0227,13612,4884,439,189.0,,,,,,,,,Kokain HQ 1g.
19,19,11-03-2020 10:31:15,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0217,12892,4625,415,179.0,,True,,,,,,,Kokain KOLUMBIA 1g
20,20,11-03-2020 10:31:15,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0991,64819,23256,2089,900.0,,,,,,,,,Metadon 1gr
21,21,11-03-2020 10:31:15,Tbilisi,dd631c4acf,☃️❄1g. New COCAINE!!❄☃️,True,3,нет,Тбилиси,1 гр,0.022000000000000002,12964,4651,418,180.0,,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
22,22,11-03-2020 10:31:15,Tbilisi,7ee4f68218,2 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,2 гр,0.0239,14735,5279,474,,,,180.0,,,,,,2 gr mdma (skidka v bitkoin 5%)
23,23,11-03-2020 10:31:15,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,True,2,нет,Тбилиси,2 гр,0.0096,5690,2041,183,79.0,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
24,24,11-03-2020 10:31:15,Tbilisi,64284550d9,2G ---> INDICA,,26,нет,Тбилиси,2 гр,0.0079,4825,1731,156,67.0,True,,,,,,,,2G ---> INDICA
25,25,11-03-2020 10:31:15,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,2 гр,0.044000000000000004,25927,9302,835,360.0,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
26,26,11-03-2020 10:31:15,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,1,нет,Тбилиси,2 гр,0.0039,2521,904,81,35.0,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
27,27,11-03-2020 10:31:15,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,1,нет,Тбилиси,2 гр,0.044000000000000004,27296,9793,880,379.0,,,,,,,,,Kokain HQ 2g.
28,28,11-03-2020 10:31:15,Tbilisi,dd631c4acf,🍃🍃2g. New! Gorilla Glue Premium Hush🍃🍃,True,1,нет,Тбилиси,2 гр,0.0146,8570,3075,276,119.0,,,,,,,,,🍃🍃2g. New! Gorilla Glue Premium Hush🍃🍃
29,29,11-03-2020 10:31:15,Tbilisi,64284550d9,3G ---> INDICA,,21,нет,Тбилиси,3 гр,0.0102,6698,2403,216,93.0,True,,,,,,,,3G ---> INDICA
30,30,11-03-2020 10:31:15,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0194,11451,4109,369,159.0,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
31,31,11-03-2020 10:31:15,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.019,11163,4005,360,155.0,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
32,32,11-03-2020 10:31:15,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0352,23047,8269,743,320.0,,,,,,,,,"5 Grm MDMA , Purity A +++"
33,33,11-03-2020 10:31:15,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,5 гр,0.0497,30697,10999,988,,,,375.0,,,,,,5 gr mdma (skidka v bitkoin 5%)
34,34,11-03-2020 10:31:49,Tbilisi,e56bb6ca93,5gr georgian indica (hight quality),True,6,нет,Тбилиси,5 гр,0.0153,10011,3592,323,139.0,,True,,,,,,,5gr georgian indica (hight quality)
35,35,11-03-2020 10:31:49,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0214,12604,4522,406,175.0,,,,,,,,,5x Extasy Duracell 223mg MDMA.
