,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Vake,€,Didube,Дигоми,Центр,Батуми,Кутаиси,desc_en
0,0,28-03-2020 19:34:05,Tbilisi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,6,нет,Тбилиси,0.25 гр,0.0272,14769,5415,489,190.0,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,1,28-03-2020 19:34:05,Tbilisi,f25c0d6c5c,0.5 a-pvp white,,1,нет,Тбилиси,0.5 гр,0.013000000000000001,7000,3221,232,,True,,,,,,,,,0.5 a-pvp white
2,2,28-03-2020 19:34:05,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,True,15,нет,Тбилиси,0.5 гр,0.0094,5053,1853,167,65.0,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
3,3,28-03-2020 19:34:05,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,,1,нет,Тбилиси,0.5 гр,0.0536,28761,10545,953,370.0,True,,,,,,,,,Metadon VHQ 0.5 24/7
4,4,28-03-2020 19:34:05,Tbilisi,edfbad0151,!NEW! PineApple Express Auto !NEW! (B.F) Buds Only 1G (THC 24+%),,12,нет,Тбилиси,1 гр,0.0062,3343,1226,111,43.0,True,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F) Buds Only 1G (THC 24+%)
5,5,28-03-2020 19:34:05,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,2,нет,Тбилиси,1 гр,0.0064,3420,1254,113,44.0,True,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
6,6,28-03-2020 19:34:05,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,14,нет,Тбилиси,1 гр,0.0079,4664,1710,155,60.0,True,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
7,7,28-03-2020 19:34:05,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.0072,3887,1425,129,50.0,True,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
8,8,28-03-2020 19:34:05,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,10,нет,Тбилиси,1 гр,0.0056,3032,1112,100,39.0,True,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
9,9,28-03-2020 19:34:05,Tbilisi,4659482266,1 г.Super Skunk top class buds! Indica,,6,нет,Тбилиси,1 гр,0.0063,3343,1226,111,43.0,,True,,,,,,,,1 g.Super Skunk top class buds! Indica
10,10,28-03-2020 19:34:05,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,14,нет,Тбилиси,1 гр,0.0072,3887,1425,129,50.0,True,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
11,11,28-03-2020 19:34:05,Tbilisi,22610cd7c4,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1гр",,6,нет,Тбилиси,1 гр,0.0062,3343,1226,111,43.0,True,,,,,,,,,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1gr"
12,12,28-03-2020 19:34:05,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,,1,нет,Тбилиси,1 гр,0.0285,15935,5843,528,205.0,True,,,,,,,,,VHQ BEST Cocaine 1g.
13,13,28-03-2020 19:34:05,Tbilisi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),True,10,нет,Тбилиси,1 гр,0.0217,11660,4275,386,150.0,,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
14,14,28-03-2020 19:34:05,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0259,13914,5102,461,179.0,,,True,,,,,,,Kokain KOLUMBIA 1g
15,15,28-03-2020 19:34:05,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1185,69959,25650,2318,900.0,True,,,,,,,,,Metadon 1gr
