,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,€,Didube,Old Tbilisi (Старый город),Дигоми,Saburtalo,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,16-04-2020 14:58:32,Tbilisi,2f51af8159,NEW NEW NEW !!! SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G ВЕС +15%,True,1,нет,Тбилиси,0.5 гр,0.0038,2092,767,69,28.0,,,,,,,,,,,NEW NEW NEW !!! SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G VES +15%
1,1,16-04-2020 14:58:32,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,6,нет,Тбилиси,1 гр,0.0068,4109,1507,135,55.0,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
2,2,16-04-2020 14:58:32,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,12,нет,Тбилиси,1 гр,0.0027,1463,537,48,,True,18.0,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
3,3,16-04-2020 14:58:32,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0269,14942,5480,490,200.0,,,,,,,,,,,Kokain HQ 1g.
4,4,16-04-2020 14:58:32,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1113,67241,24660,2206,900.0,,,,,,,,,,,Metadon 1gr
5,5,16-04-2020 14:58:32,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,3,нет,Тбилиси,1 гр,0.0025,1494,548,49,20.0,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
6,6,16-04-2020 14:58:32,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,2,нет,Тбилиси,2 гр,0.0124,7471,2740,245,100.0,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
7,7,16-04-2020 14:58:32,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,2 гр,0.0109,5902,2165,194,79.0,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
8,8,16-04-2020 14:58:32,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0096,5230,1918,172,70.0,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
9,9,16-04-2020 14:58:32,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,8,нет,Тбилиси,2 гр,0.0116,6351,2329,208,85.0,,,True,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
10,10,16-04-2020 14:58:32,Tbilisi,366326d4d6,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,3 гр,0.0136,7396,2713,243,99.0,,,,,,,,,,,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug
11,11,16-04-2020 14:58:32,Tbilisi,4659482266,3g superskunk top class buds. Indica,,3,нет,Тбилиси,3 гр,0.0167,9115,3343,299,122.0,True,,,,,,,,,,3g superskunk top class buds. Indica
12,12,16-04-2020 14:58:32,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0144,7845,2877,257,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
13,13,16-04-2020 14:58:32,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,4,нет,Тбилиси,3 гр,0.0136,7471,2740,245,100.0,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
14,14,16-04-2020 14:58:32,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки!!!,True,6,нет,Тбилиси,4 гр,0.0089,4877,1792,161,,,60.0,,True,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki!!!
15,15,16-04-2020 14:58:32,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0418,23908,8768,784,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
16,16,16-04-2020 14:58:32,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0404,22414,8220,735,300.0,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
17,17,16-04-2020 14:58:32,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (hight quality),True,3,нет,Тбилиси,5 гр,0.0182,10011,3672,328,134.0,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
