,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,Saburtalo,$,Gldani,Vazisubani,Vake,Didube,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,18-06-2020 08:06:11,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,4,нет,Тбилиси,0.25 гр,0.0123,8544,3308,292,109,,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,18-06-2020 08:06:11,Tbilisi,LBSO,4RAW4,Heroin “sirec” 0.25g 4 person,,7,нет,Тбилиси,0.25 гр,0.0118,8338,3228,286,,True,True,120,,,,,,,,,,Heroin “sirec” 0.25g 4 person
2,18-06-2020 08:06:11,Tbilisi,C36EL,TripGuru,NEW Iranian Sirec 0.25g.,,3,нет,Тбилиси,0.25 гр,0.0102,6948,2690,238,,True,,100,,,,,,,,,,NEW Iranian Sirec 0.25g.
3,18-06-2020 08:06:11,Tbilisi,6P9R,RickNMorty,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G,,2,нет,Тбилиси,0.5 гр,0.0173,11743,4546,402,,,True,169,True,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G
4,18-06-2020 08:06:11,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,8,нет,Тбилиси,0.5 гр,0.0031,2084,807,71,,True,,30,True,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
5,18-06-2020 08:06:11,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,,4,нет,Тбилиси,0.5 гр,0.003,2015,780,69,,,True,29,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
6,18-06-2020 08:06:11,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,3,нет,Тбилиси,0.5 гр,0.0134,9033,3497,310,,,True,130,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
7,18-06-2020 08:06:11,Tbilisi,9Y6T,WeedShop,Ak - 47 1г,,3,нет,Тбилиси,1 гр,0.0056,3822,1480,131,,True,,55,,,,,,,,,,Ak - 47 1g
8,18-06-2020 08:06:11,Tbilisi,X4ZM,ZYX,NEW ! White Shark ! BUDS ! 1G,,1,нет,Тбилиси,1 гр,0.0046,3127,1211,107,,,,45,,True,,,,,,,,NEW ! White Shark ! BUDS ! 1G
9,18-06-2020 08:06:11,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.0247,16606,6429,569,,,True,239,True,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
10,18-06-2020 08:06:11,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,,6,нет,Тбилиси,2 гр,0.0481,32657,12643,1119,,True,,470,,,,,,,,,,Cocaine Pure VHQ 2 g
11,18-06-2020 08:06:11,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,4,нет,Тбилиси,2 гр,0.0087,5906,2287,202,,,True,85,,,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
