,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Old Tbilisi (Старый город),Дигоми,Vake,Авлобари,Varketili,Батуми,Центр,desc_en
23,25-07-2020 21:16:24,Tbilisi,SF03,CRAZYFROG,2 gr top buds white widow wишки THC 25% VHQ,,1,нет,Тбилиси,2 гр,0.0114,7876,3082,263,,True,110,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
24,25-07-2020 21:16:24,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0124,8592,3362,287,,True,120,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
25,25-07-2020 21:16:24,Tbilisi,BB6E,WEEDSH0P,2gr Amnesia Haze Auto сжатая марихуана BUDS,,3,нет,Тбилиси,2 гр,0.0124,8592,3362,287,,True,120,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
26,25-07-2020 21:16:24,Tbilisi,BB6E,WEEDSH0P,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,3,нет,Тбилиси,2 гр,0.0124,8592,3362,287,,True,120,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
27,25-07-2020 21:16:24,Tbilisi,XUYA,MRweed,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",,1,нет,Тбилиси,2 гр,0.0103,7876,3082,263,,True,110,,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
28,25-07-2020 21:16:24,Tbilisi,BB6E,WEEDSH0P,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,,1,нет,Тбилиси,2 гр,0.0124,8592,3362,287,,True,120,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
29,25-07-2020 21:16:24,Tbilisi,LGRP8,Walker12,!!! NEW !!! 3G Jack Herer(VHQ 24%THC),True,2,нет,Тбилиси,3 гр,0.0155,10740,4203,358,,,150,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC)
30,25-07-2020 21:16:24,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm (special price),,4,нет,Тбилиси,3 гр,0.0108,8234,3222,275,,True,115,,,,,,,,,Northern Lights Regular [budsonly] 3gramm (special price)
31,25-07-2020 21:16:24,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,нет,Тбилиси,5 гр,0.0289,20047,7846,669,,True,280,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
32,25-07-2020 21:16:24,Tbilisi,03F3,geoshop,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,5 гр,0.0279,19331,7565,645,,True,270,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
33,25-07-2020 21:16:24,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0183,13962,5464,466,,True,195,,,,,,,,,5g. marihuana shishki Critical
