,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Didube,Vake,Авлобари,Gldani,Дигоми,Nadzaladevi,Центр,Батуми,Кутаиси,desc_en
0,07-05-2020 08:02:24,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0142,9986,3652,331,135,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
1,07-05-2020 08:02:24,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,1,нет,Тбилиси,0.5 гр,0.0058,4068,1488,135,55,True,,,,,,,,,,,HQ Euro Hashish 0.5 g
2,07-05-2020 08:02:24,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,True,1,нет,Тбилиси,0.5 гр,0.0028,1997,730,66,27,,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,07-05-2020 08:02:24,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0146,10356,3787,343,140,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
4,07-05-2020 08:02:24,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,8,нет,Тбилиси,1 гр,0.0058,4068,1488,135,55,,,,,,,,,,,,1 G Hybrid Marijuana Buds
5,07-05-2020 08:02:24,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,1,нет,Тбилиси,1 гр,0.0058,4068,1488,135,55,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
6,07-05-2020 08:02:24,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,,2,нет,Тбилиси,1 гр,0.0058,4068,1488,135,55,,True,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
7,07-05-2020 08:02:24,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,1 гр,0.0049,3773,1380,125,51,True,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
8,07-05-2020 08:02:24,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,1 гр,0.006,4216,1542,140,57,,True,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
9,07-05-2020 08:02:24,Tbilisi,JVZTQ,partyshop,1 шишки Girl Scout Cookies тгк thc 28%,True,2,нет,Тбилиси,1 гр,0.0058,4068,1488,135,55,,,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
10,07-05-2020 08:02:24,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,14,нет,Тбилиси,1 гр,0.0317,22118,8088,733,299,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
11,07-05-2020 08:02:24,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0247,17383,6357,576,235,,,,,,,,,,,,Cocaine Pure VHQ 1g
