,Unnamed: 0,time_stamp,region,sell_code,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Vake,$,Тбилиси,Gldani,Nadzaladevi,Saburtalo,Авлобари,Батуми,Центр,Кутаиси,desc_en
25,25,14-06-2020 02:15:29,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,True,нет,2,Тбилиси,5 гр,0.2771,207366,80700,7134,,,3000.0,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
26,26,14-06-2020 02:15:29,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0984,66288,25797,2281,,,959.0,True,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
27,27,14-06-2020 02:15:29,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,9,Тбилиси,5 гр,0.0195,13133,5111,452,,,190.0,True,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
28,28,14-06-2020 02:15:29,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,10,Тбилиси,5 гр,0.0502,33801,13154,1163,,,489.0,True,,,,,,,,💘✨5g. MDMA ✨💘
29,29,14-06-2020 02:15:29,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0914,62210,24210,2140,,,900.0,True,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
30,30,14-06-2020 02:15:29,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0406,27649,10760,951,,,400.0,True,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
31,31,14-06-2020 02:15:29,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0711,48385,18830,1665,,,700.0,True,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
32,32,14-06-2020 02:15:29,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0427,29031,11298,999,,,420.0,True,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
33,33,14-06-2020 02:16:00,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0814,55298,21520,1902,,,800.0,True,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
34,34,14-06-2020 02:16:00,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2263,153796,59853,5291,,,2225.0,True,,,,,,,,Amfetamin [White] [Import] 10G
35,35,14-06-2020 02:16:00,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1602,107761,41937,3707,,,1559.0,True,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
36,36,14-06-2020 02:16:00,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0811,54537,21224,1876,,,789.0,True,,,,,,,,💘✨10gram MDMA ✨💘
37,37,14-06-2020 02:16:00,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,8,Тбилиси,10 гр,0.0379,25506,9926,878,,,369.0,True,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
38,38,14-06-2020 02:16:00,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0359,24193,9415,832,,,350.0,True,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
39,39,14-06-2020 02:16:00,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1387,103683,40350,3567,,,1500.0,True,,,,,,,,✨💘20g MDMA💘✨
40,40,14-06-2020 02:16:00,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0615,41404,16113,1424,,,599.0,True,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
41,41,14-06-2020 02:16:00,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1321,89789,34943,3089,,,1299.0,True,,,,,,,,50 gr georgian weed. Package on magnet
42,42,14-06-2020 02:16:00,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2542,172736,67223,5943,,,2499.0,True,,,,,,,,100 gr georgian weed. Package on magnet
43,43,14-06-2020 02:16:00,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2441,165893,64560,5707,,,2400.0,True,,,,,,,,100 gr marijuana buds
