,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,26-03-2020 20:08:07,Tbilisi,F8K,BestAcid,Метадон - 0.12 г Новая партия!,True,9,нет,Тбилиси,0.12 гр,0.0142,8659,3146,284,110,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,26-03-2020 20:08:07,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,,7,нет,Тбилиси,0.25 гр,0.0268,14957,5434,490,190,True,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
2,26-03-2020 20:08:07,Tbilisi,V4T,COCAcoLA,METHADONE 0.25 THE BEST QUALITY VHQ,,2,нет,Тбилиси,0.25 гр,0.0284,15744,5720,516,200,True,,,,,,,,,METHADONE 0.25 THE BEST QUALITY VHQ
3,26-03-2020 20:08:07,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0569,31489,11440,1032,400,,,,,,,,,,Metadon VHQ 0.5 24/7
4,26-03-2020 20:08:07,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,5,нет,Тбилиси,1 гр,0.0071,3936,1430,129,50,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
5,26-03-2020 20:08:07,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,12,нет,Тбилиси,1 гр,0.0071,3936,1430,129,50,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
6,26-03-2020 20:08:07,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,True,6,нет,Тбилиси,1 гр,0.0061,3385,1230,111,43,,,,,,,,,,Amsterdam weed sativa 1gr
7,26-03-2020 20:08:07,Tbilisi,7IU5,ANASHA777,Hybrid Ana-sha 1G.,True,1,нет,Тбилиси,1 гр,0.0053,3228,1173,106,41,,,,,,,,,,Hybrid Ana-sha 1G.
8,26-03-2020 20:08:07,Tbilisi,V4T,COCAcoLA,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,13,нет,Тбилиси,1 гр,0.0213,11808,4290,387,150,True,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
9,26-03-2020 20:08:07,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1164,70850,25740,2321,900,,,,,,,,,,Metadon 1gr
10,26-03-2020 20:08:07,Tbilisi,UJP9,420Inc,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%),True,8,нет,Тбилиси,2 гр,0.0114,6298,2288,206,80,,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%)
11,26-03-2020 20:08:07,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,True,4,нет,Тбилиси,2 гр,0.0112,6219,2259,204,79,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
12,26-03-2020 20:08:07,Tbilisi,JVZTQ,partyshop,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,2 гр,0.0128,7085,2574,232,90,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
13,26-03-2020 20:08:07,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,8,нет,Тбилиси,2 гр,0.0112,6219,2259,204,79,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
14,26-03-2020 20:08:07,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,2 гр,0.0112,6219,2259,204,79,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
15,26-03-2020 20:08:07,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds. Indica,,5,нет,Тбилиси,2 гр,0.0113,6219,2259,204,79,,True,,,,,,,,2g super Skunk top class buds. Indica
