,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
123,123,25-02-2020 14:57:41,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0255,16230,6143,556,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
124,124,25-02-2020 14:57:41,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5419,973820,368550,33369,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
125,125,25-02-2020 14:58:51,Batumi,d30ed85c42,XTC-MDMA 0.5g purity 93%+,,7,нет,Батуми,0.5 гр,0.0081,5129,1941,176,79.0,,,,,,True,,,XTC-MDMA 0.5g purity 93%+
126,126,25-02-2020 14:58:51,Batumi,c72111ac1a,NZT-52 mind storm limited 1г мука,,1,нет,Батуми,1 гр,0.0176,12335,4668,423,190.0,,,,,,True,,,NZT-52 mind storm limited 1g muka
127,127,25-02-2020 14:58:51,Batumi,d4df7908c3,"Шишки / weeds OG Kush, 2г",,1,нет,Батуми,2 гр,0.0081,5129,1941,176,79.0,,,,,,True,,,"Shishki / weeds OG Kush, 2g"
128,128,25-02-2020 14:58:51,Batumi,d4df7908c3,"Шишки / weed OG Kush, 5гр",,1,нет,Батуми,5 гр,0.019,12010,4545,412,185.0,,,,,,True,,,"Shishki / weed OG Kush, 5gr"
129,129,25-02-2020 14:58:51,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,нет,7,Батуми,0.27 гр,0.0234,14737,5577,505,227.0,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
130,130,25-02-2020 14:58:51,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,18,Батуми,5 гр,0.0185,12984,4914,445,200.0,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
131,131,25-02-2020 14:58:51,Batumi,30f48d507d,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.0968,61675,23342,2113,950.0,,,,,,True,,,Hybrid Skunk! 50 gr
132,132,25-02-2020 14:58:51,Batumi,30f48d507d,Hybrid Skunk! 100 gr,,нет,1,Батуми,100 гр,0.1834,116858,44226,4004,1800.0,,,,,,True,,,Hybrid Skunk! 100 gr
133,133,25-02-2020 14:58:51,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3087,194764,73710,6674,3000.0,,,,,,True,,,SUBOXIN - HQ - 100 G.
134,134,25-02-2020 14:58:51,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,4,Батуми,150 гр,0.2572,162303,61425,5562,2500.0,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
135,135,25-02-2020 14:58:51,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0103,6492,2457,222,100.0,,,,,,True,,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
136,136,25-02-2020 14:58:51,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0046,3246,1229,111,50.0,,,,,,True,,,kur'er v Batumi
137,137,25-02-2020 14:58:51,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0046,3246,1229,111,50.0,,,,,,True,,,Vakansija Kur'era v Batumi
138,138,25-02-2020 14:58:51,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0071,5000,2301,171,,,,,,,True,,,Vakansija Kur'era v Batumi
139,139,25-02-2020 14:58:51,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0232,16230,6143,556,250.0,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
140,140,25-02-2020 14:58:51,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0232,16230,6143,556,250.0,,,,,,True,,,Ischu kur'era v Gruzii!
141,141,25-02-2020 14:58:51,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5419,973820,368550,33369,15000.0,,,,,,True,,,Vakansija optovogo kur'era na mef
142,142,25-02-2020 14:58:51,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0509,32461,12285,1112,500.0,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
143,143,25-02-2020 15:00:35,Kutaisi,d4df7908c3,Шишки / weeds Afghan Kush - 2г,,2,нет,Кутаиси,2 гр,0.0076,4804,1818,165,74.0,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
144,144,25-02-2020 15:00:35,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,2,3,Кутаиси,3 гр,0.0111,7012,2654,240,108.0,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
145,145,25-02-2020 15:00:35,Kutaisi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0103,6492,2457,222,100.0,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
