,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Tbilisis Zgva,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
21,15-03-2020 14:51:47,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,13,нет,Тбилиси,1 гр,0.003,1464,538,47,20,,True,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
22,15-03-2020 14:51:47,Tbilisi,9VLN,AlienShop,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,True,10,нет,Тбилиси,1 гр,0.0114,5050,1855,161,69,,,,,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
23,15-03-2020 14:51:47,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,18,нет,Тбилиси,2 гр,0.0134,6587,2420,211,90,,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
24,15-03-2020 14:51:47,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,4,нет,Тбилиси,2 гр,0.0052,2562,941,82,35,,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
25,15-03-2020 14:51:47,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,4,нет,Тбилиси,2 гр,0.0595,27738,10191,887,379,,,,,,,,,,,,Kokain HQ 2g.
26,15-03-2020 14:51:47,Tbilisi,0WE,Khachapuri,3 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,3 гр,0.0439,20465,7488,654,,,,250,,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
27,15-03-2020 14:51:47,Tbilisi,ABOAB,ProGrow,3G ---> Plan,,8,нет,Тбилиси,3 гр,0.0064,2854,1049,91,39,True,,,,,,,,,,,3G ---> Plan
28,15-03-2020 14:51:47,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,6,нет,Тбилиси,3 гр,0.0173,7685,2823,246,105,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
29,15-03-2020 14:51:47,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,True,3,нет,Тбилиси,4 гр,0.0089,4391,1613,140,60,,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
30,15-03-2020 14:51:47,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0263,11637,4276,372,159,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
31,15-03-2020 14:51:47,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0486,21956,8067,702,300,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
32,15-03-2020 14:51:47,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0614,28651,10483,915,,,,350,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
33,15-03-2020 14:51:47,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,7,нет,Тбилиси,5 гр,0.0289,12808,4706,410,175,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
34,15-03-2020 14:52:18,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,3,нет,Тбилиси,5 гр,0.1287,57599,21162,1842,787,,,,True,,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
35,15-03-2020 14:52:18,Tbilisi,TDSHF,THC,Hybrid Gagarin. 5g.,,1,нет,Тбилиси,5 гр,0.0345,16101,5916,515,220,,,,,True,,,,,,,Hybrid Gagarin. 5g.
36,15-03-2020 14:52:18,Tbilisi,5HOGC,NewHybrid,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,3,нет,Тбилиси,5 гр,0.0253,12442,4571,398,170,,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
37,15-03-2020 14:52:18,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1277,62869,23099,2010,859,,,,,,,,,,,,VHQ BEST Cocaine 5g.
38,15-03-2020 14:52:18,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,5 гр,0.0097,4757,1748,152,65,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
39,15-03-2020 14:52:18,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0719,32496,11939,1039,444,,,,True,,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
40,15-03-2020 14:52:18,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0597,26714,9815,854,365,,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
41,15-03-2020 14:52:18,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.0147,7246,2662,232,99,,True,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
42,15-03-2020 14:52:18,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0628,29275,10756,936,400,,,,,,,,,,,,gashish evro 10g
43,15-03-2020 14:52:18,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,2,нет,Тбилиси,11 гр,0.1387,62064,22803,1984,848,,,,True,,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
44,15-03-2020 14:52:18,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,10,5,Тбилиси,0.27 гр,0.0446,19761,7260,632,270,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
45,15-03-2020 14:52:18,Tbilisi,Y6FO,Opiate,Methadone HQ in city 0.35g,True,нет,5,Тбилиси,0.35 гр,0.0376,16833,6185,538,230,,,,,,,,,,,,Methadone HQ in city 0.35g
46,15-03-2020 14:52:18,Tbilisi,Y6FO,Opiate,Methadone HQ in city 0.75g,True,нет,2,Тбилиси,0.75 гр,0.0605,27080,9949,866,370,,,,,,,,,,,,Methadone HQ in city 0.75g
47,15-03-2020 14:52:18,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,нет,3,Тбилиси,1.1 гр,0.1156,51232,18823,1638,700,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
48,15-03-2020 14:52:18,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0975,43181,15865,1381,590,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
49,15-03-2020 14:52:18,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0654,29275,10756,936,400,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
