,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Vake,Old Tbilisi (Старый город),Varketili,Батуми,Центр,desc_en
0,0,09-07-2020 21:37:37,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.25 гр,0.0117,7961,3049,273,99.0,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,09-07-2020 21:37:37,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25,,3,нет,Тбилиси,0.25 гр,0.012,8041,3080,275,100.0,True,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25
2,2,09-07-2020 21:37:37,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0108,7237,2772,248,90.0,True,,,,,,,,NEW Iranian Sirec 0.25g.
3,3,09-07-2020 21:37:37,Tbilisi,fccfd69694,Бошки OG Kush 05g.,,1,нет,Тбилиси,0.5 гр,0.0027,1772,680,61,,True,25.0,,,,,,,Boshki OG Kush 05g.
4,4,09-07-2020 21:37:37,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",,2,нет,Тбилиси,2 гр,0.0106,7797,2992,268,,True,110.0,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
5,5,09-07-2020 21:37:37,Tbilisi,8528108b62,3g. марихуана шишки Critical,,1,нет,Тбилиси,3 гр,0.0144,10632,4080,366,,True,150.0,,,,,,,3g. marihuana shishki Critical
6,6,09-07-2020 21:37:37,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,7,нет,Тбилиси,3 гр,0.0059,3898,1496,134,,True,55.0,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
7,7,09-07-2020 21:37:37,Tbilisi,8528108b62,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0231,17011,6528,586,,True,240.0,,,,,,,5g. marihuana shishki Critical
8,8,09-07-2020 21:37:37,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,12,нет,Тбилиси,5 гр,0.0074,4891,1877,168,,True,69.0,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
9,9,09-07-2020 21:37:37,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,,6,нет,Тбилиси,5 гр,0.0143,10561,4053,364,,True,149.0,,,,,,,5g. GEO Marihuana boshki
10,10,09-07-2020 21:37:37,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,1,нет,Тбилиси,5 гр,0.0231,17011,6528,586,,,240.0,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
11,11,09-07-2020 21:37:37,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,10,нет,Тбилиси,5 гр,0.0053,3898,1496,134,,True,55.0,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
12,12,09-07-2020 21:37:37,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0462,31896,12240,1098,,True,450.0,,,,,,,Gashish Evro 10gr
13,13,09-07-2020 21:37:37,Tbilisi,54915c4374,Марки н-боом 10 шт.,,1,нет,Тбилиси,10 гр,0.0106,7088,2720,244,,,100.0,True,,,,,,Marki n-boom 10 sht.
14,14,09-07-2020 21:37:37,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,,1,нет,Тбилиси,11 гр,0.0173,12758,4896,439,,True,180.0,,,,,,,11+ GRAMM BEASTWEED NEW
15,15,09-07-2020 21:37:37,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0481,35440,13600,1220,,True,500.0,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
16,16,09-07-2020 21:37:37,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0069,4607,1768,159,,True,65.0,,,,,,,Silver haze leaves list'ja 15gr sale
17,17,09-07-2020 21:37:37,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2138,141760,54400,4880,,True,2000.0,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
18,18,09-07-2020 21:37:37,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,5,Тбилиси,1 гр,0.0376,24928,9548,854,310.0,True,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
19,19,09-07-2020 21:37:37,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 3G On Iron Magnet,,нет,1,Тбилиси,3 гр,0.0953,63792,24480,2196,,True,900.0,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 3G On Iron Magnet
20,20,09-07-2020 21:37:37,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,1,Тбилиси,3 гр,0.0962,63721,24453,2193,,True,899.0,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
21,21,09-07-2020 21:37:37,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,4,Тбилиси,4 гр,0.0424,28352,10880,976,,True,400.0,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
22,22,09-07-2020 21:37:37,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0265,17720,6800,610,,True,250.0,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
23,23,09-07-2020 21:37:37,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0583,38984,14960,1342,,True,550.0,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
24,24,09-07-2020 21:37:37,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0286,19138,7344,659,,True,270.0,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
25,25,09-07-2020 21:37:37,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0297,19846,7616,683,,True,280.0,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
26,26,09-07-2020 21:37:37,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0291,19492,7480,671,,True,275.0,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
27,27,09-07-2020 21:37:37,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0254,17011,6528,586,,True,240.0,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
28,28,09-07-2020 21:37:37,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0297,19846,7616,683,,True,280.0,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
29,29,09-07-2020 21:37:37,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0286,19138,7344,659,,True,270.0,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
30,30,09-07-2020 21:37:37,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0211,15523,5957,534,,True,219.0,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
31,31,09-07-2020 21:37:37,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0286,19138,7344,659,,True,270.0,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
32,32,09-07-2020 21:37:37,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2581,190000,87429,6517,,True,,,,,,,,reagent 25i nbome. 5gr
33,33,09-07-2020 21:38:35,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0951,63792,24480,2196,,True,900.0,,,,,,,10 gr mdma Kristally ochen silni import s evropi
34,34,09-07-2020 21:38:35,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0581,38984,14960,1342,,True,550.0,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
35,35,09-07-2020 21:38:35,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.07400000000000001,49616,19040,1708,,True,700.0,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
36,36,09-07-2020 21:38:35,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0444,29770,11424,1025,,True,420.0,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
37,37,09-07-2020 21:38:35,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0845,56704,21760,1952,,True,800.0,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
38,38,09-07-2020 21:38:35,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2351,157708,60520,5429,,True,2225.0,,,,,,,Amfetamin [White] [Import] 10G
39,39,09-07-2020 21:38:35,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0472,31361,12012,1074,390.0,True,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
40,40,09-07-2020 21:38:35,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0624,46072,17680,1586,,True,650.0,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
41,41,09-07-2020 21:38:35,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2536,170112,65280,5856,,True,2400.0,,,,,,,100 gr marijuana buds
42,42,09-07-2020 21:38:35,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2641,177200,68000,6100,,True,2500.0,,,,,,,Marihuana [Shishki] [Gali] 100G
43,43,09-07-2020 21:38:35,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6234,418192,160480,14395,,True,5900.0,,,,,,,180 gr marihuana persoalno
44,44,09-07-2020 21:38:35,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8981,602480,231200,20739,,True,8500.0,,,,,,,10000sht marki 25i-nbome. predoplata
45,45,09-07-2020 21:38:35,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0192,14176,5440,488,,True,200.0,,,,,,,KURYER..500RUB.+BONUS
46,46,09-07-2020 21:38:35,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0264,17720,6800,610,,True,250.0,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
47,47,09-07-2020 21:38:35,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0211,14176,5440,488,,True,200.0,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
48,48,09-07-2020 21:38:35,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0264,17720,6800,610,,True,250.0,,,,,,,Rabota na marki (kur'er)
49,49,09-07-2020 21:38:35,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0528,35440,13600,1220,,True,500.0,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
50,50,09-07-2020 21:38:35,Tbilisi,ae784bef73,Работа курьером,,нет,1,Тбилиси,10 гр,0.0192,14176,5440,488,,True,200.0,,,,,,,Rabota kur'erom
51,51,09-07-2020 21:38:35,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5992,1063200,408000,36599,,True,15000.0,,,,,,,Vakansija optovogo kur'era na mef
52,52,09-07-2020 21:38:35,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0528,35440,13600,1220,,,500.0,,True,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
53,53,09-07-2020 21:40:01,Batumi,75738ec358,Golosa(GHS)+ DOS-vi-DOS 2g,,4,нет,Батуми,2 гр,0.0193,14176,5440,488,,,200.0,,,,,True,,Golosa(GHS)+ DOS-vi-DOS 2g
54,54,09-07-2020 21:40:01,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0473,31361,12012,1074,390.0,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
55,55,09-07-2020 21:40:01,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,4,Батуми,11 гр,0.0509,33774,12936,1157,420.0,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
56,56,09-07-2020 21:40:01,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1689,112990,51992,3876,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
57,57,09-07-2020 21:40:01,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2674,178900,82321,6136,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
58,58,09-07-2020 21:40:01,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7088,2720,244,,,100.0,,,,,True,,kur'er v Batumi
59,59,09-07-2020 21:40:01,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0241,17720,6800,610,,,250.0,,,,,True,,Rabota kladmenom. Tol'ko shishki.
60,60,09-07-2020 21:40:01,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0241,17720,6800,610,,,250.0,,,,,True,,Ischu kur'era v Gruzii!
61,61,09-07-2020 21:40:01,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0212,14176,5440,488,,,200.0,,,,,True,,Kur'er Batumi na marihuanu
62,62,09-07-2020 21:40:01,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6038,1063200,408000,36599,,,15000.0,,,,,True,,Vakansija optovogo kur'era na mef
63,63,09-07-2020 21:40:01,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.053,35440,13600,1220,,,500.0,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
