,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Old Tbilisi (Старый город),Vake,Tbilisis Zgva,Авлобари,Varketili,Батуми,Центр,desc_en
0,0,27-07-2020 12:18:51,Tbilisi,be97026d1d,!!Hash!! Гашиш 0.5г !!! BTC SALE 5%!!!!,True,1,нет,Тбилиси,0.5 гр,0.0065,4820,1891,161,58.0,,,,,,,,,,,!!Hash!! Gashish 0.5g !!! BTC SALE 5%!!!!
1,1,27-07-2020 12:18:51,Tbilisi,8ddca45a78,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)",,7,нет,Тбилиси,0.5 гр,0.003,2220,866,74,,True,31.0,,,,,,,,,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)"
2,2,27-07-2020 12:18:51,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,25,нет,Тбилиси,0.5 гр,0.0033,2363,922,79,,True,33.0,,,,,,,,,0.5 gr HYBRID buds
3,3,27-07-2020 12:18:51,Tbilisi,21de5577be,0.5 gr. Lemon Haze (Sativa),True,3,нет,Тбилиси,0.5 гр,0.0031,2291,894,76,,,32.0,,,,,,,,,0.5 gr. Lemon Haze (Sativa)
4,4,27-07-2020 12:18:51,Tbilisi,64284550d9,0.5-G ---> Pineapple (BTC - Sale),True,16,нет,Тбилиси,0.5 гр,0.0028,2005,783,67,,,28.0,,,,,,,,,0.5-G ---> Pineapple (BTC - Sale)
5,5,27-07-2020 12:18:51,Tbilisi,ebadfc162f,BlueBerry Is Back 0.5G шишки !!!! LIMITED,,1,нет,Тбилиси,0.5 гр,0.0034,2506,978,84,,,35.0,True,,,,,,,,BlueBerry Is Back 0.5G shishki !!!! LIMITED
6,6,27-07-2020 12:18:51,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,,29,нет,Тбилиси,0.5 гр,0.0029,2148,839,72,,True,30.0,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
7,7,27-07-2020 12:18:51,Tbilisi,83f3d55917,(!!!NEW!!! 27 THC #VHQ# 1 G Phantom OG ),,1,нет,Тбилиси,1 гр,0.0054,3938,1537,131,,,55.0,,True,,,,,,,(!!!NEW!!! 27 THC #VHQ# 1 G Phantom OG )
8,8,27-07-2020 12:18:51,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,2,нет,Тбилиси,1 гр,0.0058,4224,1649,141,,,59.0,True,,,,,,,,1 G Hybrid Marijuana Buds
9,9,27-07-2020 12:18:51,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,2,нет,Тбилиси,1 гр,0.0059,4296,1677,143,,True,60.0,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
