,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
19,19,18-05-2020 15:08:45,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0181,4681,428,12811,175.0,,,,,,,,,5x Extasy Duracell 223mg MDMA.
20,20,18-05-2020 15:08:45,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0409,10673,976,29209,399.0,True,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
21,21,18-05-2020 15:08:45,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 10g (TOP)(VHQ) NEW NEW NEW,True,8,нет,Тбилиси,10 гр,0.0359,9363,856,25622,350.0,,,,,,,,,THE BEST GAGARIN WEED 10g (TOP)(VHQ) NEW NEW NEW
22,22,18-05-2020 15:08:45,Tbilisi,7cab566931,GEORGIAN MARIJUANA 44-GRAMM,True,1,нет,Тбилиси,44 гр,0.0466,13375,1223,36603,500.0,,,,,,,,,GEORGIAN MARIJUANA 44-GRAMM
23,23,18-05-2020 15:08:45,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1865,53500,4892,146411,2000.0,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
24,24,18-05-2020 15:08:45,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,9,Тбилиси,0.2 гр,0.01,2606,238,7122,,,,90.0,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
25,25,18-05-2020 15:08:45,Tbilisi,54915c4374,"MDMA ""цунами удовольствия) 0.5 грамм",True,нет,10,Тбилиси,0.5 гр,0.0082,2140,196,5856,80.0,,,,,,,,,"MDMA ""tsunami udovol'stvija) 0.5 gramm"
26,26,18-05-2020 15:08:45,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",True,нет,7,Тбилиси,0.5 гр,0.0077,2006,183,5490,75.0,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
27,27,18-05-2020 15:08:45,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0164,4280,391,11713,160.0,,,,,,,,,"""Kief"" Weed trichomes 1G"
28,28,18-05-2020 15:08:45,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,2,Тбилиси,2 гр,0.0382,9871,903,27013,369.0,,,,,,,,,❄❄2g HQ COCAINE❄❄
29,29,18-05-2020 15:08:45,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.06,15488,1416,42386,579.0,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
30,30,18-05-2020 15:08:45,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.040999999999999995,10700,978,29282,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
31,31,18-05-2020 15:08:45,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0144,3745,342,10249,140.0,True,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
32,32,18-05-2020 15:08:45,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0564,14713,1345,40263,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
33,33,18-05-2020 15:08:45,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0241,6286,575,17203,235.0,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
