,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,23-02-2020 06:42:19,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.15 G,True,1,5,Тбилиси,0.15 гр,0.0151,9645,3677,332,150.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.15 G
1,1,23-02-2020 06:42:19,Tbilisi,61df6a1c90,Метадон 0.15гр,True,10,нет,Тбилиси,0.15 гр,0.0136,9645,3677,332,150.0,,,,,,,,,Metadon 0.15gr
2,2,23-02-2020 06:42:19,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,2,нет,Тбилиси,0.25 гр,0.01,6430,2451,221,100.0,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
3,3,23-02-2020 06:42:19,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,1,нет,Тбилиси,0.25 гр,0.006,3858,1471,133,60.0,,,,,,,,,Iranian Sirec 0.25g.
4,4,23-02-2020 06:42:19,Tbilisi,da96c34455,ALFA PVP in City 0.3g,True,4,нет,Тбилиси,0.3 гр,0.006,3858,1471,133,60.0,,,,,,,,,ALFA PVP in City 0.3g
5,5,23-02-2020 06:42:19,Tbilisi,7fa257ac43,0.33gr NEW - ALFA - PVP - 99% чистота - сухие - большие кристалы,True,4,нет,Тбилиси,0.33 гр,0.0071,4501,1716,155,70.0,,,,,,,,,0.33gr NEW - ALFA - PVP - 99% chistota - suhie - bol'shie kristaly
6,6,23-02-2020 06:42:19,Tbilisi,366326d4d6,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,6,нет,Тбилиси,0.5 гр,0.006999999999999999,4437,1691,153,69.0,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
7,7,23-02-2020 06:42:19,Tbilisi,21de5577be,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,1,нет,Тбилиси,0.5 гр,0.0029,1865,711,64,29.0,True,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
8,8,23-02-2020 06:42:19,Tbilisi,da96c34455,ALFA PVP in City 0.5g,True,1,нет,Тбилиси,0.5 гр,0.009000000000000001,5787,2206,199,90.0,,,,,,,,,ALFA PVP in City 0.5g
9,9,23-02-2020 06:42:19,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.009000000000000001,6366,2426,219,99.0,,,,,,,,,Cocaine Pure VHQ 0.5g
