,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Varketili,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
23,23,21-02-2020 13:26:27,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,3,нет,Тбилиси,1 гр,0.0084,5418,2083,187,85.0,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
24,24,21-02-2020 13:26:27,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,,6,нет,Тбилиси,1 гр,0.0036,2358,907,82,37.0,True,,,,,,,,,,1G -- AK-47 -> Sativa
25,25,21-02-2020 13:26:27,Tbilisi,366326d4d6,1g MDMA - !!!NEW!!! - Purity 93%,True,5,нет,Тбилиси,1 гр,0.0109,6948,2672,240,109.0,,,,,,,,,,,1g MDMA - !!!NEW!!! - Purity 93%
26,26,21-02-2020 13:26:27,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,1 гр,0.0084,5418,2083,187,85.0,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
27,27,21-02-2020 13:26:27,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,10,нет,Тбилиси,1 гр,0.0199,12621,4853,437,198.0,,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
28,28,21-02-2020 13:26:27,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0172,12111,4657,419,190.0,,,,,,,,,,,Cocaine Pure VHQ 1g
29,29,21-02-2020 13:26:27,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,5,нет,Тбилиси,1 гр,0.0221,14023,5392,485,220.0,,,,,,,,,,,"Cocaine, 1g"
30,30,21-02-2020 13:26:27,Tbilisi,28bf667d16,Hashish Ice-o-lator 1g,True,13,нет,Тбилиси,1 гр,0.0076,4844,1863,168,76.0,,,,,,,,,,,Hashish Ice-o-lator 1g
31,31,21-02-2020 13:26:50,Tbilisi,8219f5e7b8,Ketamine 1g,True,2,нет,Тбилиси,1 гр,0.01,6374,2451,220,100.0,,,,,,,,,,,Ketamine 1g
32,32,21-02-2020 13:26:50,Tbilisi,366326d4d6,Ketamine 1g.,True,8,нет,Тбилиси,1 гр,0.0089,5673,2181,196,89.0,,,,,,,,,,,Ketamine 1g.
33,33,21-02-2020 13:26:50,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",True,5,нет,Тбилиси,1 гр,0.004,2550,980,88,40.0,,,,,,,,,,,"LSD - 250 ug, 1piece"
34,34,21-02-2020 13:26:50,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,3,нет,Тбилиси,1 гр,0.0452,31871,12255,1102,500.0,,,,,,,,,,,Metadon VHQ 1 24/7
35,35,21-02-2020 13:26:50,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,4,нет,Тбилиси,1 гр,0.019,12047,4632,417,189.0,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
36,36,21-02-2020 13:26:50,Tbilisi,edfbad0151,THC Snow Buds Only 1G (THC 23+%),True,8,нет,Тбилиси,1 гр,0.0046,2996,1152,104,47.0,,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
37,37,21-02-2020 13:26:50,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,5,нет,Тбилиси,1 гр,0.019,12685,4877,439,199.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
38,38,21-02-2020 13:26:50,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0162,10836,4167,375,170.0,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
39,39,21-02-2020 13:26:50,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0186,12047,4632,417,189.0,,,,,,,,,,,Kokain HQ 1g.
40,40,21-02-2020 13:26:50,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0178,11410,4387,395,179.0,,,,True,,,,,,,Kokain KOLUMBIA 1g
41,41,21-02-2020 13:26:50,Tbilisi,61df6a1c90,Метадон 1гр,True,2,нет,Тбилиси,1 гр,0.0407,28684,11030,992,450.0,,,,,,,,,,,Metadon 1gr
