,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Didube,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
23,23,27-04-2020 23:02:42,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 4 штуки!",True,нет,3,Тбилиси,4 гр,0.0063,3725,1368,123,50.0,,,,,,,,,,"""JoKer Express"" - Marki n boom 4 shtuki!"
24,24,27-04-2020 23:02:42,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0506,29798,10940,985,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
25,25,27-04-2020 23:02:42,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0696,40973,15043,1355,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
26,26,27-04-2020 23:02:42,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,4,Тбилиси,5 гр,0.0215,12664,4650,419,170.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
27,27,27-04-2020 23:02:42,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0252,14825,5443,490,199.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
28,28,27-04-2020 23:02:42,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0252,14825,5443,490,199.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
29,29,27-04-2020 23:02:42,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0252,16315,5990,539,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
30,30,27-04-2020 23:02:42,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0252,14825,5443,490,199.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
31,31,27-04-2020 23:02:42,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2932,190000,87429,6265,,,,,,,,,,,reagent 25i nbome. 5gr
32,32,27-04-2020 23:02:42,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3449,223488,82050,7389,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
33,33,27-04-2020 23:03:18,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.111,64737,23767,2140,869.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
34,34,27-04-2020 23:03:18,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0241,14080,5169,466,189.0,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
35,35,27-04-2020 23:03:18,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0243,14154,5197,468,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
36,36,27-04-2020 23:03:18,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0625,36429,13374,1204,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
37,37,27-04-2020 23:03:18,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0241,14080,5169,466,189.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
38,38,27-04-2020 23:03:18,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,4,Тбилиси,10 гр,0.0165,9691,3552,318,,,,,120.0,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
39,39,27-04-2020 23:03:18,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1138,67046,24615,2217,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
40,40,27-04-2020 23:03:18,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0885,52147,19145,1724,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
41,41,27-04-2020 23:03:18,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0405,23839,8752,788,320.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
42,42,27-04-2020 23:03:18,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1012,59597,21880,1970,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
43,43,27-04-2020 23:03:18,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2814,165754,60854,5480,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
44,44,27-04-2020 23:03:18,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1851,107945,39630,3569,1449.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
45,45,27-04-2020 23:03:18,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0471,27489,10092,909,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
46,46,27-04-2020 23:03:18,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0382,22274,8178,736,299.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
47,47,27-04-2020 23:03:18,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.6386,372480,136750,12315,5000.0,,,,,,,,,,METADON - 20 G.
48,48,27-04-2020 23:03:18,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0765,44623,16383,1475,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
