,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,Didube,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,20-05-2020 17:09:09,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,11,нет,Тбилиси,0.5 гр,0.0163,11502,4263,384,159.0,,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,20-05-2020 17:09:09,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,7,нет,Тбилиси,0.5 гр,0.0027,1953,724,65,27.0,True,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
2,2,20-05-2020 17:09:09,Tbilisi,917bf145e7,Lsd 25 buds 1 GR,,1,нет,Тбилиси,1 гр,0.0048,3762,1394,126,52.0,,True,,,,,,,,,,Lsd 25 buds 1 GR
3,3,20-05-2020 17:09:09,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0252,18085,6703,604,250.0,,,,,,,,,,,,Kokain HQ 1g.
4,4,20-05-2020 17:09:09,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0832,65104,24129,2174,900.0,,,,,,,,,,,,Metadon 1gr
5,5,20-05-2020 17:09:09,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,3,нет,Тбилиси,1 гр,0.0245,17289,6408,577,239.0,,,True,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
6,6,20-05-2020 17:09:09,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,2 гр,0.0091,6438,2386,215,89.0,,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
7,7,20-05-2020 17:09:09,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,1,нет,Тбилиси,2 гр,0.0478,35446,13137,1184,490.0,,,,,,,,,,,,Kokain HQ 2g.
8,8,20-05-2020 17:09:09,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%,,3,нет,Тбилиси,2 гр,0.0089,6366,2359,213,88.0,,,,True,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%
9,9,20-05-2020 17:09:09,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0086,6149,2279,205,85.0,True,,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
