,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,24-03-2020 03:36:27,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,3,нет,Тбилиси,0.12 гр,0.0145,8897,3108,290,110.0,,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,24-03-2020 03:36:27,Tbilisi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,,1,нет,Тбилиси,0.25 гр,0.0273,15367,5368,502,190.0,True,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
2,2,24-03-2020 03:36:27,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,9,нет,Тбилиси,0.25 гр,0.0276,15367,5368,502,190.0,,,,,,,,,,,"Metadon VHQ 0,25"
3,3,24-03-2020 03:36:27,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,1,нет,Тбилиси,0.5 гр,0.0581,32353,11300,1056,400.0,,,,,,,,,,,Metadon VHQ 0.5 24/7
4,4,24-03-2020 03:36:27,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0167,9706,3390,317,120.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
5,5,24-03-2020 03:36:27,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.016,8816,3079,288,109.0,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
6,6,24-03-2020 03:36:27,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0065,3640,1271,119,45.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,7,24-03-2020 03:36:27,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0064,3559,1243,116,44.0,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
8,8,24-03-2020 03:36:27,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,4,нет,Тбилиси,1 гр,0.0073,4044,1413,132,50.0,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
9,9,24-03-2020 03:36:27,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,6,нет,Тбилиси,1 гр,0.0067,3721,1300,121,46.0,,,,,,,,,,,Amsterdam weed sativa 1gr
10,10,24-03-2020 03:36:27,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.0286,16581,5791,541,205.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
11,11,24-03-2020 03:36:27,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 1 штука!!!,True,2,нет,Тбилиси,1 гр,0.003,1860,650,61,23.0,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 1 shtuka!!!
12,12,24-03-2020 03:36:27,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0272,15287,5339,499,189.0,,,,,,,,,,,Kokain HQ 1g.
13,13,24-03-2020 03:36:27,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.026000000000000002,14478,5057,472,179.0,,True,,,,,,,,,Kokain KOLUMBIA 1g
14,14,24-03-2020 03:36:27,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1188,72793,25425,2376,900.0,,,,,,,,,,,Metadon 1gr
15,15,24-03-2020 03:36:27,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,2 гр,0.0115,6390,2232,209,79.0,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
16,16,24-03-2020 03:36:27,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,2,нет,Тбилиси,2 гр,0.0139,8493,2966,277,105.0,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
17,17,24-03-2020 03:36:27,Tbilisi,4a91350669,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,5,нет,Тбилиси,2 гр,0.0131,7279,2543,238,90.0,,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
18,18,24-03-2020 03:36:27,Tbilisi,64284550d9,2G ---> ONLY BUDS,,1,нет,Тбилиси,2 гр,0.0089,4934,1723,161,61.0,True,,,,,,,,,,2G ---> ONLY BUDS
19,19,24-03-2020 03:36:27,Tbilisi,e56bb6ca93,2gr Indica dominant Buds,True,6,нет,Тбилиси,2 гр,0.0096,5338,1865,174,66.0,True,,,,,,,,,,2gr Indica dominant Buds
20,20,24-03-2020 03:36:27,Tbilisi,0dec0e1c48,2gr Marijuana Buds -INDICA-,True,2,нет,Тбилиси,2 гр,0.009000000000000001,5015,1752,164,62.0,True,,,,,,,,,,2gr Marijuana Buds -INDICA-
21,21,24-03-2020 03:36:27,Tbilisi,ef3dc4de6c,Extasy GUCCI 2 шт. вес таблетки 450mg,True,1,нет,Тбилиси,2 гр,0.008,4448,1554,145,55.0,,,,,,,,,,,Extasy GUCCI 2 sht. ves tabletki 450mg
22,22,24-03-2020 03:36:27,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,2,нет,Тбилиси,2 гр,0.0528,30654,10707,1000,379.0,,,,,,,,,,,Kokain HQ 2g.
23,23,24-03-2020 03:36:27,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.0154,8493,2966,277,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
24,24,24-03-2020 03:36:27,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,5,нет,Тбилиси,3 гр,0.0051,2831,989,92,35.0,,,True,,,,,,,,Marijuana Super Skunk leaves 3g plan
25,25,24-03-2020 03:36:27,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 3 штуки!!!,True,4,нет,Тбилиси,3 гр,0.0063,3882,1356,127,48.0,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 3 shtuki!!!
26,26,24-03-2020 03:36:27,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0227,12537,4379,409,155.0,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
27,27,24-03-2020 03:36:27,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0422,25882,9040,845,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
28,28,24-03-2020 03:36:27,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0431,24264,8475,792,300.0,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
29,29,24-03-2020 03:36:27,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0433,25144,8816,821,,,,,290.0,,,,,,,5 gr mdma (skidka v bitkoin 5%)
