,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,Vake,Didube,.,Nadzaladevi,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
23,27-04-2020 04:14:52,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2304,149433,54700,4926,2000,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
24,27-04-2020 04:14:52,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,9,Тбилиси,2 гр,0.0472,27570,10092,909,369,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
25,27-04-2020 04:14:52,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0755,44083,16137,1453,590,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
26,27-04-2020 04:14:52,Tbilisi,A3I9,Joookerrr,"""JoKer Express"" - Марки н боом 4 штуки!",True,нет,4,Тбилиси,4 гр,0.0082,4815,1770,159,,,,,,,,60,,,,,"""JoKer Express"" - Marki n boom 4 shtuki!"
27,27-04-2020 04:14:52,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0507,29887,10940,985,400,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
28,27-04-2020 04:14:52,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0697,41094,15043,1355,550,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
29,27-04-2020 04:14:52,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,6,Тбилиси,5 гр,0.0215,12702,4650,419,170,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
30,27-04-2020 04:14:52,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0252,14869,5443,490,199,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
31,27-04-2020 04:14:52,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0252,14869,5443,490,199,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
32,27-04-2020 04:14:52,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0252,16363,5990,539,219,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
