,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Saburtalo,Gldani,€,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Центр,Батуми,desc_en
20,20,31-07-2020 15:27:20,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,True,1,нет,Тбилиси,1 гр,0.0044,4038,1532,134,55.0,,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
21,21,31-07-2020 15:27:20,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,2,нет,Тбилиси,1 гр,0.0044,3671,1393,122,50.0,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
22,22,31-07-2020 15:27:20,Tbilisi,67187efef3,АКЦИЯ! 1g hindu kish best buds BTC 5% sale,True,5,нет,Тбилиси,1 гр,0.0038,3304,1254,110,45.0,,,,,,,,,,,AKTsIJa! 1g hindu kish best buds BTC 5% sale
23,23,31-07-2020 15:27:20,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 1pc🍬🍬🍬,,1,нет,Тбилиси,1 гр,0.0049,4038,1532,134,55.0,,True,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 1pc🍬🍬🍬
24,24,31-07-2020 15:27:20,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,3,нет,Тбилиси,2 гр,0.0106,8811,3343,293,120.0,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
25,25,31-07-2020 15:27:20,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.0106,8811,3343,293,120.0,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
26,26,31-07-2020 15:27:20,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,3,нет,Тбилиси,2 гр,0.0089,7343,2786,244,100.0,,True,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
27,27,31-07-2020 15:27:20,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,True,1,нет,Тбилиси,2 гр,0.0106,8811,3343,293,120.0,,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
28,28,31-07-2020 15:27:20,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,2,нет,Тбилиси,2 гр,0.0078,6462,2452,215,88.0,,,,,,,,,,,2gr HYBRID buds
29,29,31-07-2020 15:27:20,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,1,нет,Тбилиси,2 гр,0.0106,8811,3343,293,120.0,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
30,30,31-07-2020 15:27:20,Tbilisi,83f3d55917,!!! NEW !!! 3G Jack Herer(VHQ 24%THC) Special Offer !! Special Prices for Our Costumers,,1,нет,Тбилиси,3 гр,0.0106,8811,3343,293,120.0,,True,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC) Special Offer !! Special Prices for Our Costumers
31,31,31-07-2020 15:27:20,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,2,нет,Тбилиси,3 гр,0.0073,6608,2507,219,90.0,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
32,32,31-07-2020 15:27:20,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,True,1,нет,Тбилиси,11 гр,0.0145,13217,5015,439,180.0,,,,,,,,,,,11+ GRAMM BEASTWEED NEW
33,33,31-07-2020 15:27:20,Tbilisi,52fe6d0af9,VHQ Methadon 1G max 12 Hours for adrss,True,нет,1,Тбилиси,1 гр,0.0887,73426,27860,2439,1000.0,,,,,,,,,,,VHQ Methadon 1G max 12 Hours for adrss
34,34,31-07-2020 15:27:20,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,3,Тбилиси,1 гр,0.033,27060,10233,888,,,,,310.0,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
35,35,31-07-2020 15:28:30,Tbilisi,7c395c455d,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,5,Тбилиси,4 гр,0.0355,29370,11144,975,400.0,,,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
36,36,31-07-2020 15:28:30,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0222,18357,6965,610,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
37,37,31-07-2020 15:28:30,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.024,19825,7522,658,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
38,38,31-07-2020 15:28:30,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0244,20192,7662,671,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
39,39,31-07-2020 15:28:30,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0213,17622,6686,585,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
40,40,31-07-2020 15:28:30,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0248,20559,7801,683,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
41,41,31-07-2020 15:28:30,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.024,19825,7522,658,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
42,42,31-07-2020 15:28:30,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0177,16080,6101,534,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
43,43,31-07-2020 15:28:30,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",True,нет,2,Тбилиси,5 гр,0.0209,17255,6547,573,235.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
44,44,31-07-2020 15:28:30,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0194,17622,6686,585,240.0,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
45,45,31-07-2020 15:28:30,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,нет,1,Тбилиси,5 гр,0.0194,17622,6686,585,240.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
46,46,31-07-2020 15:28:30,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 5G,True,нет,3,Тбилиси,5 гр,0.0209,17255,6547,573,235.0,,,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 5G
47,47,31-07-2020 15:28:30,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.024,19825,7522,658,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
48,48,31-07-2020 15:28:30,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2087,190000,87429,6313,,,,,,,,,,,,reagent 25i nbome. 5gr
49,49,31-07-2020 15:28:30,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.242,220278,83580,7316,3000.0,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
50,50,31-07-2020 15:28:30,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,1,Тбилиси,5 гр,0.0213,17458,6602,573,,,,,200.0,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
51,51,31-07-2020 15:28:30,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0488,40384,15323,1341,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
52,52,31-07-2020 15:28:30,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0621,51398,19502,1707,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
53,53,31-07-2020 15:28:30,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0373,30839,11701,1024,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
54,54,31-07-2020 15:28:30,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.071,58741,22288,1951,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
55,55,31-07-2020 15:28:30,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,8,Тбилиси,10 гр,0.0373,30839,11701,1024,420.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
56,56,31-07-2020 15:28:30,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1974,163373,61989,5426,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
57,57,31-07-2020 15:28:30,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0468,38407,14524,1261,,,,,440.0,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
58,58,31-07-2020 15:28:30,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0415,34043,12874,1118,,,,,390.0,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
59,59,31-07-2020 15:28:30,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0524,47727,18109,1585,650.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
60,60,31-07-2020 15:28:30,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.213,176223,66864,5853,2400.0,,,,,,,,,,,100 gr marijuana buds
61,61,31-07-2020 15:28:30,Tbilisi,8ddca45a78,"Weed cooking butter 100gr, Hight THC",True,нет,2,Тбилиси,100 гр,0.0133,11014,4179,366,150.0,,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
62,62,31-07-2020 15:28:30,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2218,183565,69650,6097,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
63,63,31-07-2020 15:28:30,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5235,433214,164374,14388,5900.0,,,,,,,,,,,180 gr marihuana persoalno
64,64,31-07-2020 15:28:30,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,3,Тбилиси,500 гр,0.0887,73426,27860,2439,1000.0,,True,,,,True,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
65,65,31-07-2020 15:28:30,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7542,624122,236810,20728,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
66,66,31-07-2020 15:28:30,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0161,14685,5572,488,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
67,67,31-07-2020 15:28:30,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0222,18357,6965,610,250.0,,True,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
68,68,31-07-2020 15:28:30,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0222,18357,6965,610,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
69,69,31-07-2020 15:28:30,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0484,44056,16716,1463,600.0,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
70,70,31-07-2020 15:29:42,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0222,18357,6965,610,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
71,71,31-07-2020 15:29:42,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0485,44056,16716,1463,600.0,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
72,72,31-07-2020 15:29:42,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0178,14685,5572,488,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
73,73,31-07-2020 15:29:42,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0222,18357,6965,610,250.0,,,,,,,,,,,Rabota na marki (kur'er)
74,74,31-07-2020 15:29:42,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0444,36713,13930,1219,500.0,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
75,75,31-07-2020 15:29:42,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0444,36713,13930,1219,500.0,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
76,76,31-07-2020 15:29:42,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.345,1101392,417900,36579,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
77,77,31-07-2020 15:29:42,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0444,36713,13930,1219,500.0,,,,,True,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
78,78,31-07-2020 15:31:46,Batumi,d30ed85c42,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.2g 🔋💎🧞‍♂️",,7,нет,Батуми,0.2 гр,0.0127,10387,3928,341,,,,,119.0,,,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.2g 🔋💎🧞‍♂️"
79,79,31-07-2020 15:31:46,Batumi,d30ed85c42,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/2шт (0.4мг)!💉⭕⚜,,4,нет,Батуми,0.4 гр,0.0095,7769,2938,255,,,,,89.0,,,,,True,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/2sht (0.4mg)!💉⭕⚜
80,80,31-07-2020 15:31:46,Batumi,d30ed85c42,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️",,9,нет,Батуми,0.4 гр,0.0244,19989,7559,656,,,,,229.0,,,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️"
81,81,31-07-2020 15:31:46,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,12,нет,Батуми,0.5 гр,0.0037,3055,1155,100,,,,,35.0,,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
82,82,31-07-2020 15:31:46,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,8,нет,Батуми,2 гр,0.0029,2423,919,80,33.0,,,,,,,,,,True,Melkie shishki (Indica) 2g
83,83,31-07-2020 15:31:46,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.04,33042,12537,1097,450.0,,,,,,,,,True,,Super Critical 10G
84,84,31-07-2020 15:31:46,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,1,4,Батуми,10 гр,0.0469,38407,14524,1261,,,,,440.0,,,,,True,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
85,85,31-07-2020 15:31:46,Batumi,f8a875c191,METADON - 0.30 - SALE,,нет,5,Батуми,0.3 гр,0.0269,22028,8358,732,300.0,,,,,,,,,,True,METADON - 0.30 - SALE
86,86,31-07-2020 15:31:46,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.033,27060,10233,888,,,,,310.0,,,,,,True,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
87,87,31-07-2020 15:31:46,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,4,Батуми,11 гр,0.0416,34043,12874,1118,,,,,390.0,,,,,,True,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
88,88,31-07-2020 15:31:46,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,1,Батуми,11 гр,0.0425,34828,13171,1144,,,,,399.0,,,,,,True,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
89,89,31-07-2020 15:31:46,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0081,7343,2786,244,100.0,,,,,,,,,,True,kur'er v Batumi
90,90,31-07-2020 15:31:46,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0202,18357,6965,610,250.0,,,,,,,,,,True,Rabota kladmenom. Tol'ko shishki.
91,91,31-07-2020 15:31:46,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0202,18357,6965,610,250.0,,,,,,,,,,True,Ischu kur'era v Gruzii!
92,92,31-07-2020 15:31:46,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0178,14685,5572,488,200.0,,,,,,,,,,True,Kur'er Batumi na marihuanu
93,93,31-07-2020 15:31:46,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.345,1101392,417900,36579,15000.0,,,,,,,,,,True,Vakansija optovogo kur'era na mef
94,94,31-07-2020 15:31:46,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0444,36713,13930,1219,500.0,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
