,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Дигоми,Gldani,Old Tbilisi (Старый город),€,Saburtalo,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,18-04-2020 18:59:04,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,0.5 гр,0.0047,2588,959,86,35.0,,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
1,1,18-04-2020 18:59:04,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,12,нет,Тбилиси,0.5 гр,0.0182,9982,3699,330,135.0,,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,18-04-2020 18:59:04,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,5,нет,Тбилиси,1 гр,0.0067,4067,1507,134,55.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds
3,3,18-04-2020 18:59:04,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,5,нет,Тбилиси,1 гр,0.0074,4067,1507,134,55.0,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
4,4,18-04-2020 18:59:04,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,10,нет,Тбилиси,1 гр,0.0076,4215,1562,139,57.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
5,5,18-04-2020 18:59:04,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,10,нет,Тбилиси,1 гр,0.0076,4215,1562,139,57.0,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
6,6,18-04-2020 18:59:04,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,8,нет,Тбилиси,1 гр,0.0074,4067,1507,134,55.0,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
7,7,18-04-2020 18:59:04,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1095,66550,24660,2201,900.0,,,,,,,,,,,,Metadon 1gr
8,8,18-04-2020 18:59:04,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,1,нет,Тбилиси,1 гр,0.0024,1479,548,49,20.0,,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
9,9,18-04-2020 18:59:04,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,8,нет,Тбилиси,2 гр,0.0122,7394,2740,245,100.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds
10,10,18-04-2020 18:59:04,Tbilisi,bb1791277e,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,,4,нет,Тбилиси,2 гр,0.0114,6285,2329,208,85.0,True,,,,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
