,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,€,Nadzaladevi,Old Tbilisi (Старый город),Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
22,16-04-2020 05:42:50,Tbilisi,LYHBG,Playboy,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,3 гр,0.0137,7298,2723,243,99,,,,,,,,,,,,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug
23,16-04-2020 05:42:50,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds. Indica,,3,нет,Тбилиси,3 гр,0.0169,8993,3355,299,122,,,True,,,,,,,,,3g superskunk top class buds. Indica
24,16-04-2020 05:42:50,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.0146,7740,2888,257,105,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
25,16-04-2020 05:42:50,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 3g TOP VHQ,True,2,нет,Тбилиси,3 гр,0.0137,7371,2750,245,100,,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
26,16-04-2020 05:42:50,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки!!!,True,6,нет,Тбилиси,4 гр,0.009,4840,1797,161,,,,,60,,True,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki!!!
27,16-04-2020 05:42:50,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0276,14669,5473,488,199,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
28,16-04-2020 05:42:50,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0422,23589,8800,784,320,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
29,16-04-2020 05:42:50,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0408,22114,8250,735,300,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
30,16-04-2020 05:42:50,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (hight quality),True,6,нет,Тбилиси,5 гр,0.0184,9878,3685,328,134,,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
31,16-04-2020 05:42:50,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0243,12900,4813,429,175,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
32,16-04-2020 05:42:50,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,5 гр,0.0069,4054,1513,135,55,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
33,16-04-2020 05:42:50,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,True,5,нет,Тбилиси,10 гр,0.0287,15406,5748,512,209,,,,,,,,,,,,10 gr marijuana buds. -indica-
34,16-04-2020 05:42:50,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0549,29412,10973,978,399,,,,,,,True,,,,,"10g. Shishki Amnesia Haze, Sativa"
35,16-04-2020 05:44:00,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,10 гр,0.0106,6266,2338,208,85,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
36,16-04-2020 05:44:00,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0528,29486,11000,980,400,,,,,,,,,,,,gashish evro 10g
37,16-04-2020 05:44:00,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1025,57276,21368,1904,777,,,,,,,,,,,,Gashish Evro 20gr
38,16-04-2020 05:44:00,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2499,147429,55000,4901,2000,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
39,16-04-2020 05:44:00,Tbilisi,U26MW,Skyhigh,"NEW NEW VHQ Cocaine Medelins Cartel 0,2g SALE SALE",True,нет,9,Тбилиси,0.2 гр,0.0052,2801,1045,93,38,,,,,,,,,,,,"NEW NEW VHQ Cocaine Medelins Cartel 0,2g SALE SALE"
