,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
0,0,15-06-2020 23:47:08,Tbilisi,014c8a1720,Heroin “sirec” 0.25g 4 person,True,True,9,нет,Тбилиси,0.25 гр,0.0119,8447,3235,285,120.0,,,,,,,,Heroin “sirec” 0.25g 4 person
1,1,15-06-2020 23:47:08,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,True,,3,нет,Тбилиси,0.25 гр,0.0124,8447,3235,285,120.0,,,,,,,,NEW Iranian Sirec 0.25g.
2,2,15-06-2020 23:47:08,Tbilisi,54915c4374,Геройн (сирец) 1 гр,,,1,нет,Тбилиси,1 гр,0.0325,22174,8492,749,315.0,True,,,,,,,Gerojn (sirets) 1 gr
3,3,15-06-2020 23:47:08,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,,1,нет,Тбилиси,2 гр,0.0091,6195,2372,209,88.0,,,,,,,,2gr HYBRID buds
4,4,15-06-2020 23:47:08,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,,1,нет,Тбилиси,2 гр,0.0088,5984,2292,202,85.0,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
5,5,15-06-2020 23:47:08,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,True,,2,нет,Тбилиси,3 гр,0.0071,4857,1860,164,69.0,,,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
6,6,15-06-2020 23:47:08,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,,2,нет,Тбилиси,5 гр,0.0182,12319,4718,416,175.0,,,,,,,,5x Extasy Duracell 223mg MDMA.
7,7,15-06-2020 23:47:08,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 5gr marijuana buds -indica- (КЛАДИ НА МАГНИТАХ),True,,10,нет,Тбилиси,5 гр,0.0102,6969,2669,235,99.0,,,,,,,,AKTsIJa! SUPER TsENA! 5gr marijuana buds -indica- (KLADI NA MAGNITAH)
8,8,15-06-2020 23:47:08,Tbilisi,7bd1a5deba,10 - GRAMM BEASTWEED,True,,1,нет,Тбилиси,10 гр,0.0187,14079,5392,476,200.0,,,,,,,,10 - GRAMM BEASTWEED
9,9,15-06-2020 23:47:08,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,True,,6,нет,Тбилиси,10 гр,0.0014,986,377,33,14.0,,,,,,,,GABAGAMA 10 shtuk
10,10,15-06-2020 23:47:08,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),True,,4,нет,Тбилиси,10 гр,0.0205,14009,5365,473,199.0,,,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
11,11,15-06-2020 23:47:08,Tbilisi,e56bb6ca93,"Отходы, листья и шишки. 🍃 Leafs and Buds (Good for making bubble hash)",True,,3,нет,Тбилиси,10 гр,0.0098,6617,2534,224,94.0,,,,,,,,"Othody, list'ja i shishki. 🍃 Leafs and Buds (Good for making bubble hash)"
12,12,15-06-2020 23:47:08,Tbilisi,83f3d55917,Химка !! 10 г %%5%% скидка новинка !!!!,,,2,нет,Тбилиси,10 гр,0.0064,4576,1752,155,65.0,,True,,,,,,Himka !! 10 g %%5%% skidka novinka !!!!
13,13,15-06-2020 23:47:08,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,,8,нет,Тбилиси,10 гр,0.0089,6688,2561,226,95.0,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
14,14,15-06-2020 23:47:08,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,,1,нет,Тбилиси,12 гр,0.0469,35198,13480,1189,500.0,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
15,15,15-06-2020 23:47:08,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,,1,нет,Тбилиси,60 гр,0.20800000000000002,140790,53920,4756,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
16,16,15-06-2020 23:47:08,Tbilisi,54915c4374,Сирец (геройн) очень сильный 1 гр (предзаказ на 10% дешевле!!!),True,,нет,20,Тбилиси,1 гр,0.0361,24638,9436,832,350.0,,,,,,,,Sirets (gerojn) ochen' sil'nyj 1 gr (predzakaz na 10% deshevle!!!)
17,17,15-06-2020 23:47:08,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,,нет,8,Тбилиси,2 гр,0.0384,25976,9948,878,369.0,,,,,,,,❄❄2g HQ COCAINE❄❄
18,18,15-06-2020 23:47:08,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,,нет,5,Тбилиси,3 гр,0.0603,40759,15610,1377,579.0,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
19,19,15-06-2020 23:47:08,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,,нет,7,Тбилиси,4 гр,0.0412,28158,10784,951,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
20,20,15-06-2020 23:47:08,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,,нет,5,Тбилиси,5 гр,0.0567,38717,14828,1308,550.0,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
21,21,15-06-2020 23:47:08,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,,нет,6,Тбилиси,5 гр,0.0242,16543,6336,559,235.0,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
