,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Vake,€,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
20,29-03-2020 00:14:21,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,4,нет,Тбилиси,2 гр,0.0109,5830,2138,193,75,True,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
21,29-03-2020 00:14:21,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,9,нет,Тбилиси,2 гр,0.01,5364,1967,178,69,True,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
22,29-03-2020 00:14:21,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,11,нет,Тбилиси,2 гр,0.01,5364,1967,178,69,True,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
23,29-03-2020 00:14:21,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,,10,нет,Тбилиси,2 гр,0.01,5364,1967,178,69,True,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
24,29-03-2020 00:14:21,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds. Indica,,1,нет,Тбилиси,2 гр,0.0116,6141,2252,203,79,,True,,,,,,,,,,2g super Skunk top class buds. Indica
25,29-03-2020 00:14:21,Tbilisi,8B31,GEOWEEDSHOP,2gr Indica dominant Buds,True,1,нет,Тбилиси,2 гр,0.0068,3653,1340,121,47,,,,,,,,,,,,2gr Indica dominant Buds
26,29-03-2020 00:14:21,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,,5,нет,Тбилиси,2 гр,0.0103,5441,1995,180,70,True,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
27,29-03-2020 00:14:21,Tbilisi,BB6E,WEEDSH0P,CHEESE WEED BUDS+leaves 2gr saburtalo !!,,10,нет,Тбилиси,2 гр,0.0048,2565,941,85,33,True,,,,,,,,,,,CHEESE WEED BUDS+leaves 2gr saburtalo !!
28,29-03-2020 00:14:21,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,,2,нет,Тбилиси,2 гр,0.0476,27984,10260,927,360,True,,,,,,,,,,,Cocaine Pure VHQ 2 g
29,29-03-2020 00:14:21,Tbilisi,X4ZM,ZYX,Gorilla Glue! 2G ! NEW ! BUDS !,,2,нет,Тбилиси,2 гр,0.0109,5830,2138,193,75,True,,,,,,,,,,,Gorilla Glue! 2G ! NEW ! BUDS !
30,29-03-2020 00:14:21,Tbilisi,QUZIV,Hollyweed,Marijuana Blackberry 2g. Indica,,2,нет,Тбилиси,2 гр,0.0116,6141,2252,203,79,,True,,,,,,,,,,Marijuana Blackberry 2g. Indica
31,29-03-2020 00:14:21,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,,4,нет,Тбилиси,2 гр,0.0542,31870,11685,1056,410,True,,,,,,,,,,,VHQ BEST Cocaine 2g.
32,29-03-2020 00:14:21,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,9,нет,Тбилиси,2 гр,0.0046,2721,998,90,35,True,,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
33,29-03-2020 00:14:21,Tbilisi,WLV7F,AGsgrowgro,metadon hydrochloride 4г,True,2,нет,Тбилиси,4 гр,0.008,4275,1568,142,55,,,,,,,,,,,,metadon hydrochloride 4g
34,29-03-2020 00:15:15,Tbilisi,WLV7F,AGsgrowgro,metadon hydrochloride 4г,True,2,нет,Тбилиси,4 гр,0.008,4275,1568,142,55,,,,,,,,,,,,metadon hydrochloride 4g
35,29-03-2020 00:15:15,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0424,24874,9120,824,320,True,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
36,29-03-2020 00:15:15,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0433,23320,8550,773,300,True,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
37,29-03-2020 00:15:15,Tbilisi,03F3,geoshop,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,3,нет,Тбилиси,5 гр,0.0241,12826,4703,425,165,True,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
38,29-03-2020 00:15:15,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0386,21435,7938,709,,True,,,250,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
39,29-03-2020 00:15:15,Tbilisi,BB6E,WEEDSH0P,5gr Stardawg Auto WEED BUDS,,3,нет,Тбилиси,5 гр,0.0246,13137,4817,435,169,True,,,,,,,,,,,5gr Stardawg Auto WEED BUDS
40,29-03-2020 00:15:15,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,7,нет,Тбилиси,5 гр,0.0258,13603,4988,451,175,True,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
41,29-03-2020 00:15:15,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,,1,нет,Тбилиси,5 гр,0.1059,62108,22772,2058,799,True,,,,,,,,,,,Cocaine Pure VHQ 5g.
