,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Дигоми,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,20-02-2020 15:10:09,Tbilisi,61df6a1c90,Метадон 0.15гр,True,7,нет,Тбилиси,0.15 гр,0.0119,8286,3186,287,130.0,,,,,,,,,,,Metadon 0.15gr
1,1,20-02-2020 15:10:09,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,8,нет,Тбилиси,0.25 гр,0.0165,11473,4412,397,180.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,20-02-2020 15:10:09,Tbilisi,61df6a1c90,Метадон 0.30гр,True,1,нет,Тбилиси,0.3 гр,0.0165,12111,4657,419,190.0,,,,,,,,,,,Metadon 0.30gr
3,3,20-02-2020 15:10:09,Tbilisi,366326d4d6,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,3,нет,Тбилиси,0.5 гр,0.006999999999999999,4398,1691,152,69.0,,,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
4,4,20-02-2020 15:10:09,Tbilisi,8ddca45a78,"0,5g BLUE CHEESE Indica THC 18% / BTC -10% sale",True,1,нет,Тбилиси,0.5 гр,0.0023,1594,613,55,25.0,,,,,,,,,,,"0,5g BLUE CHEESE Indica THC 18% / BTC -10% sale"
5,5,20-02-2020 15:10:09,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,5,нет,Тбилиси,0.5 гр,0.0111,6948,2672,240,109.0,,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
6,6,20-02-2020 15:10:09,Tbilisi,366326d4d6,0.5 g. Ketamine,True,9,нет,Тбилиси,0.5 гр,0.006,3761,1446,130,59.0,,,,,,,,,,,0.5 g. Ketamine
7,7,20-02-2020 15:10:09,Tbilisi,21de5577be,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,6,нет,Тбилиси,0.5 гр,0.0029,1849,711,64,29.0,True,,,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
8,8,20-02-2020 15:10:09,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,2,нет,Тбилиси,0.5 гр,0.0112,7012,2696,242,110.0,,,,,,,,,,,"Cocaine, 0.5 g"
9,9,20-02-2020 15:10:09,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0061,3824,1471,132,60.0,,,,,,,,,,,Ketamine 0.5g
10,10,20-02-2020 15:10:09,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0266,18485,7108,639,290.0,,,,,,,,,,,Metadon VHQ 0.5 24/7
11,11,20-02-2020 15:10:09,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,4,нет,Тбилиси,0.5 гр,0.0101,6310,2426,218,99.0,,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
12,12,20-02-2020 15:10:09,Tbilisi,edfbad0151,Pineapple Express 0.5G pressed buds only (hydro),True,4,нет,Тбилиси,0.5 гр,0.0028,1785,686,62,28.0,,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
13,13,20-02-2020 15:10:09,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,7,нет,Тбилиси,0.5 гр,0.0106,6948,2672,240,109.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
14,14,20-02-2020 15:10:09,Tbilisi,1c14effaaa,Silver Haze | 90% sativa 10% indica | 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0026,1785,686,62,28.0,,,,,,,,,,,Silver Haze | 90% sativa 10% indica | 0.5g
15,15,20-02-2020 15:10:09,Tbilisi,edfbad0151,THC Snow Buds Only 0.5 G (THC 23+%),True,1,нет,Тбилиси,0.5 гр,0.003,1912,735,66,30.0,,,,,,,,,,,THC Snow Buds Only 0.5 G (THC 23+%)
16,16,20-02-2020 15:10:10,Tbilisi,61df6a1c90,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0276,19122,7353,661,300.0,,,,,,,,,,,Metadon 0.6gr
17,17,20-02-2020 15:10:10,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,22,нет,Тбилиси,1 гр,0.0041,2868,1103,99,45.0,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
18,18,20-02-2020 15:10:10,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,6,нет,Тбилиси,1 гр,0.0121,7649,2941,264,120.0,,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
19,19,20-02-2020 15:10:10,Tbilisi,4a91350669,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,1,нет,Тбилиси,1 гр,0.0091,5737,2206,198,90.0,,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
