,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Vake,Дигоми,€,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,21-03-2020 07:31:08,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,4,нет,Тбилиси,0.25 гр,0.0271,14828,5339,486,190,,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,21-03-2020 07:31:08,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,,1,нет,Тбилиси,0.25 гр,0.013,7024,2529,230,90,True,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,21-03-2020 07:31:08,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,6,5,Тбилиси,0.27 гр,0.0364,19511,7025,640,250,True,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
3,21-03-2020 07:31:08,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0137,7726,2782,253,99,True,,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,21-03-2020 07:31:08,Tbilisi,V4T,COCAcoLA,MDMA 0.5gr огромные камни!,,7,нет,Тбилиси,0.5 гр,0.0094,5073,1827,166,65,True,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
5,21-03-2020 07:31:08,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,2,нет,Тбилиси,1 гр,0.0072,3902,1405,128,50,True,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
6,21-03-2020 07:31:08,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,1,нет,Тбилиси,1 гр,0.0056,3044,1096,100,39,True,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,21-03-2020 07:31:08,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,,3,нет,Тбилиси,1 гр,0.0065,3512,1265,115,45,True,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
8,21-03-2020 07:31:08,Tbilisi,ABOAB,ProGrow,1G ---> ONLY BUDS,True,8,нет,Тбилиси,1 гр,0.0047,2575,927,84,33,,,,,,,,,,,,1G ---> ONLY BUDS
9,21-03-2020 07:31:08,Tbilisi,1GT8,GREENGY,1g MDMA (IMPORTED),,2,нет,Тбилиси,1 гр,0.0166,9365,3372,307,120,True,,,,,,,,,,,1g MDMA (IMPORTED)
10,21-03-2020 07:31:08,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,2,нет,Тбилиси,1 гр,0.0261,14750,5311,484,189,True,,,,,,,,,,,Cocaine Pure VHQ 1g
11,21-03-2020 07:31:08,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,,1,нет,Тбилиси,1 гр,0.0864,46827,16860,1535,600,True,,,,,,,,,,,Metadon VHQ 1 24/7
12,21-03-2020 07:31:08,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0258,13970,5030,458,179,,True,,,,,,,,,,Kokain KOLUMBIA 1g
13,21-03-2020 07:31:08,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1178,70240,25290,2303,900,True,,,,,,,,,,,Metadon 1gr
14,21-03-2020 07:31:08,Tbilisi,9VLN,AlienShop,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,,6,нет,Тбилиси,1 гр,0.01,5385,1939,177,69,True,,,,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
15,21-03-2020 07:31:08,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,13,нет,Тбилиси,2 гр,0.0137,8195,2951,269,105,True,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
16,21-03-2020 07:31:08,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,2,нет,Тбилиси,2 гр,0.0115,6244,2248,205,80,True,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
17,21-03-2020 07:31:08,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,2,нет,Тбилиси,2 гр,0.0099,5385,1939,177,69,True,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
18,21-03-2020 07:31:08,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,,1,нет,Тбилиси,2 гр,0.0114,6166,2220,202,79,True,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
19,21-03-2020 07:31:08,Tbilisi,ABOAB,ProGrow,2G ---> ONLY BUDS,True,15,нет,Тбилиси,2 гр,0.0088,4761,1714,156,61,,,,,,,,,,,,2G ---> ONLY BUDS
20,21-03-2020 07:31:08,Tbilisi,ABOAB,ProGrow,2G ---> Plan,,2,нет,Тбилиси,2 гр,0.0043,2341,843,77,30,True,,,,,,,,,,,2G ---> Plan
21,21-03-2020 07:31:08,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g BTC SALE 5% ПОДЪЕЗД!!! НА МАГНИТЕ!!!,,1,нет,Тбилиси,2 гр,0.0506,27706,9976,908,355,,,True,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5% POD'EZD!!! NA MAGNITE!!!
22,21-03-2020 07:31:08,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,,1,нет,Тбилиси,2 гр,0.0047,2810,1012,92,36,True,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
23,21-03-2020 07:31:08,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,,1,нет,Тбилиси,2 гр,0.0524,29579,10650,970,379,True,,,,,,,,,,,Kokain HQ 2g.
24,21-03-2020 07:31:08,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,2,нет,Тбилиси,3 гр,0.0144,7726,2782,253,99,True,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
25,21-03-2020 07:31:08,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0419,24974,8992,819,320,True,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
26,21-03-2020 07:31:08,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0462,26088,9409,856,,True,,,310,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
27,21-03-2020 07:31:08,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,6,нет,Тбилиси,5 гр,0.0255,13658,4918,448,175,True,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
28,21-03-2020 07:31:08,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,2,нет,Тбилиси,5 гр,0.1133,61421,22115,2014,787,,,True,,,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
29,21-03-2020 07:31:08,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,9,нет,Тбилиси,5 гр,0.0085,5073,1827,166,65,True,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
30,21-03-2020 07:31:08,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0468,25364,9133,832,325,,,True,,,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
31,21-03-2020 07:31:08,Tbilisi,UJP9,420Inc,THC Snow Leavs 6G,,3,нет,Тбилиси,6 гр,0.0057,3122,1124,102,40,True,,,,,,,,,,,THC Snow Leavs 6G
32,21-03-2020 07:31:08,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0526,28486,10257,934,365,,,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
33,21-03-2020 07:31:08,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0385,20838,7503,683,267,True,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
34,21-03-2020 07:31:55,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,6,нет,Тбилиси,10 гр,0.013,7726,2782,253,99,True,,,,,True,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
35,21-03-2020 07:31:55,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0553,31218,11240,1024,400,True,,,,,,,,,,,gashish evro 10g
36,21-03-2020 07:31:55,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,1,нет,Тбилиси,11 гр,0.0915,49558,17844,1625,635,,,True,,,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
37,21-03-2020 07:31:55,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2618,156089,56200,5118,2000,True,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
38,21-03-2020 07:31:55,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G - (SALE),,13,5,Тбилиси,0.27 гр,0.0364,19511,7025,640,250,True,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G - (SALE)
39,21-03-2020 07:31:55,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),,2,3,Тбилиси,1.1 гр,0.1091,58533,21075,1919,750,True,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
40,21-03-2020 07:31:55,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,нет,5,Тбилиси,2 гр,0.0291,15609,5620,512,200,True,,,,,,,,,,,✨✨2gram. MDMA✨✨
