,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Дигоми,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,18-03-2020 07:24:04,Tbilisi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,8,нет,Тбилиси,0.25 гр,0.0305,14039,5510,450,190.0,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,1,18-03-2020 07:24:04,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,,2,нет,Тбилиси,0.25 гр,0.0146,6650,2610,213,90.0,True,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,2,18-03-2020 07:24:04,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,,2,нет,Тбилиси,0.25 гр,0.027999999999999997,14039,5510,450,190.0,True,,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,18-03-2020 07:24:04,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,10,10,Тбилиси,0.27 гр,0.0371,16773,6583,537,227.0,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
4,4,18-03-2020 07:24:04,Tbilisi,99accec7c7,COCAINE VHQ!!! 0.5gr THE BEST COCA,True,4,нет,Тбилиси,0.5 гр,0.0177,8054,3161,258,109.0,,,,,,,,,,,COCAINE VHQ!!! 0.5gr THE BEST COCA
5,5,18-03-2020 07:24:04,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0154,7315,2871,234,99.0,True,,,,,,,,,,Cocaine Pure VHQ 0.5g
6,6,18-03-2020 07:24:04,Tbilisi,99accec7c7,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))) скидка припокупке битком!,True,20,нет,Тбилиси,0.5 гр,0.0117,5542,2175,178,75.0,,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!))) skidka pripokupke bitkom!
7,7,18-03-2020 07:24:04,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",,3,нет,Тбилиси,0.5 гр,0.0162,7315,2871,234,99.0,True,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
8,8,18-03-2020 07:24:04,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,3,нет,Тбилиси,1 гр,0.0081,3694,1450,118,50.0,True,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
9,9,18-03-2020 07:24:04,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,,8,нет,Тбилиси,1 гр,0.0194,8867,3480,284,120.0,True,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
