,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Vake,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
104,104,14-02-2020 23:50:09,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7077,475902,184800,16501,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
105,105,14-02-2020 23:50:09,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.802,539356,209440,18701,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
106,106,14-02-2020 23:50:09,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0172,12691,4928,440,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
107,107,14-02-2020 23:50:09,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0172,12691,4928,440,200.0,,,,,,,,,,Trebuetsja Kur'er
108,108,14-02-2020 23:50:09,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0189,12691,4928,440,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
109,109,14-02-2020 23:50:09,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0236,15863,6160,550,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
110,110,14-02-2020 23:50:09,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.4282,951804,369600,33002,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
111,111,14-02-2020 23:51:26,Batumi,3c4662c591,Super SKUNK 2G,,3,нет,Батуми,2 гр,0.0086,6345,2464,220,100.0,,,,,,,True,,,Super SKUNK 2G
112,112,14-02-2020 23:51:26,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE ),,10,10,Батуми,0.27 гр,0.0216,14404,5593,499,227.0,,,,,,,,True,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE )
113,113,14-02-2020 23:51:26,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,19,Батуми,5 гр,0.0172,12691,4928,440,200.0,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
114,114,14-02-2020 23:51:26,Batumi,30f48d507d,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.0896,60281,23408,2090,950.0,,,,,,,,True,,Hybrid Skunk! 50 gr
115,115,14-02-2020 23:51:26,Batumi,30f48d507d,Hybrid Skunk! 100 gr,,нет,1,Батуми,100 гр,0.1698,114216,44352,3960,1800.0,,,,,,,,True,,Hybrid Skunk! 100 gr
116,116,14-02-2020 23:51:26,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2859,190361,73920,6600,3000.0,,,,,,,,True,,SUBOXIN - HQ - 100 G.
117,117,14-02-2020 23:51:26,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,5,Батуми,150 гр,0.2383,158634,61600,5500,2500.0,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
118,118,14-02-2020 23:51:26,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0095,6345,2464,220,100.0,,,,,,,,True,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
119,119,14-02-2020 23:51:26,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0043,3173,1232,110,50.0,,,,,,,,True,,kur'er v Batumi
120,120,14-02-2020 23:51:26,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0043,3173,1232,110,50.0,,,,,,,,True,,Vakansija Kur'era v Batumi
121,121,14-02-2020 23:51:26,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0068,5000,2301,173,,,,,,,,,True,,Vakansija Kur'era v Batumi
122,122,14-02-2020 23:51:26,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0214,15863,6160,550,250.0,,,,,,,,True,,Ischu kur'era v Gruzii!
123,123,14-02-2020 23:51:26,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.4282,951804,369600,33002,15000.0,,,,,,,,True,,Vakansija optovogo kur'era na mef
124,124,14-02-2020 23:51:26,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0472,31727,12320,1100,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
125,125,14-02-2020 23:52:54,Kutaisi,d4df7908c3,"Шишки/weeds Afghan Kush, - 0,5г - Удобные клады в подъездах",,2,нет,Кутаиси,0.5 гр,0.0021,1396,542,48,22.0,,,,,,,,,True,"Shishki/weeds Afghan Kush, - 0,5g - Udobnye klady v pod'ezdah"
126,126,14-02-2020 23:52:54,Kutaisi,d4df7908c3,"Шишки/weed Afghan Kush, 1г - Удобные клады в подъездах",,3,нет,Кутаиси,1 гр,0.0038,2538,986,88,40.0,,,,,,,,,True,"Shishki/weed Afghan Kush, 1g - Udobnye klady v pod'ezdah"
127,127,14-02-2020 23:52:54,Kutaisi,d4df7908c3,Шишки / weeds Afghan Kush - 2г,,2,нет,Кутаиси,2 гр,0.0077,5076,1971,176,80.0,,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
128,128,14-02-2020 23:52:54,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,2,3,Кутаиси,3 гр,0.0106,7043,2735,244,111.0,,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
129,129,14-02-2020 23:52:54,Kutaisi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0096,6345,2464,220,100.0,,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
