,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Vake,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
21,21,14-02-2020 23:48:04,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 1G (BTC sale 10%)",,2,нет,Тбилиси,1 гр,0.0042,3109,1207,108,49.0,,True,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 1G (BTC sale 10%)"
22,22,14-02-2020 23:48:04,Tbilisi,8219f5e7b8,Ketamine 1g,True,3,нет,Тбилиси,1 гр,0.0095,6345,2464,220,100.0,,,,,,,,,,Ketamine 1g
23,23,14-02-2020 23:48:04,Tbilisi,366326d4d6,Ketamine 1g.,True,3,нет,Тбилиси,1 гр,0.0085,5647,2193,196,89.0,,,,,,,,,,Ketamine 1g.
24,24,14-02-2020 23:48:04,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0429,31727,12320,1100,500.0,,,,,,,,,,Metadon VHQ 1 24/7
25,25,14-02-2020 23:48:04,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,2,нет,Тбилиси,1 гр,0.018000000000000002,11993,4657,416,189.0,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
26,26,14-02-2020 23:48:04,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,9,нет,Тбилиси,1 гр,0.0112,8249,3203,286,130.0,,,,,,,,,,NZT-52 mind storm limited 1g muka
27,27,14-02-2020 23:48:04,Tbilisi,edfbad0151,Pineapple Express 1G pressed buds(Hydro),True,1,нет,Тбилиси,1 гр,0.0045,3109,1207,108,49.0,,,,,,,,,,Pineapple Express 1G pressed buds(Hydro)
28,28,14-02-2020 23:48:04,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,6,нет,Тбилиси,1 гр,0.018000000000000002,12627,4903,438,199.0,,,,,,,,,,VHQ BEST Cocaine 1g.
29,29,14-02-2020 23:48:04,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,3,нет,Тбилиси,1 гр,0.0136,9518,3696,330,150.0,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
30,30,14-02-2020 23:48:04,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,6,нет,Тбилиси,1 гр,0.0169,11358,4411,394,179.0,,,True,,,,,,,Kokain KOLUMBIA 1g
31,31,14-02-2020 23:48:42,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,6,нет,Тбилиси,1 гр,0.0169,11358,4411,394,179.0,,,True,,,,,,,Kokain KOLUMBIA 1g
32,32,14-02-2020 23:48:42,Tbilisi,e8a987a33c,"Метадон, 1gr",True,4,нет,Тбилиси,1 гр,0.0377,25381,9856,880,400.0,,,,,,,,,,"Metadon, 1gr"
33,33,14-02-2020 23:48:42,Tbilisi,7c395c455d,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,2,нет,Тбилиси,1.2 гр,0.0113,7614,2957,264,120.0,,,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
34,34,14-02-2020 23:48:42,Tbilisi,2dbb5960b9,Methadone HQ in city 1.3g,True,1,нет,Тбилиси,1.3 гр,0.0518,34899,13552,1210,550.0,,,,,,,,,,Methadone HQ in city 1.3g
35,35,14-02-2020 23:48:42,Tbilisi,366326d4d6,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,6,нет,Тбилиси,2 гр,0.0075,5013,1947,174,79.0,,,,,,,,,,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
36,36,14-02-2020 23:48:42,Tbilisi,7ee4f68218,2 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,2 гр,0.0069,4814,1872,168,,,,,70.0,,,,,,2 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
