,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
0,24-07-2020 02:24:42,Tbilisi,EIH4,San4oPan4o,!!Hash!! Гашиш 0.5г !!! BTC SALE 5%!!!!,True,8,нет,Тбилиси,0.5 гр,0.0068,4767,1883,160,58,,,,,,,,,,!!Hash!! Gashish 0.5g !!! BTC SALE 5%!!!!
1,24-07-2020 02:24:42,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,,12,нет,Тбилиси,0.5 гр,0.0034,2342,927,79,,True,33,,,,,,,,0.5 gr HYBRID buds
2,24-07-2020 02:24:42,Tbilisi,7R3WM,RastaShop,0.5 gr. Afghan kush (Indika),True,2,нет,Тбилиси,0.5 гр,0.0032,2200,871,74,,,31,,,,,,,,0.5 gr. Afghan kush (Indika)
3,24-07-2020 02:24:42,Tbilisi,9CK,Hyperboy,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 0.5G🍭🍭🍭,,1,нет,Тбилиси,0.5 гр,0.0067,4613,1827,155,,True,65,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 0.5G🍭🍭🍭
4,24-07-2020 02:24:42,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,4,нет,Тбилиси,1 гр,0.0062,4258,1686,143,,,60,True,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
5,24-07-2020 02:24:42,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,,5,нет,Тбилиси,1 гр,0.0061,4187,1658,141,,,59,True,,,,,,,1 G Hybrid Marijuana Buds
6,24-07-2020 02:24:42,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,3,нет,Тбилиси,1 гр,0.0062,4258,1686,143,,True,60,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,24-07-2020 02:24:42,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",,2,нет,Тбилиси,1 гр,0.0057,3903,1546,131,,True,55,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
8,24-07-2020 02:24:42,Tbilisi,7R3WM,RastaShop,1.0 gr. Afghan kush (Indika),True,2,нет,Тбилиси,1 гр,0.0055,3761,1489,126,,,53,,,,,,,,1.0 gr. Afghan kush (Indika)
9,24-07-2020 02:24:42,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),True,2,нет,Тбилиси,1 гр,0.0055,3761,1489,126,,,53,,,,,,,,1G ---> Big Devil (BTC - Sale)
10,24-07-2020 02:24:42,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,,10,нет,Тбилиси,1 гр,0.005,3477,1377,117,,True,49,,,,,,,,1gr HYBRID o.g
11,24-07-2020 02:24:42,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 1гр",,2,нет,Тбилиси,1 гр,0.0051,3903,1546,131,,True,55,True,,,,,,,"Hindu Kush (photoperiod, regular) 1gr"
