,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,24-03-2020 04:17:02,Tbilisi,F8K,BestAcid,Метадон - 0.12 г Новая партия!,True,3,нет,Тбилиси,0.12 гр,0.0142,8897,3108,290,110,,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,24-03-2020 04:17:02,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,,1,нет,Тбилиси,0.25 гр,0.0267,15367,5368,502,190,True,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
2,24-03-2020 04:17:02,Tbilisi,TI21,Campaari,"Метадон VHQ 0,25",True,9,нет,Тбилиси,0.25 гр,0.027,15367,5368,502,190,,,,,,,,,,,"Metadon VHQ 0,25"
3,24-03-2020 04:17:02,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,1,нет,Тбилиси,0.5 гр,0.0568,32353,11300,1056,400,,,,,,,,,,,Metadon VHQ 0.5 24/7
4,24-03-2020 04:17:02,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0163,9706,3390,317,120,,,,,,,,,,,Pure COCAINE VHQ 0.5g
5,24-03-2020 04:17:02,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.0156,8816,3079,288,109,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
6,24-03-2020 04:17:02,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0064,3640,1271,119,45,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,24-03-2020 04:17:02,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0062,3559,1243,116,44,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
8,24-03-2020 04:17:02,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,4,нет,Тбилиси,1 гр,0.0071,4044,1413,132,50,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
9,24-03-2020 04:17:02,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,True,6,нет,Тбилиси,1 гр,0.0065,3721,1300,121,46,,,,,,,,,,,Amsterdam weed sativa 1gr
10,24-03-2020 04:17:02,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.0279,16581,5791,541,205,,,,,,,,,,,VHQ BEST Cocaine 1g.
11,24-03-2020 04:17:02,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 1 штука!!!,True,2,нет,Тбилиси,1 гр,0.003,1860,650,61,23,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 1 shtuka!!!
12,24-03-2020 04:17:02,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0265,15287,5339,499,189,,,,,,,,,,,Kokain HQ 1g.
13,24-03-2020 04:17:02,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0254,14478,5057,472,179,,True,,,,,,,,,Kokain KOLUMBIA 1g
14,24-03-2020 04:17:02,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1161,72793,25425,2376,900,,,,,,,,,,,Metadon 1gr
15,24-03-2020 04:17:02,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,2 гр,0.0112,6390,2232,209,79,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
16,24-03-2020 04:17:02,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,2,нет,Тбилиси,2 гр,0.0135,8493,2966,277,105,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
