,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Дигоми,Nadzaladevi,€,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
24,24,11-02-2020 02:40:10,Tbilisi,edfbad0151,Morocco Hash Ice-Scream 1G High THc,True,1,нет,Тбилиси,1 гр,0.0074,4783,1853,164,75.0,,,,,,,,,,,,,Morocco Hash Ice-Scream 1G High THc
25,25,11-02-2020 02:40:10,Tbilisi,3814ba5701,Weed From Gali(THC 23%) 1gr,,1,нет,Тбилиси,1 гр,0.0047,3189,1235,109,50.0,,,,True,,,,,,,,,Weed From Gali(THC 23%) 1gr
26,26,11-02-2020 02:40:10,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,5,нет,Тбилиси,1 гр,0.0197,12690,4915,435,199.0,,True,,,,,,,,,,,Kokain KOLUMBIA 1g
27,27,11-02-2020 02:40:10,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0427,28697,11115,983,450.0,,,,,,,,,,,,,Metadon 1gr
28,28,11-02-2020 02:40:10,Tbilisi,e8a987a33c,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.0395,25508,9880,874,400.0,,,,,,,,,,,,,"Metadon, 1gr"
29,29,11-02-2020 02:40:10,Tbilisi,7ee4f68218,2 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,2 гр,0.0073,4888,1894,167,,,,,,70.0,,,,,,,,2 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
30,30,11-02-2020 02:40:10,Tbilisi,21de5577be,2 gr. Blue Berry Kush 100% Natural/Indika/ Import,,3,нет,Тбилиси,2 гр,0.0079,5102,1976,175,80.0,True,True,,,,,,,,,,,2 gr. Blue Berry Kush 100% Natural/Indika/ Import
31,31,11-02-2020 02:40:47,Tbilisi,21de5577be,2 gr. SALE! Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT,,1,нет,Тбилиси,2 гр,0.0074,4783,1853,164,75.0,,,,,,True,,,,,,,2 gr. SALE! Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT
32,32,11-02-2020 02:40:47,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,11,нет,Тбилиси,2 гр,0.006999999999999999,4464,1729,153,70.0,,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
33,33,11-02-2020 02:40:47,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0373,24552,9510,841,385.0,,,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
34,34,11-02-2020 02:40:47,Tbilisi,ae784bef73,Gorilla Glue! 2G! NEW !,True,2,нет,Тбилиси,2 гр,0.0074,4783,1853,164,75.0,,,,,,,,,,,,,Gorilla Glue! 2G! NEW !
35,35,11-02-2020 02:40:47,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0207,14667,5681,502,230.0,,,,,,,,,,,,,NZT-52 mind storm limited 2g muka
