,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Дигоми,Nadzaladevi,€,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
91,91,11-02-2020 02:41:27,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0387,27421,10621,939,430.0,,,,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
92,92,11-02-2020 02:41:27,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4548,293346,113620,10050,4600.0,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
93,93,11-02-2020 02:41:27,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7416,478281,185250,16385,7500.0,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
94,94,11-02-2020 02:41:27,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8405,542052,209950,18570,8500.0,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
95,95,11-02-2020 02:41:27,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.018000000000000002,12754,4940,437,200.0,,,,,,,,,,,,,KURYER..500RUB.+BONUS
96,96,11-02-2020 02:41:27,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.018000000000000002,12754,4940,437,200.0,,,,,,,,,,,,,Trebuetsja Kur'er
97,97,11-02-2020 02:41:27,Tbilisi,16dfc5477e,Требуется сотрудник,True,1,нет,Тбилиси,1 гр,0.0198,12754,4940,437,200.0,,,,,,,,,,,,,Trebuetsja sotrudnik
98,98,11-02-2020 02:41:56,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0198,12754,4940,437,200.0,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
99,99,11-02-2020 02:41:56,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0247,15943,6175,546,250.0,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
100,100,11-02-2020 02:41:56,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.4967,956562,370500,32771,15000.0,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
101,101,11-02-2020 02:43:19,Batumi,d4df7908c3,"Шишки / weeds OGKZ, 2г",,1,нет,Батуми,2 гр,0.0099,6313,2445,216,99.0,,,,,,,,,,True,,,"Shishki / weeds OGKZ, 2g"
102,102,11-02-2020 02:43:19,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE ),,2,10,Батуми,0.27 гр,0.0227,14476,5607,496,227.0,,,,,,,,,,,True,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE )
103,103,11-02-2020 02:43:19,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,19,Батуми,5 гр,0.018000000000000002,12754,4940,437,200.0,,,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
104,104,11-02-2020 02:43:19,Batumi,30f48d507d,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.0939,60582,23465,2075,950.0,,,,,,,,,,,True,,Hybrid Skunk! 50 gr
105,105,11-02-2020 02:43:19,Batumi,30f48d507d,Hybrid Skunk! 100 gr,,нет,1,Батуми,100 гр,0.17800000000000002,114787,44460,3932,1800.0,,,,,,,,,,,True,,Hybrid Skunk! 100 gr
106,106,11-02-2020 02:43:19,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2996,191312,74100,6554,3000.0,,,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
107,107,11-02-2020 02:43:19,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,5,Батуми,150 гр,0.2497,159427,61750,5462,2500.0,,,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
108,108,11-02-2020 02:43:19,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.01,6377,2470,218,100.0,,,,,,,,,,,True,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
109,109,11-02-2020 02:43:19,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0045,3189,1235,109,50.0,,,,,,,,,,,True,,kur'er v Batumi
110,110,11-02-2020 02:43:19,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0045,3189,1235,109,50.0,,,,,,,,,,,True,,Vakansija Kur'era v Batumi
111,111,11-02-2020 02:43:19,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.006999999999999999,5000,2301,171,,,,,,,,,,,,True,,Vakansija Kur'era v Batumi
112,112,11-02-2020 02:43:19,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0225,15943,6175,546,250.0,,,,,,,,,,,True,,Ischu kur'era v Gruzii!
113,113,11-02-2020 02:43:19,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.4967,956562,370500,32771,15000.0,,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
114,114,11-02-2020 02:43:19,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0494,31885,12350,1092,500.0,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
115,115,11-02-2020 02:45:03,Kutaisi,d4df7908c3,"Шишки/weeds Afghan Kush, - 0,5г - Удобные клады в подъездах",,6,нет,Кутаиси,0.5 гр,0.002,1275,494,44,20.0,,,,,,,,,,,,True,"Shishki/weeds Afghan Kush, - 0,5g - Udobnye klady v pod'ezdah"
116,116,11-02-2020 02:45:03,Kutaisi,d4df7908c3,Шишки / weeds Afghan Kush - 2г,,2,нет,Кутаиси,2 гр,0.0074,4719,1828,162,74.0,,,,,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
117,117,11-02-2020 02:45:03,Kutaisi,d4df7908c3,"Шишки/weed Afghan Kush, 1г - Удобные клады в подъездах",,4,2,Кутаиси,1 гр,0.0037,2360,914,81,37.0,,,,,,,,,,,,True,"Shishki/weed Afghan Kush, 1g - Udobnye klady v pod'ezdah"
118,118,11-02-2020 02:45:03,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,2,3,Кутаиси,3 гр,0.0105,6696,2594,229,105.0,,,,,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
119,119,11-02-2020 02:45:03,Kutaisi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.01,6377,2470,218,100.0,,,,,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
