,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Varketili,Vazisubani,Zahesi,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,04-07-2020 23:13:01,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,4,нет,Тбилиси,0.25 гр,0.0114,7843,3029,270,99.0,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,04-07-2020 23:13:01,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0105,7050,2735,242,,True,100.0,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,2,04-07-2020 23:13:01,Tbilisi,16a8841259,0.5г Jamaican,,4,нет,Тбилиси,0.5 гр,0.0032,2186,848,75,,True,31.0,,,,,,,,,,0.5g Jamaican
3,3,04-07-2020 23:13:01,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,,2,нет,Тбилиси,0.5 гр,0.0036,2397,930,82,,True,34.0,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
4,4,04-07-2020 23:13:01,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,17,нет,Тбилиси,0.5 гр,0.0028,1904,738,65,,True,27.0,True,True,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
5,5,04-07-2020 23:13:01,Tbilisi,2f51af8159,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G,,13,нет,Тбилиси,0.5 гр,0.0033,2256,875,77,,,32.0,True,,,,,,,,,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G
6,6,04-07-2020 23:13:01,Tbilisi,52fe6d0af9,VHQ Hash From Morroco Iso 0.5G THC 23%+,,8,нет,Тбилиси,0.5 гр,0.0044,2961,1149,102,,True,42.0,,,True,,,,,,,VHQ Hash From Morroco Iso 0.5G THC 23%+
7,7,04-07-2020 23:13:01,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,2,нет,Тбилиси,1 гр,0.0063,4230,1641,145,,True,60.0,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,8,04-07-2020 23:13:01,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",,2,нет,Тбилиси,1 гр,0.0058,3878,1504,133,,True,55.0,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
9,9,04-07-2020 23:13:01,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,3,нет,Тбилиси,1 гр,0.0062,4160,1614,143,,,59.0,,,,True,,,,,,1 gr top buds white widow wishki THC 25% VHQ
