,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Vake,$,Авлобари,Дигоми,Nadzaladevi,Varketili,Old Tbilisi (Старый город),Saburtalo,Gldani,Vazisubani,€,Центр,Батуми,Кутаиси,desc_en
29,29,03-05-2020 04:43:36,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0185,4760,423,12727,,175.0,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
30,30,03-05-2020 04:43:36,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 5g TOP VHQ,True,8,нет,Тбилиси,5 гр,0.0167,4352,386,11636,,160.0,,,,,,,,,,,,,AKA-47 ONLY BUDS 5g TOP VHQ
31,31,03-05-2020 04:43:36,Tbilisi,83f3d55917,!!!New!!!(Hawaiian sativa 8G ) 20%THC Sale .,,1,нет,Тбилиси,8 гр,0.0397,10336,917,27636,,380.0,,,,,,,,True,,,,,!!!New!!!(Hawaiian sativa 8G ) 20%THC Sale .
32,32,03-05-2020 04:43:36,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,True,6,нет,Тбилиси,10 гр,0.0218,5685,505,15200,,209.0,,,,,,True,,,,,,,10 gr marijuana buds. -indica-
33,33,03-05-2020 04:43:36,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0401,10880,966,29091,,400.0,,,,,,,,,,,,,gashish evro 10g
34,34,03-05-2020 04:43:36,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,10,нет,Тбилиси,20 гр,0.0423,11016,978,29454,,405.0,,True,,,,True,,,,,,,20 gr Indica marijuana buds (hight quality)
35,35,03-05-2020 04:43:36,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0779,21134,1876,56508,,777.0,,,,,,,,,,,,,Gashish Evro 20gr
36,36,03-05-2020 04:44:03,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1901,54400,4829,145453,,2000.0,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
37,37,03-05-2020 04:44:03,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,нет,14,Тбилиси,0.2 гр,0.0041,1061,94,2836,,39.0,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
38,38,03-05-2020 04:44:03,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,7,Тбилиси,1 гр,0.0167,4352,386,11636,,160.0,,,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
39,39,03-05-2020 04:44:03,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,2,Тбилиси,1 гр,0.0141,3672,326,9818,,135.0,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
40,40,03-05-2020 04:44:03,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0341,9801,867,26109,,,,,,,,,,,330.0,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
41,41,03-05-2020 04:44:03,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 2 штуки!",True,нет,44,Тбилиси,2 гр,0.0037,952,85,2545,,35.0,,,,,,,,,,,,,"""JoKer Express"" - Marki n boom 2 shtuki!"
42,42,03-05-2020 04:44:03,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,5,Тбилиси,2 гр,0.0222,5712,507,15273,,210.0,,,,,,,,,,,,,✨✨2gram. MDMA✨✨
43,43,03-05-2020 04:44:03,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,5,Тбилиси,2 гр,0.039,10037,891,26836,,369.0,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
44,44,03-05-2020 04:44:03,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0611,15749,1398,42109,,579.0,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
45,45,03-05-2020 04:44:03,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0418,10880,966,29091,,400.0,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
46,46,03-05-2020 04:44:03,Tbilisi,54915c4374,Предзаказ н-бооом 4 штуки!!!,True,нет,7,Тбилиси,4 гр,0.0063,1632,145,4364,,60.0,,,,,,,,,,,,,Predzakaz n-booom 4 shtuki!!!
47,47,03-05-2020 04:44:03,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,4,Тбилиси,4 гр,0.0146,3808,338,10182,,140.0,,,,,,True,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
48,48,03-05-2020 04:44:03,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0575,14960,1328,39999,,550.0,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
49,49,03-05-2020 04:44:03,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.024,6256,555,16727,,230.0,,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
50,50,03-05-2020 04:44:03,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0251,6528,579,17454,,240.0,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
51,51,03-05-2020 04:44:03,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0251,6528,579,17454,,240.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
52,52,03-05-2020 04:44:03,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0208,5413,480,14473,,199.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
