,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Gldani,€,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,23-03-2020 04:14:06,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,1,нет,Тбилиси,0.25 гр,0.0135,7024,2529,230,90,,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
1,23-03-2020 04:14:06,Tbilisi,TI21,Campaari,"Метадон VHQ 0,25",True,7,нет,Тбилиси,0.25 гр,0.0286,14828,5339,486,190,,,,,,,,,,,,"Metadon VHQ 0,25"
2,23-03-2020 04:14:06,Tbilisi,TI21,Campaari,"A-PVP 0,5 g VHQ",True,2,нет,Тбилиси,0.5 гр,0.0173,8975,3232,294,115,,,,,,,,,,,,"A-PVP 0,5 g VHQ"
3,23-03-2020 04:14:06,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0143,7726,2782,253,99,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,23-03-2020 04:14:06,Tbilisi,V4T,COCAcoLA,MDMA 0.5gr огромные камни!,True,2,нет,Тбилиси,0.5 гр,0.0098,5073,1827,166,65,,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
5,23-03-2020 04:14:06,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0173,9365,3372,307,120,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
6,23-03-2020 04:14:06,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,1 гр,0.006,3434,1236,113,44,,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
7,23-03-2020 04:14:06,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,1 гр,0.0068,3512,1265,115,45,,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
8,23-03-2020 04:14:06,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,5,нет,Тбилиси,1 гр,0.0075,3902,1405,128,50,,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
9,23-03-2020 04:14:06,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,True,8,нет,Тбилиси,1 гр,0.0069,3590,1293,118,46,,,,,,,,,,,,Amsterdam weed sativa 1gr
10,23-03-2020 04:14:06,Tbilisi,UJP9,420Inc,Blue Cheese Auto 1G pressed buds(Hydro),True,2,нет,Тбилиси,1 гр,0.0066,3512,1265,115,45,,,,,,,,,,,,Blue Cheese Auto 1G pressed buds(Hydro)
11,23-03-2020 04:14:06,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0273,14750,5311,484,189,,,,,,,,,,,,Cocaine Pure VHQ 1g
12,23-03-2020 04:14:06,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,5,нет,Тбилиси,1 гр,0.0296,15999,5761,525,205,,,,,,,,,,,,VHQ BEST Cocaine 1g.
13,23-03-2020 04:14:06,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 1 штука!!!,True,4,нет,Тбилиси,1 гр,0.0031,1795,646,59,23,,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 1 shtuka!!!
14,23-03-2020 04:14:06,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0269,13970,5030,458,179,True,,,,,,,,,,,Kokain KOLUMBIA 1g
15,23-03-2020 04:14:06,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.123,70240,25290,2303,900,,,,,,,,,,,,Metadon 1gr
16,23-03-2020 04:14:06,Tbilisi,Y6FO,Opiate,Methadone HQ in city 1.4g,True,1,2,Тбилиси,1.4 гр,0.1053,54631,19670,1791,700,,,,,,,,,,,,Methadone HQ in city 1.4g
17,23-03-2020 04:14:06,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,7,нет,Тбилиси,2 гр,0.0144,8195,2951,269,105,,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
18,23-03-2020 04:14:06,Tbilisi,JVZTQ,partyshop,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,6,нет,Тбилиси,2 гр,0.0135,7024,2529,230,90,,,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
19,23-03-2020 04:14:06,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,True,3,нет,Тбилиси,2 гр,0.0119,6166,2220,202,79,,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
20,23-03-2020 04:14:06,Tbilisi,ABOAB,ProGrow,2G ---> ONLY BUDS,,1,нет,Тбилиси,2 гр,0.0092,4761,1714,156,61,,True,,,,,,,,,,2G ---> ONLY BUDS
21,23-03-2020 04:14:06,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds. Indica,,3,нет,Тбилиси,2 гр,0.012,6166,2220,202,79,,,True,,,,,,,,,2g super Skunk top class buds. Indica
22,23-03-2020 04:14:06,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,True,2,нет,Тбилиси,2 гр,0.0492,28096,10116,921,360,,,,,,,,,,,,Cocaine Pure VHQ 2 g
23,23-03-2020 04:14:06,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 2 шт. вес таблетки 450mg,True,3,нет,Тбилиси,2 гр,0.0083,4292,1546,141,55,,,,,,,,,,,,Extasy GUCCI 2 sht. ves tabletki 450mg
24,23-03-2020 04:14:06,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0159,8195,2951,269,105,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
25,23-03-2020 04:14:06,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 3 штуки!!!,True,10,нет,Тбилиси,3 гр,0.0066,3746,1349,123,48,,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 3 shtuki!!!
26,23-03-2020 04:14:06,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.015,7726,2782,253,99,,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
27,23-03-2020 04:14:06,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0437,24974,8992,819,320,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
28,23-03-2020 04:14:06,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0447,23413,8430,768,300,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
29,23-03-2020 04:14:06,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,1,нет,Тбилиси,5 гр,0.0299,15531,5592,509,199,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
30,23-03-2020 04:14:06,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0451,24405,8802,801,,,,,290,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
31,23-03-2020 04:14:06,Tbilisi,1GT8,GREENGY,5g MDMA (IMPORTED),True,2,нет,Тбилиси,5 гр,0.0577,31218,11240,1024,400,,,,,,,,,,,,5g MDMA (IMPORTED)
