,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,0,10-06-2020 04:37:48,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,4,нет,Тбилиси,0.5 гр,0.0161,10919,4253,378,159.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,10-06-2020 04:37:48,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,5,нет,Тбилиси,0.5 гр,0.0032,2198,856,76,32.0,True,True,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
2,2,10-06-2020 04:37:48,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.0132,8928,3478,309,130.0,,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
3,3,10-06-2020 04:37:48,Tbilisi,0cd3c52bb8,"Remo Chemo , сорт чемпион ! Накуривает по-царски.На магните.Вес всегда больше 1 грамма.",True,2,нет,Тбилиси,1 гр,0.005,3777,1471,131,55.0,,,,,,,,,,,"Remo Chemo , sort chempion ! Nakurivaet po-tsarski.Na magnite.Ves vsegda bol'she 1 gramma."
4,4,10-06-2020 04:37:48,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,True,2,нет,Тбилиси,1 гр,0.005,3777,1471,131,55.0,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
5,5,10-06-2020 04:37:48,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,3,нет,Тбилиси,2 гр,0.0088,6043,2354,209,88.0,,,,,,,,,,,2gr HYBRID buds
6,6,10-06-2020 04:37:48,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,True,1,нет,Тбилиси,2 гр,0.0472,32277,12573,1118,470.0,,,,,,,,,,,Cocaine Pure VHQ 2 g
7,7,10-06-2020 04:37:48,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0085,5837,2274,202,85.0,True,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
8,8,10-06-2020 04:37:48,Tbilisi,e56bb6ca93,3 gr Indica dominant Buds,,7,нет,Тбилиси,3 гр,0.0089,6112,2381,212,89.0,,,True,,,,,,,,3 gr Indica dominant Buds
9,9,10-06-2020 04:37:48,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,True,12,нет,Тбилиси,3 гр,0.0087,5975,2327,207,87.0,,,,,,,,,,,3 gr georgian weed. Package on magnet
