,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,24-02-2020 11:38:39,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,5,нет,Тбилиси,0.15 гр,0.0118,8359,3186,288,130,,,,,,,,,,Metadon 0.15gr
1,24-02-2020 11:38:39,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.17 G,True,3,5,Тбилиси,0.17 гр,0.0151,9645,3677,332,150,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.17 G
2,24-02-2020 11:38:39,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,3,нет,Тбилиси,0.25 гр,0.01,6430,2451,221,100,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
3,24-02-2020 11:38:39,Tbilisi,LYHBG,Playboy,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,3,нет,Тбилиси,0.5 гр,0.007,4437,1691,153,69,,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
4,24-02-2020 11:38:39,Tbilisi,OX85,amnesia420,"0,5g NORTHERN LIGHTS Indica THC 20% / BTC -10% sale",True,5,нет,Тбилиси,0.5 гр,0.0023,1608,613,55,25,,,,,,,,,,"0,5g NORTHERN LIGHTS Indica THC 20% / BTC -10% sale"
5,24-02-2020 11:38:39,Tbilisi,7R3WM,RastaShop,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,3,нет,Тбилиси,0.5 гр,0.0029,1865,711,64,29,True,,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
6,24-02-2020 11:38:39,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.009,6366,2426,219,99,,,,,,,,,,Cocaine Pure VHQ 0.5g
7,24-02-2020 11:38:39,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0104,7009,2672,241,109,,,,,,,,,,Pure COCAINE VHQ 0.5g
8,24-02-2020 11:38:39,Tbilisi,1IZXK,BadboysTbl,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0272,19290,7353,664,300,,,,,,,,,,Metadon 0.6gr
9,24-02-2020 11:38:39,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,3,нет,Тбилиси,0.8 гр,0.015,9645,3677,332,150,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
