,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Gldani,Saburtalo,Vake,€,Дигоми,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,14-03-2020 17:44:22,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,1,нет,Тбилиси,0.25 гр,0.0261,11710,4302,374,160.0,,,,,,,,,,,,,"Metadon VHQ 0,25"
1,1,14-03-2020 17:44:22,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.30 G,True,3,3,Тбилиси,0.3 гр,0.0495,21956,8067,702,300.0,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
2,2,14-03-2020 17:44:22,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,12,нет,Тбилиси,0.5 гр,0.0041,1830,672,59,25.0,,,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
3,3,14-03-2020 17:44:22,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,9,нет,Тбилиси,1 гр,0.0074,3659,1345,117,50.0,,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
4,4,14-03-2020 17:44:22,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,1 гр,0.0082,3659,1345,117,50.0,,,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
5,5,14-03-2020 17:44:22,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,,1,нет,Тбилиси,1 гр,0.0074,3293,1210,105,45.0,True,,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
6,6,14-03-2020 17:44:22,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,6,нет,Тбилиси,1 гр,0.0139,6221,2286,199,85.0,,,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
7,7,14-03-2020 17:44:22,Tbilisi,64284550d9,1G ---> ONLY BUDS,True,19,нет,Тбилиси,1 гр,0.0062,2854,1049,91,39.0,,,,,,,,,,,,,1G ---> ONLY BUDS
8,8,14-03-2020 17:44:22,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,7,нет,Тбилиси,1 гр,0.0139,6221,2286,199,85.0,,,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
9,9,14-03-2020 17:44:22,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,18,нет,Тбилиси,1 гр,0.0075,3367,1237,108,46.0,,,,,,,,,,,,,Amsterdam weed sativa 1gr
