,time_stamp,region,sell_code,sell_name,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Дигоми,Saburtalo,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,30-05-2020 08:31:36,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0103,7004,2678,239,99,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj !!! BTC SALE 5%!!!! SALE !!!!
1,30-05-2020 08:31:36,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,,8,нет,Тбилиси,0.25 гр,0.0106,7075,2705,241,100,True,,,,,,,,,,Iranian Sirec 0.25g.
2,30-05-2020 08:31:36,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,,10,нет,Тбилиси,0.5 гр,0.017,11250,4301,383,159,True,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,30-05-2020 08:31:36,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,,7,нет,Тбилиси,1 гр,0.0319,21155,8088,721,299,True,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
4,30-05-2020 08:31:36,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0865,63677,24345,2169,900,True,,,,,,,,,,Metadon 1gr
5,30-05-2020 08:31:36,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️,True,9,нет,Тбилиси,1 гр,0.0052,3467,1325,118,49,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️
6,30-05-2020 08:31:36,Tbilisi,EIH4,San4oPan4o,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,2,нет,Тбилиси,3 гр,0.0202,13797,5275,470,195,,True,,,,,,,,,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
7,30-05-2020 08:31:36,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,,8,нет,Тбилиси,3 гр,0.0127,8419,3219,287,119,True,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
8,30-05-2020 08:31:36,Tbilisi,9VLN,AlienShop,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,,2,нет,Тбилиси,3 гр,0.0123,8136,3111,277,115,,,True,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
9,30-05-2020 08:31:36,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 4 шт. вес таблетки 450mg,,1,нет,Тбилиси,4 гр,0.0113,7570,2894,258,107,True,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
10,30-05-2020 08:31:36,Tbilisi,V76M,Endorphin,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0056,3891,1488,133,55,True,,,,,,,,,,Suboxene 4mg
11,30-05-2020 08:31:36,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,2,нет,Тбилиси,5 гр,0.0314,21226,8115,723,300,True,,,,,,,,,,5 Grm Mdma Pure Quality A +++
12,30-05-2020 08:31:36,Tbilisi,03F3,geoshop,10 gr марихуана листья top гибрид,,20,нет,Тбилиси,10 гр,0.0106,7075,2705,241,100,True,,,True,,,,,,,10 gr marihuana list'ja top gibrid
13,30-05-2020 08:31:36,Tbilisi,HWUW,opiopi,GABAGAMA 20 SHTUK,,5,нет,Тбилиси,20 гр,0.0035,2547,974,87,36,True,,,,,,,,,,GABAGAMA 20 SHTUK
14,30-05-2020 08:31:36,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0788,54974,21018,1873,777,True,,,,,,,,,,Gashish Evro 20gr
15,30-05-2020 08:31:36,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,,2,нет,Тбилиси,50 гр,0.0077,5660,2164,193,80,True,,,,,,,,,,GABAGAMA 50 SHTUK
16,30-05-2020 08:31:36,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.1921,141504,54100,4820,2000,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
17,30-05-2020 08:31:36,Tbilisi,HWUW,opiopi,GABAGAMA 150 shtuk,,1,нет,Тбилиси,150 гр,0.0178,13089,5004,446,185,True,,,,,,,,,,GABAGAMA 150 shtuk
18,30-05-2020 08:31:36,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,нет,5,Тбилиси,2 гр,0.0224,14858,5681,506,210,True,,,,,,,,,,✨✨2gram. MDMA✨✨
19,30-05-2020 08:31:36,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,нет,1,Тбилиси,2 гр,0.009,6014,2299,205,85,,,True,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
20,30-05-2020 08:31:36,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,7,Тбилиси,2 гр,0.0394,26107,9981,889,369,True,,,,,,,,,,❄❄2g HQ COCAINE❄❄
21,30-05-2020 08:31:36,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0618,40965,15662,1395,579,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
22,30-05-2020 08:31:36,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0423,28301,10820,964,400,True,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
23,30-05-2020 08:31:36,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0148,9905,3787,337,140,,,True,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
24,30-05-2020 08:31:36,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",,нет,1,Тбилиси,5 гр,0.074,49526,18935,1687,700,True,,,,,,,,,,"""Kief"" Weed trichomes 5G"
25,30-05-2020 08:31:36,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0581,38914,14878,1326,550,True,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
26,30-05-2020 08:31:36,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,9,Тбилиси,5 гр,0.0248,16627,6357,566,235,True,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
27,30-05-2020 08:31:36,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0254,16980,6492,578,240,True,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
28,30-05-2020 08:31:36,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.0243,16273,6222,554,230,True,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
29,30-05-2020 08:31:36,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0254,16980,6492,578,240,True,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
30,30-05-2020 08:31:36,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0254,16980,6492,578,240,True,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
31,30-05-2020 08:31:36,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0243,16273,6222,554,230,True,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
32,30-05-2020 08:31:36,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.021,15495,5924,528,219,True,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
33,30-05-2020 08:31:36,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0248,16627,6357,566,235,True,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
34,30-05-2020 08:32:21,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2862,212256,81150,7230,3000,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
35,30-05-2020 08:32:21,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.1016,67851,25941,2311,959,True,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
36,30-05-2020 08:32:21,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0201,13443,5140,458,190,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
37,30-05-2020 08:32:21,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,3,Тбилиси,5 гр,0.0518,34598,13227,1178,489,True,,,,,,,,,,💘✨5g. MDMA ✨💘
38,30-05-2020 08:32:21,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0944,63677,24345,2169,900,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
39,30-05-2020 08:32:21,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.042,28301,10820,964,400,True,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
40,30-05-2020 08:32:21,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0735,49526,18935,1687,700,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
41,30-05-2020 08:32:21,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0441,29716,11361,1012,420,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
42,30-05-2020 08:32:21,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.084,56602,21640,1928,800,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
43,30-05-2020 08:32:21,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2335,157423,60186,5362,2225,True,,,,,,,,,,Amfetamin [White] [Import] 10G
44,30-05-2020 08:32:21,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,2,Тбилиси,10 гр,0.1652,110302,42171,3757,1559,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
45,30-05-2020 08:32:21,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.0391,26107,9981,889,369,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
46,30-05-2020 08:32:21,Tbilisi,7LHWP,GEOBUDS,20 gr georgian weed. Package on magnet,,нет,9,Тбилиси,20 гр,0.0419,28230,10793,962,399,True,,,,,,,,,,20 gr georgian weed. Package on magnet
47,30-05-2020 08:32:21,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.53,353760,135250,12050,5000,True,,,,,,,,,,METADON - 20 G.
48,30-05-2020 08:32:21,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0635,42380,16203,1444,599,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
49,30-05-2020 08:32:21,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,,нет,6,Тбилиси,50 гр,0.1363,91907,35138,3131,1299,True,,,,,,,,,,50 gr georgian weed. Package on magnet
50,30-05-2020 08:32:21,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,,нет,5,Тбилиси,100 гр,0.2622,176809,67598,6023,2499,True,,,,,,,,,,100 gr georgian weed. Package on magnet
