,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Didube,Saburtalo,Gldani,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
26,13-05-2020 07:43:53,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,3,нет,Тбилиси,5 гр,0.033,8640,781,23498,320,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
27,13-05-2020 07:43:53,Tbilisi,BB6E,WEEDSH0P,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,1,нет,Тбилиси,5 гр,0.0063,1593,144,4333,59,,,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
28,13-05-2020 07:43:53,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.019,4725,427,12851,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
29,13-05-2020 07:43:53,Tbilisi,U26MW,Skyhigh,Hybrid Somango Weed 5 g,True,1,нет,Тбилиси,5 гр,0.0177,4455,402,12116,165,,,,,,,,,,,Hybrid Somango Weed 5 g
30,13-05-2020 07:43:53,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1198,31050,2805,84447,1150,,,,,,,,,,,VHQ BEST Cocaine 5g.
31,13-05-2020 07:43:53,Tbilisi,ETHA6,PABLITTO,GEORGIAN MARIJUANA 6-GRAM,True,2,нет,Тбилиси,6 гр,0.0088,2430,220,6609,90,,,,,,,,,,,GEORGIAN MARIJUANA 6-GRAM
32,13-05-2020 07:43:53,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,15,нет,Тбилиси,10 гр,0.0214,5373,485,14613,199,True,,,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
33,13-05-2020 07:43:53,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0412,10800,976,29373,400,,,,,,,,,,,gashish evro 10g
34,13-05-2020 07:43:53,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),,3,нет,Тбилиси,20 гр,0.0407,10233,924,27831,379,,,,True,,,,,,,20 gr Indica marijuana buds (hight quality)
35,13-05-2020 07:43:53,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0801,20979,1895,57057,777,,,,,,,,,,,Gashish Evro 20gr
36,13-05-2020 07:44:41,Tbilisi,8B31,GEOWEEDSHOP,50 гр Марихуана шишки. ИНДИКА,,1,нет,Тбилиси,50 гр,0.0912,22923,2071,62344,849,,True,,,,,,,,,50 gr Marihuana shishki. INDIKA
37,13-05-2020 07:44:41,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1952,54000,4878,146865,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
38,13-05-2020 07:44:41,Tbilisi,A3I9,Joookerrr,Бупренорфин (аналог суботекса) 0.1 гр.,True,нет,10,Тбилиси,0.1 гр,0.0053,1463,132,3972,,,,,,50,,,,,,Buprenorfin (analog suboteksa) 0.1 gr.
39,13-05-2020 07:44:41,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",True,нет,10,Тбилиси,0.5 гр,0.0081,2025,183,5507,75,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
40,13-05-2020 07:44:41,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0172,4320,390,11749,160,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
41,13-05-2020 07:44:41,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,2,Тбилиси,2 гр,0.0228,5670,512,15421,210,,,,,,,,,,,✨✨2gram. MDMA✨✨
42,13-05-2020 07:44:41,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,4,Тбилиси,2 гр,0.04,9963,900,27097,369,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
43,13-05-2020 07:44:41,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0628,15633,1412,42517,579,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
44,13-05-2020 07:44:41,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.043,10800,976,29373,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
45,13-05-2020 07:44:41,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.015,3780,341,10281,140,,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
46,13-05-2020 07:44:41,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0591,14850,1342,40388,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
47,13-05-2020 07:44:41,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0252,6345,573,17257,235,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
48,13-05-2020 07:44:41,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0258,6480,585,17624,240,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
49,13-05-2020 07:44:41,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0247,6210,561,16890,230,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
50,13-05-2020 07:44:41,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0171,4293,388,11676,159,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
51,13-05-2020 07:44:41,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0258,6480,585,17624,240,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
52,13-05-2020 07:44:41,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0258,6480,585,17624,240,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
53,13-05-2020 07:44:41,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0247,6210,561,16890,230,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
54,13-05-2020 07:44:41,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0214,5913,534,16082,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
55,13-05-2020 07:44:41,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0252,6345,573,17257,235,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
56,13-05-2020 07:44:41,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0172,4320,390,11749,160,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
