,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Тбилиси,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,29-02-2020 18:24:18,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!,True,2,нет,Тбилиси,2 гр,0.0351,21437,7904,717,320.0,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!
1,1,29-02-2020 18:24:18,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,1,нет,Тбилиси,2 гр,0.0387,23380,8620,781,349.0,True,,,,,,,,,Kokain KOLUMBIA 2g
2,2,29-02-2020 18:24:18,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,,1,нет,Тбилиси,5 гр,0.0178,10652,3927,356,159.0,,True,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
3,3,29-02-2020 18:24:18,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,,3,нет,Тбилиси,5 гр,0.0174,10384,3829,347,155.0,,True,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
4,4,29-02-2020 18:24:18,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",,2,нет,Тбилиси,5 гр,0.0168,10049,3705,336,150.0,,True,,,,,,,,"LSD - 250 ug, 5 pieces"
5,5,29-02-2020 18:24:18,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,,5,нет,Тбилиси,5 гр,0.0178,10652,3927,356,159.0,,True,,,,,,,,NEW !!! 5G OG KusH !!! NEW
6,6,29-02-2020 18:24:18,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,,2,нет,Тбилиси,5 гр,0.0173,10317,3804,345,154.0,,True,,,,,,,,NEW !!! 5G White Widow !!! NEW
7,7,29-02-2020 18:24:18,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0387,23380,8620,781,349.0,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
8,8,29-02-2020 18:24:18,Tbilisi,8219f5e7b8,"LSD - 250 ug, 10 pieces",,1,нет,Тбилиси,10 гр,0.0336,20097,7410,672,300.0,,True,,,,,,,,"LSD - 250 ug, 10 pieces"
9,9,29-02-2020 18:24:18,Tbilisi,e501bd0ada,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road",,1,нет,Тбилиси,10 гр,0.0255,16078,5928,537,240.0,,True,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road"
10,10,29-02-2020 18:24:18,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0426,26796,9880,896,400.0,,True,,,,,,,,gashish evro 10g
11,11,29-02-2020 18:24:18,Tbilisi,e501bd0ada,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road",,2,нет,Тбилиси,20 гр,0.0479,30146,11115,1008,450.0,,True,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road"
12,12,29-02-2020 18:24:18,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0827,52052,19192,1740,777.0,,True,,,,,,,,Gashish Evro 20gr
13,13,29-02-2020 18:24:18,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,нет,5,Тбилиси,0.27 гр,0.0302,18088,6669,605,270.0,,True,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
14,14,29-02-2020 18:24:18,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),,нет,5,Тбилиси,0.35 гр,0.0336,20097,7410,672,300.0,,True,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
15,15,29-02-2020 18:24:18,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,,нет,6,Тбилиси,0.5 гр,0.0111,6632,2445,222,99.0,,True,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
16,16,29-02-2020 18:24:18,Tbilisi,dd631c4acf,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,,нет,1,Тбилиси,1 гр,0.0077,4622,1704,155,69.0,,True,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
17,17,29-02-2020 18:24:18,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),,1,5,Тбилиси,1.1 гр,0.0728,43544,16055,1455,650.0,,True,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
18,18,29-02-2020 18:24:18,Tbilisi,cb721d4bca,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,,нет,5,Тбилиси,2 гр,0.0185,11187,4125,374,167.0,,True,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
19,19,29-02-2020 18:24:18,Tbilisi,cb721d4bca,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",,нет,3,Тбилиси,2 гр,0.0181,12164,4473,407,,,True,,165.0,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
20,20,29-02-2020 18:24:18,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,4,Тбилиси,3 гр,0.0661,39525,14573,1321,590.0,,True,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
21,21,29-02-2020 18:24:18,Tbilisi,dd631c4acf,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃,,нет,5,Тбилиси,3 гр,0.0191,12661,4668,423,189.0,,True,,,,,,,,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃
22,22,29-02-2020 18:24:18,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,8,Тбилиси,4 гр,0.0444,26796,9880,896,400.0,,True,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
23,23,29-02-2020 18:24:18,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.061,36845,13585,1232,550.0,,True,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
24,24,29-02-2020 18:24:18,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,,нет,8,Тбилиси,5 гр,0.0266,16078,5928,537,240.0,,True,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
25,25,29-02-2020 18:24:18,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,10,Тбилиси,5 гр,0.0277,16748,6175,560,250.0,,True,,,,,,,,5 gr Shishki “OG KUSH VHQ”
26,26,29-02-2020 18:24:18,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,,нет,2,Тбилиси,5 гр,0.0277,16748,6175,560,250.0,,True,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
27,27,29-02-2020 18:24:18,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0277,16748,6175,560,250.0,,True,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
