,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Vake,$,Тбилиси,Saburtalo,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,11-06-2020 12:36:02,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,3,нет,Тбилиси,0.25 гр,0.0144,10052,3922,348,129.0,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,11-06-2020 12:36:02,Tbilisi,2f51af8159,NEW !!! SUPER HIGH QUALITY MANGO KUSH HYBRID BUDS THC 25%+ 0.5G,,3,нет,Тбилиси,0.5 гр,0.0032,2196,856,76,,True,32.0,,,,,,,,NEW !!! SUPER HIGH QUALITY MANGO KUSH HYBRID BUDS THC 25%+ 0.5G
2,2,11-06-2020 12:36:02,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,13,нет,Тбилиси,0.5 гр,0.0032,2196,856,76,,,32.0,True,True,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
3,3,11-06-2020 12:36:02,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0242,16400,6393,567,,,239.0,True,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
4,4,11-06-2020 12:36:02,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,3,нет,Тбилиси,1 гр,0.011000000000000001,7479,2916,259,,,109.0,,True,True,,,,,✨ 1g. MDMA ✨
5,5,11-06-2020 12:36:02,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0085,5833,2274,202,,,85.0,,True,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
6,6,11-06-2020 12:36:02,Tbilisi,e56bb6ca93,3 gr Indica dominant Buds,,10,нет,Тбилиси,3 гр,0.0089,6107,2381,211,,,89.0,,,True,,,,,3 gr Indica dominant Buds
7,7,11-06-2020 12:36:02,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,22,нет,Тбилиси,3 гр,0.0087,5970,2327,206,,,87.0,True,,,,,,,3 gr georgian weed. Package on magnet
8,8,11-06-2020 12:36:02,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,12,нет,Тбилиси,5 гр,0.0139,9538,3718,330,,,139.0,True,,,,,,,5 gr georgian weed. Package on magnet
9,9,11-06-2020 12:36:02,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0219,16468,6420,569,,,240.0,True,,,,,,,5g. marihuana shishki Critical
