,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,03-04-2020 13:44:56,Tbilisi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,6,нет,Тбилиси,0.25 гр,0.022000000000000002,12359,4388,412,159.0,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,1,03-04-2020 13:44:56,Tbilisi,99accec7c7,SALE!!! METHADONE 0.25 THE BEST QUALITY VHQ SALE!!!,True,5,нет,Тбилиси,0.25 гр,0.0249,13992,4968,466,180.0,,,,,,,,SALE!!! METHADONE 0.25 THE BEST QUALITY VHQ SALE!!!
2,2,03-04-2020 13:44:56,Tbilisi,99accec7c7,HEROINE-999 0.5гр СКИДКИ КАРАНТИННЫе греча из авганистана! скидка при покупке BTC,True,4,нет,Тбилиси,0.5 гр,0.0415,23320,8280,777,300.0,,,,,,,,HEROINE-999 0.5gr SKIDKI KARANTINNYe grecha iz avganistana! skidka pri pokupke BTC
3,3,03-04-2020 13:44:56,Tbilisi,99accec7c7,METHADONE 0.5 SALE SALE SALE THE BEST QUALITY VHQ,True,2,нет,Тбилиси,0.5 гр,0.0484,27206,9660,906,350.0,,,,,,,,METHADONE 0.5 SALE SALE SALE THE BEST QUALITY VHQ
4,4,03-04-2020 13:44:56,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0159,9328,3312,311,120.0,True,,,,,,,Pure COCAINE VHQ 0.5g
5,5,03-04-2020 13:44:56,Tbilisi,8a650ecf5f,"Метадон VHQ 0,5",,1,нет,Тбилиси,0.5 гр,0.0457,25652,9108,854,330.0,True,,,,,,,"Metadon VHQ 0,5"
6,6,03-04-2020 13:44:56,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,16,нет,Тбилиси,1 гр,0.0075,4664,1656,155,60.0,True,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
7,7,03-04-2020 13:44:56,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.0069,3887,1380,129,50.0,True,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
8,8,03-04-2020 13:44:56,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,,1,нет,Тбилиси,1 гр,0.0054,3032,1076,101,39.0,True,,,,,,,1 gr Shishki “OG KUSH VHQ”
9,9,03-04-2020 13:44:56,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,8,нет,Тбилиси,1 гр,0.0053,2954,1049,98,38.0,True,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
10,10,03-04-2020 13:44:56,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,2,нет,Тбилиси,1 гр,0.0251,14691,5216,489,189.0,True,,,,,,,Cocaine Pure VHQ 1g
11,11,03-04-2020 13:44:56,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,True,5,нет,Тбилиси,1 гр,0.083,46640,16560,1554,600.0,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
12,12,03-04-2020 13:44:56,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,,7,нет,Тбилиси,1 гр,0.0052,3187,1132,106,41.0,True,,,,,,,Hybrid Ana-sha 1G.
13,13,03-04-2020 13:44:56,Tbilisi,99accec7c7,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,True,5,нет,Тбилиси,1 гр,0.0968,54413,19320,1813,700.0,,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
14,14,03-04-2020 13:44:56,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,,2,нет,Тбилиси,1 гр,0.0761,42753,15180,1424,550.0,True,,,,,,,Metadon VHQ 1 24/7
15,15,03-04-2020 13:44:56,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,,2,нет,Тбилиси,1 гр,0.0272,15935,5658,531,205.0,True,,,,,,,VHQ BEST Cocaine 1g.
16,16,03-04-2020 13:44:56,Tbilisi,99accec7c7,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,True,7,нет,Тбилиси,1 гр,0.013999999999999999,7851,2788,262,101.0,,,,,,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
17,17,03-04-2020 13:44:56,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1132,69959,24840,2330,900.0,True,,,,,,,Metadon 1gr
18,18,03-04-2020 13:44:56,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",,4,нет,Тбилиси,1 гр,0.0025,1555,552,52,20.0,True,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
19,19,03-04-2020 13:44:56,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,2 гр,0.0095,5364,1904,179,69.0,True,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
20,20,03-04-2020 13:44:56,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,2,нет,Тбилиси,2 гр,0.0098,5441,1932,181,70.0,True,,,,,,,2x Extasy Duracell 223mg MDMA.
21,21,03-04-2020 13:44:56,Tbilisi,bb1791277e,CHEESE WEED BUDS+leaves 2gr saburtalo !!,,3,нет,Тбилиси,2 гр,0.0066,3731,1325,124,48.0,True,,,,,,,CHEESE WEED BUDS+leaves 2gr saburtalo !!
22,22,03-04-2020 13:44:56,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,True,15,нет,Тбилиси,2 гр,0.0044,2721,966,91,35.0,True,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
23,23,03-04-2020 13:44:56,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,2 гр,0.0044,2721,966,91,35.0,True,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
24,24,03-04-2020 13:44:56,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,1,нет,Тбилиси,3 гр,0.0152,8473,3008,282,109.0,True,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
25,25,03-04-2020 13:44:56,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0425,24874,8832,829,320.0,True,,,,,,,"5 Grm MDMA , Purity A +++"
26,26,03-04-2020 13:44:56,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,2,нет,Тбилиси,5 гр,0.0411,23320,8280,777,300.0,True,,,,,,,5 Grm Mdma Pure Quality A +++
27,27,03-04-2020 13:44:56,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,5 гр,0.0228,12826,4554,427,165.0,True,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
28,28,03-04-2020 13:44:56,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,,3,нет,Тбилиси,5 гр,0.0234,13137,4664,438,169.0,True,,,,,,,5gr Stardawg Auto WEED BUDS
29,29,03-04-2020 13:44:56,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (hight quality),True,2,нет,Тбилиси,5 гр,0.0185,10416,3698,347,134.0,,,,,,,,5gr marijuana buds -indica- (hight quality)
30,30,03-04-2020 13:44:56,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,5 гр,0.0245,13603,4830,453,175.0,True,,,,,,,5x Extasy Duracell 223mg MDMA.
31,31,03-04-2020 13:44:56,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,2,нет,Тбилиси,5 гр,0.0069,4275,1518,142,55.0,True,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
32,32,03-04-2020 13:44:56,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,True,2,нет,Тбилиси,6 гр,0.0101,6219,2208,207,80.0,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
33,33,03-04-2020 13:44:56,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",True,1,нет,Тбилиси,10 гр,0.0552,31015,11012,1033,399.0,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
34,34,03-04-2020 13:45:44,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0369,20755,7369,691,267.0,True,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
35,35,03-04-2020 13:45:44,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,2,нет,Тбилиси,10 гр,0.0107,6607,2346,220,85.0,True,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
36,36,03-04-2020 13:45:44,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.053,31093,11040,1036,400.0,True,,,,,,,gashish evro 10g
37,37,03-04-2020 13:45:44,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.10300000000000001,60398,21445,2012,777.0,True,,,,,,,Gashish Evro 20gr
38,38,03-04-2020 13:45:44,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.251,155465,55200,5179,2000.0,True,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
39,39,03-04-2020 13:45:44,Tbilisi,f8a875c191,METADON - 0.25 G.,,нет,15,Тбилиси,0.25 гр,0.0349,19433,6900,647,250.0,True,,,,,,,METADON - 0.25 G.
40,40,03-04-2020 13:45:44,Tbilisi,54915c4374,MDMA 1 гр,,нет,3,Тбилиси,1 гр,0.0138,8574,2986,283,,True,100.0,,,,,,MDMA 1 gr
41,41,03-04-2020 13:45:44,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.5 G (SALE),,нет,15,Тбилиси,1.5 гр,0.1046,58299,20700,1942,750.0,True,,,,,,,Metadon - (KRISTAL) - VHQ - 1.5 G (SALE)
42,42,03-04-2020 13:45:44,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,2,Тбилиси,2 гр,0.0279,15547,5520,518,200.0,True,,,,,,,✨✨2gram. MDMA✨✨
43,43,03-04-2020 13:45:44,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.0515,28683,10184,955,369.0,True,,,,,,,❄❄2g HQ COCAINE❄❄
44,44,03-04-2020 13:45:44,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0823,45862,16284,1528,590.0,True,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
45,45,03-04-2020 13:45:44,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0552,31093,11040,1036,400.0,True,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
46,46,03-04-2020 13:45:44,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,,нет,4,Тбилиси,5 гр,0.0221,12437,4416,414,160.0,True,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
47,47,03-04-2020 13:45:44,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0759,42753,15180,1424,550.0,True,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
48,48,03-04-2020 13:45:44,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,1,Тбилиси,5 гр,0.0233,13137,4664,438,169.0,True,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
49,49,03-04-2020 13:45:44,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,8,Тбилиси,5 гр,0.0235,13215,4692,440,170.0,True,,,,,,,5 gr Shishki “OG KUSH VHQ”
50,50,03-04-2020 13:45:44,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,1,Тбилиси,5 гр,0.0275,15469,5492,515,199.0,True,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
51,51,03-04-2020 13:45:44,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0275,15469,5492,515,199.0,True,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
52,52,03-04-2020 13:45:44,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.0275,15469,5492,515,199.0,True,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
53,53,03-04-2020 13:45:44,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0275,17023,6044,567,219.0,True,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
54,54,03-04-2020 13:45:44,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0418,23320,8280,777,300.0,True,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
55,55,03-04-2020 13:45:44,Tbilisi,f8a875c191,METADON - 5 G.,,нет,15,Тбилиси,5 гр,0.2092,116599,41400,3884,1500.0,True,,,,,,,METADON - 5 G.
56,56,03-04-2020 13:45:44,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0275,15469,5492,515,199.0,True,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
57,57,03-04-2020 13:45:44,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,12,Тбилиси,5 гр,0.0251,15547,5520,518,200.0,True,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
58,58,03-04-2020 13:45:44,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3068,190000,87429,6308,,True,,,,,,,reagent 25i nbome. 5gr
59,59,03-04-2020 13:45:44,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3766,233198,82800,7768,3000.0,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
60,60,03-04-2020 13:45:44,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,2,Тбилиси,5 гр,0.1212,67550,23984,2250,869.0,True,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
61,61,03-04-2020 13:45:44,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0265,14769,5244,492,190.0,True,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
62,62,03-04-2020 13:45:44,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0682,38011,13496,1266,489.0,True,,,,,,,💘✨5g. MDMA ✨💘
63,63,03-04-2020 13:45:44,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,6,Тбилиси,5 гр,0.0264,14691,5216,489,189.0,True,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
64,64,03-04-2020 13:45:44,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1243,69959,24840,2330,900.0,True,,,,,,,10 gr mdma Kristally ochen silni import s evropi
65,65,03-04-2020 13:45:44,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.0967,54413,19320,1813,700.0,True,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
66,66,03-04-2020 13:46:35,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.0967,54413,19320,1813,700.0,True,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
67,67,03-04-2020 13:46:35,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0442,24874,8832,829,320.0,True,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
68,68,03-04-2020 13:46:35,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1106,62186,22080,2071,800.0,True,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
69,69,03-04-2020 13:46:35,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3075,172955,61410,5761,2225.0,True,,,,,,,Amfetamin [White] [Import] 10G
70,70,03-04-2020 13:46:35,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),,нет,3,Тбилиси,10 гр,0.0139,8574,2986,283,,True,100.0,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
71,71,03-04-2020 13:46:35,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.2023,112634,39992,3752,1449.0,True,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
