,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,Old Tbilisi (Старый город),$,Saburtalo,Vake,Авлобари,Varketili,Батуми,Центр,desc_en
0,10-07-2020 06:38:57,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.25 гр,0.0117,7961,3049,273,99,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,10-07-2020 06:38:57,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25,,3,нет,Тбилиси,0.25 гр,0.012,8041,3080,275,100,True,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25
2,10-07-2020 06:38:57,Tbilisi,C36EL,TripGuru,NEW Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0108,7237,2772,248,90,True,,,,,,,,,NEW Iranian Sirec 0.25g.
3,10-07-2020 06:38:57,Tbilisi,NLKH,STARS,A PVP Белая мука высшего качества 0.33 г.,,1,нет,Тбилиси,0.33 гр,0.0138,9214,3536,316,,,True,130,,,,,,,A PVP Belaja muka vysshego kachestva 0.33 g.
4,10-07-2020 06:38:57,Tbilisi,6P9R,RickNMorty,New !!! VHQ Ketamine Imported!! New!!! 0.5G,,1,нет,Тбилиси,0.5 гр,0.0114,7655,2938,263,,True,,108,,,,,,,New !!! VHQ Ketamine Imported!! New!!! 0.5G
5,10-07-2020 06:38:57,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),,1,нет,Тбилиси,1 гр,0.0062,4182,1605,144,,,,59,True,,,,,,1G ---> Big Devil (BTC - Sale)
6,10-07-2020 06:38:57,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",,3,нет,Тбилиси,2 гр,0.0106,7797,2992,268,,True,,110,,True,,,,,"Hindu Kush (photoperiod, regular) 2gr"
7,10-07-2020 06:38:57,Tbilisi,3TGJ9,Elegant,3g. марихуана шишки Critical,,1,нет,Тбилиси,3 гр,0.0144,10632,4080,365,,True,,150,,,,,,,3g. marihuana shishki Critical
8,10-07-2020 06:38:57,Tbilisi,8B31,GEOWEEDSHOP,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,14,нет,Тбилиси,3 гр,0.0059,3898,1496,134,,True,,55,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
9,10-07-2020 06:38:57,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0231,17011,6528,584,,True,,240,,,,,,,5g. marihuana shishki Critical
10,10-07-2020 06:38:57,Tbilisi,8B31,GEOWEEDSHOP,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,10,нет,Тбилиси,5 гр,0.0074,4891,1877,168,,True,,69,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
11,10-07-2020 06:38:57,Tbilisi,5LZ,ExtraShop,5г. GEO Марихуана бошки,,6,нет,Тбилиси,5 гр,0.0143,10561,4053,363,,True,,149,,,,,,,5g. GEO Marihuana boshki
12,10-07-2020 06:38:57,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",True,1,нет,Тбилиси,5 гр,0.0231,17011,6528,584,,,,240,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
13,10-07-2020 06:38:57,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,9,нет,Тбилиси,5 гр,0.0053,3898,1496,134,,True,,55,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
14,10-07-2020 06:38:57,Tbilisi,A3I9,Joookerrr,марки н-боом 5шт.,,1,нет,Тбилиси,5 гр,0.0069,4607,1768,158,,,,65,True,,,,,,marki n-boom 5sht.
15,10-07-2020 06:38:57,Tbilisi,8B31,GEOWEEDSHOP,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,1,нет,Тбилиси,10 гр,0.0138,9144,3509,314,,True,,129,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
16,10-07-2020 06:38:57,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0462,31896,12240,1095,,True,,450,,,,,,,Gashish Evro 10gr
17,10-07-2020 06:38:57,Tbilisi,A3I9,Joookerrr,Марки н-боом 10 шт.,,1,нет,Тбилиси,10 гр,0.0106,7088,2720,243,,,,100,True,,,,,,Marki n-boom 10 sht.
18,10-07-2020 06:38:57,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0481,35440,13600,1217,,True,,500,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
19,10-07-2020 06:38:57,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0069,4607,1768,158,,True,,65,,,,,,,Silver haze leaves list'ja 15gr sale
20,10-07-2020 06:38:57,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2137,141760,54400,4866,,True,,2000,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
