,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Vake,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
25,25,27-05-2020 13:52:18,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,,2,нет,Тбилиси,50 гр,0.0079,5691,2174,192,80.0,True,,,,,,,,,,,GABAGAMA 50 SHTUK
26,26,27-05-2020 13:52:18,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.1984,142282,54360,4804,2000.0,True,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
27,27,27-05-2020 13:52:18,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,,1,нет,Тбилиси,150 гр,0.0184,13161,5028,444,185.0,True,,,,,,,,,,,GABAGAMA 150 shtuk
28,28,27-05-2020 13:52:18,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,5,Тбилиси,2 гр,0.0231,14940,5708,504,210.0,True,,,,,,,,,,,✨✨2gram. MDMA✨✨
29,29,27-05-2020 13:52:18,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,7,Тбилиси,2 гр,0.0407,26251,10029,886,369.0,True,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
30,30,27-05-2020 13:52:18,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0638,41191,15737,1391,579.0,True,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
31,31,27-05-2020 13:52:18,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0436,28456,10872,961,400.0,True,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
32,32,27-05-2020 13:52:18,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0153,9960,3805,336,140.0,,True,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
33,33,27-05-2020 13:53:04,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0599,39127,14949,1321,550.0,True,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
34,34,27-05-2020 13:53:04,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,9,Тбилиси,5 гр,0.0256,16718,6387,564,235.0,True,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
35,35,27-05-2020 13:53:04,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0261,17074,6523,576,240.0,True,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
36,36,27-05-2020 13:53:04,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.025,16362,6251,552,230.0,True,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
37,37,27-05-2020 13:53:04,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,1,Тбилиси,5 гр,0.0173,11311,4322,382,159.0,True,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
38,38,27-05-2020 13:53:04,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0261,17074,6523,576,240.0,True,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
39,39,27-05-2020 13:53:04,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0261,17074,6523,576,240.0,True,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
40,40,27-05-2020 13:53:04,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.025,16362,6251,552,230.0,True,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
41,41,27-05-2020 13:53:04,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0217,15580,5952,526,219.0,True,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
42,42,27-05-2020 13:53:04,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0256,16718,6387,564,235.0,True,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
43,43,27-05-2020 13:53:04,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,True,нет,4,Тбилиси,5 гр,0.0272,17785,6795,601,250.0,,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
44,44,27-05-2020 13:53:04,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2642,190000,87429,6418,,True,,,,,,,,,,,reagent 25i nbome. 5gr
45,45,27-05-2020 13:53:04,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2968,213422,81540,7206,3000.0,,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
46,46,27-05-2020 13:53:04,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.1054,68224,26066,2304,959.0,True,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
47,47,27-05-2020 13:53:04,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0209,13517,5164,456,190.0,True,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
48,48,27-05-2020 13:53:04,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,3,Тбилиси,5 гр,0.0537,34788,13291,1175,489.0,True,,,,,,,,,,,💘✨5g. MDMA ✨💘
