,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,03-06-2020 03:06:07,Tbilisi,OX85,amnesia420,"0,5g LEMON SKUNK (Hybrid, more Sativa)",True,11,нет,Тбилиси,0.5 гр,0.0031,2070,807,72,30,,,,,,,,,"0,5g LEMON SKUNK (Hybrid, more Sativa)"
1,03-06-2020 03:06:07,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,1 гр,0.0037,2414,942,84,35,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
2,03-06-2020 03:06:07,Tbilisi,JVZTQ,partyshop,1 г шишки марихуана индика тгк 21% VHQ,True,1,нет,Тбилиси,1 гр,0.0042,2759,1076,96,40,,,,,,,,,1 g shishki marihuana indika tgk 21% VHQ
3,03-06-2020 03:06:07,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0245,16211,6322,564,235,,,,,,,,,Cocaine Pure VHQ 1g
4,03-06-2020 03:06:07,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0855,62085,24210,2158,900,,,,,,,,,Metadon 1gr
5,03-06-2020 03:06:07,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0252,16487,6429,573,239,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
6,03-06-2020 03:06:07,Tbilisi,9VLN,AlienShop,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0115,7519,2932,261,109,True,,,,,,,,✨ 1g. MDMA ✨
7,03-06-2020 03:06:07,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,2,нет,Тбилиси,2 гр,0.0093,6140,2394,213,89,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
8,03-06-2020 03:06:07,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0111,7243,2825,252,105,,,,,,,,,3x Extasy Duracell 223mg MDMA
9,03-06-2020 03:06:07,Tbilisi,3TGJ9,Elegant,4g.марихуана шишки white widow,True,2,нет,Тбилиси,4 гр,0.0185,13452,5246,468,195,,,,,,,,,4g.marihuana shishki white widow
10,03-06-2020 03:06:07,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 4 шт. вес таблетки 450mg,True,1,нет,Тбилиси,4 гр,0.0112,7381,2878,257,107,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
11,03-06-2020 03:06:07,Tbilisi,V76M,Endorphin,Suboxene 4mg,True,1,нет,Тбилиси,4 гр,0.0055,3794,1480,132,55,,,,,,,,,Suboxene 4mg
12,03-06-2020 03:06:07,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.031,20695,8070,719,300,,,,,,,,,5 Grm Mdma Pure Quality A +++
13,03-06-2020 03:06:07,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,True,10,нет,Тбилиси,5 гр,0.0145,9589,3739,333,139,,,,,,,,,5 gr georgian weed. Package on magnet
14,03-06-2020 03:06:07,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.0228,16556,6456,576,240,,,,,,,,,5g. marihuana shishki Critical
15,03-06-2020 03:06:07,Tbilisi,BB6E,WEEDSH0P,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,10,нет,Тбилиси,5 гр,0.0062,4070,1587,141,59,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
16,03-06-2020 03:06:07,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0185,12072,4708,420,175,,,,,,,,,5x Extasy Duracell 223mg MDMA.
17,03-06-2020 03:06:07,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,True,4,нет,Тбилиси,10 гр,0.0281,18556,7236,645,269,,,,,,,,,10 gr georgian weed. Package on magnet
18,03-06-2020 03:06:07,Tbilisi,03F3,geoshop,10 gr марихуана листья top гибрид,True,9,нет,Тбилиси,10 гр,0.0104,6898,2690,240,100,,True,,,,,,,10 gr marihuana list'ja top gibrid
19,03-06-2020 03:06:07,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0475,34492,13450,1199,500,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
20,03-06-2020 03:06:07,Tbilisi,HWUW,opiopi,GABAGAMA 20 SHTUK,True,1,нет,Тбилиси,20 гр,0.0034,2483,968,86,36,,,,,,,,,GABAGAMA 20 SHTUK
21,03-06-2020 03:06:07,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0076,5519,2152,192,80,,,,,,,,,GABAGAMA 50 SHTUK
22,03-06-2020 03:06:07,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1899,137966,53800,4796,2000,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
23,03-06-2020 03:06:07,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 0.25 A+++ same day adress,True,нет,9,Тбилиси,0.25 гр,0.0042,2759,1076,96,40,,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++ same day adress
24,03-06-2020 03:06:07,Tbilisi,6KB,Marioshop,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3шт (0.27мг) BTC sale!💉⭕⚜,True,нет,5,Тбилиси,0.3 гр,0.0077,5174,2018,180,75,,,,,,,,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3sht (0.27mg) BTC sale!💉⭕⚜
25,03-06-2020 03:06:07,Tbilisi,A3I9,Joookerrr,Сирец (геройн) очень сильный 0.33 гр,True,нет,46,Тбилиси,0.33 гр,0.0157,10347,4035,360,150,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 0.33 gr
26,03-06-2020 03:06:07,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 0.5G A+++,True,нет,4,Тбилиси,0.5 гр,0.0068,4484,1749,156,65,,,,,,,,,VHQ MDMA Champagne Imported 0.5G A+++
27,03-06-2020 03:06:07,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 1G A+++,True,нет,5,Тбилиси,1 гр,0.012,7933,3094,276,115,,,,,,,,,VHQ MDMA Champagne Imported 1G A+++
28,03-06-2020 03:06:07,Tbilisi,A3I9,Joookerrr,Геройн (сирец) 1 гр,True,нет,20,Тбилиси,1 гр,0.0376,24834,9684,863,360,,,,,,,,,Gerojn (sirets) 1 gr
29,03-06-2020 03:06:07,Tbilisi,EIH4,San4oPan4o,!! Гашиш !! Hash 2g !!! BTC SALE 5%!!!!,True,нет,1,Тбилиси,2 гр,0.0174,11727,4573,408,170,,,,,,,,,!! Gashish !! Hash 2g !!! BTC SALE 5%!!!!
30,03-06-2020 03:06:07,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0222,14486,5649,504,210,,,,,,,,,✨✨2gram. MDMA✨✨
31,03-06-2020 03:06:07,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,6,Тбилиси,2 гр,0.0389,25455,9926,885,369,,,,,,,,,❄❄2g HQ COCAINE❄❄
32,03-06-2020 03:06:07,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0611,39941,15575,1389,579,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
33,03-06-2020 03:06:07,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0418,27593,10760,959,400,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
34,03-06-2020 03:07:01,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,3,2,Тбилиси,4 гр,0.0146,9658,3766,336,140,True,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
