,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Gldani,Old Tbilisi (Старый город),Didube,Vake,Tbilisis Zgva,Авлобари,Varketili,Батуми,Центр,desc_en
0,0,26-07-2020 21:35:19,Tbilisi,be97026d1d,!!Hash!! Гашиш 0.5г !!! BTC SALE 5%!!!!,True,2,нет,Тбилиси,0.5 гр,0.0067,4820,1891,161,58.0,,,,,,,,,,,,,!!Hash!! Gashish 0.5g !!! BTC SALE 5%!!!!
1,1,26-07-2020 21:35:19,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,15,нет,Тбилиси,0.5 гр,0.0034,2363,925,79,,True,33.0,,,,,,,,,,,0.5 gr HYBRID buds
2,2,26-07-2020 21:35:19,Tbilisi,21de5577be,0.5 gr. Lemon Haze (Sativa),True,3,нет,Тбилиси,0.5 гр,0.0032,2291,897,76,,,32.0,,,,,,,,,,,0.5 gr. Lemon Haze (Sativa)
3,3,26-07-2020 21:35:19,Tbilisi,64284550d9,0.5-G ---> Pineapple (BTC - Sale),True,19,нет,Тбилиси,0.5 гр,0.0028,2005,785,67,,,28.0,,,,,,,,,,,0.5-G ---> Pineapple (BTC - Sale)
4,4,26-07-2020 21:35:19,Tbilisi,ebadfc162f,BlueBerry Is Back 0.5G шишки !!!! LIMITED,,1,нет,Тбилиси,0.5 гр,0.0035,2506,981,84,,,35.0,True,,,,,,,,,,BlueBerry Is Back 0.5G shishki !!!! LIMITED
5,5,26-07-2020 21:35:19,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,,31,нет,Тбилиси,0.5 гр,0.003,2148,841,72,,True,30.0,,True,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
6,6,26-07-2020 21:35:19,Tbilisi,83f3d55917,(!!!NEW!!! 27 THC #VHQ# 1 G Phantom OG ),,1,нет,Тбилиси,1 гр,0.0055,3938,1541,131,,,55.0,,,True,,,,,,,,(!!!NEW!!! 27 THC #VHQ# 1 G Phantom OG )
7,7,26-07-2020 21:35:19,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,1 гр,0.0061,4296,1681,143,,,60.0,True,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
8,8,26-07-2020 21:35:19,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,3,нет,Тбилиси,1 гр,0.006,4224,1653,141,,,59.0,True,,,,,,,,,,1 G Hybrid Marijuana Buds
9,9,26-07-2020 21:35:19,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,1,нет,Тбилиси,1 гр,0.006,4224,1653,141,,True,59.0,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
10,10,26-07-2020 21:35:19,Tbilisi,0dec0e1c48,1gr HYBRID o.g,,4,нет,Тбилиси,1 гр,0.0049,3508,1373,117,,True,49.0,,,,,,,,,,,1gr HYBRID o.g
11,11,26-07-2020 21:35:19,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,1 гр,0.0049,3508,1373,117,,True,49.0,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
12,12,26-07-2020 21:35:19,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 1 гр. Спокойно, Надёжно, Качественно.",,3,нет,Тбилиси,1 гр,0.005,3938,1541,131,,True,55.0,,,,True,,,,,,,"Amnesia Haze (photoperiod, regular) 1 gr. Spokojno, Nadezhno, Kachestvenno."
13,13,26-07-2020 21:35:19,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,,1,нет,Тбилиси,1 гр,0.005,3938,1541,131,,True,55.0,,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
14,14,26-07-2020 21:35:19,Tbilisi,f374062dcd,Сирец Иран 1гр,,3,нет,Тбилиси,1 гр,0.0238,18615,7285,621,,True,260.0,,,,,,,,,,,Sirets Iran 1gr
15,15,26-07-2020 21:35:19,Tbilisi,f25c0d6c5c,Шишка добрая 1 g,,23,нет,Тбилиси,1 гр,0.005,3600,1657,120,,True,,,,,,,,,,,,Shishka dobraja 1 g
16,16,26-07-2020 21:35:19,Tbilisi,7c395c455d,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,6,нет,Тбилиси,1.2 гр,0.0121,8592,3362,287,,True,120.0,,,,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
17,17,26-07-2020 21:35:19,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,5,нет,Тбилиси,2 гр,0.01,7088,2774,237,,,99.0,True,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
18,18,26-07-2020 21:35:19,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,3,нет,Тбилиси,2 гр,0.011000000000000001,7804,3054,260,,,109.0,True,,,,,,,,,,2 G Hybrid Marijuana Buds
19,19,26-07-2020 21:35:19,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,2 гр,0.0121,8592,3362,287,,True,120.0,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
20,20,26-07-2020 21:35:19,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0121,8592,3362,287,,True,120.0,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
21,21,26-07-2020 21:35:19,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,,3,нет,Тбилиси,2 гр,0.0121,8592,3362,287,,True,120.0,,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
22,22,26-07-2020 21:35:19,Tbilisi,0dec0e1c48,2gr HYBRID buds,,5,нет,Тбилиси,2 гр,0.0089,6301,2466,210,,True,88.0,,,,,,,,,,,2gr HYBRID buds
23,23,26-07-2020 21:35:19,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,1,нет,Тбилиси,2 гр,0.0121,8592,3362,287,,True,120.0,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
24,24,26-07-2020 21:35:19,Tbilisi,7c395c455d,5 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 2g,,1,нет,Тбилиси,2 гр,0.0202,14319,5604,478,,True,200.0,,,,,,,,,,,5 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 2g
25,25,26-07-2020 21:35:19,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",,2,нет,Тбилиси,2 гр,0.0101,7876,3082,263,,,110.0,True,,,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
26,26,26-07-2020 21:35:19,Tbilisi,e771f4c371,Skunk 2G (23 % THC) FROM EUROPE,True,2,нет,Тбилиси,2 гр,0.0109,7733,3026,258,,,108.0,,,,,True,,,,,,Skunk 2G (23 % THC) FROM EUROPE
27,27,26-07-2020 21:35:19,Tbilisi,83f3d55917,!!! NEW !!! 3G Jack Herer(VHQ 24%THC),True,2,нет,Тбилиси,3 гр,0.0151,10740,4203,358,,,150.0,,,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC)
28,28,26-07-2020 21:35:19,Tbilisi,4a91350669,3 ecstasy red maseratti VHQ екстази импорт с США,,3,нет,Тбилиси,3 гр,0.0126,8950,3503,299,,True,125.0,,,,,,,,,,,3 ecstasy red maseratti VHQ ekstazi import s SShA
29,29,26-07-2020 21:35:19,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,1,нет,Тбилиси,3 гр,0.0024,1718,672,57,,,24.0,True,,,,,,,,,,Marijuana Super Skunk leaves 3g plan
30,30,26-07-2020 21:35:19,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm ❗❗❗(paybtc) only 90 $ only today ❗❗❗,,3,нет,Тбилиси,3 гр,0.0092,7160,2802,239,,True,100.0,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm ❗❗❗(paybtc) only 90 $ only today ❗❗❗
31,31,26-07-2020 21:35:19,Tbilisi,4a91350669,5 ecstasy red maseratti VHQ екстази импорт с США,,10,нет,Тбилиси,5 гр,0.0212,15035,5884,502,,True,210.0,,,,,,,,,,,5 ecstasy red maseratti VHQ ekstazi import s SShA
32,32,26-07-2020 21:35:19,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,нет,Тбилиси,5 гр,0.0282,20047,7846,669,,True,280.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
33,33,26-07-2020 21:35:19,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,5 гр,0.0272,19331,7565,645,,True,270.0,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
34,34,26-07-2020 21:35:19,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0179,13962,5464,466,,True,195.0,,,,,,,,,,,5g. marihuana shishki Critical
35,35,26-07-2020 21:35:19,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0269,19117,7481,638,,True,267.0,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
36,36,26-07-2020 21:36:30,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",,2,1,Тбилиси,5 гр,0.022000000000000002,17183,6725,574,,True,240.0,,,,,,True,,,,,"Hindu Kush (photoperiod, regular) 5gr"
37,37,26-07-2020 21:36:30,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram ❗❗❗(paybtc) only 250 $ only today ❗❗❗,,1,нет,Тбилиси,10 гр,0.0257,20047,7846,669,,True,280.0,,,,,,,,,,,Northern Lights Regular [budsonly] 10gram ❗❗❗(paybtc) only 250 $ only today ❗❗❗
38,38,26-07-2020 21:36:30,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2036,143195,56040,4780,,True,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
39,39,26-07-2020 21:36:30,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Тбилиси,1 гр,0.0366,25762,10106,859,310.0,True,,,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
