,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Vake,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,02-03-2020 02:30:02,Tbilisi,7R3WM,RastaShop,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),True,3,нет,Тбилиси,0.5 гр,0.0032,1943,716,65,29,,,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
1,02-03-2020 02:30:02,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),,4,нет,Тбилиси,0.8 гр,0.0168,10049,3705,336,150,True,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
2,02-03-2020 02:30:02,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,5,нет,Тбилиси,1 гр,0.0049,3216,1186,107,48,True,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
3,02-03-2020 02:30:02,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,8,нет,Тбилиси,1 гр,0.0056,3350,1235,112,50,True,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
4,02-03-2020 02:30:02,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,,3,нет,Тбилиси,1 гр,0.0671,40195,14820,1343,600,True,,,,,,,,,Metadon VHQ 1 24/7
5,02-03-2020 02:30:02,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),,1,нет,Тбилиси,1 гр,0.0199,12393,4570,414,185,True,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
6,02-03-2020 02:30:02,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 1гр.,,1,нет,Тбилиси,1 гр,0.0607,40000,18406,1336,,True,,,,,,,,,reagent 25i nbome. 1gr.
7,02-03-2020 02:30:02,Tbilisi,0WE,Khachapuri,2 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,2 гр,0.0201,12533,4609,419,,True,170,,,,,,,,2 gr mdma (skidka v bitkoin 5%)
8,02-03-2020 02:30:02,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!,True,2,нет,Тбилиси,2 гр,0.0354,21437,7904,717,320,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!
9,02-03-2020 02:30:02,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,,5,нет,Тбилиси,2 гр,0.0036,2345,865,78,35,,,True,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
