,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,€,Nadzaladevi,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
101,101,10-02-2020 02:49:37,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,5,Батуми,150 гр,0.2418,158680,61750,5441,2500.0,,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
102,102,10-02-2020 02:49:37,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0097,6347,2470,218,100.0,,,,,,,,,True,,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
103,103,10-02-2020 02:49:37,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0044,3174,1235,109,50.0,,,,,,,,,True,,,kur'er v Batumi
104,104,10-02-2020 02:49:37,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0044,3174,1235,109,50.0,,,,,,,,,True,,,Vakansija Kur'era v Batumi
105,105,10-02-2020 02:49:37,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0069,5000,2301,171,,,,,,,,,,True,,,Vakansija Kur'era v Batumi
106,106,10-02-2020 02:49:37,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0218,15868,6175,544,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
107,107,10-02-2020 02:49:37,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.4497,952080,370500,32643,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
108,108,10-02-2020 02:49:37,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0479,31736,12350,1088,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
109,109,10-02-2020 02:51:17,Kutaisi,d4df7908c3,"Шишки/weed OG Kush, (удобные клады в подъездах в центре) 1гр.",,нет,2,Кутаиси,1 гр,0.0036,2348,914,81,37.0,,,,,,,,,,,True,"Shishki/weed OG Kush, (udobnye klady v pod'ezdah v tsentre) 1gr."
110,110,10-02-2020 02:51:17,Kutaisi,d4df7908c3,"Шишки/Weeds OG Kush, 3g",,нет,3,Кутаиси,3 гр,0.0102,6665,2594,229,105.0,,,,,,,,,,,True,"Shishki/Weeds OG Kush, 3g"
111,111,10-02-2020 02:51:17,Kutaisi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0097,6347,2470,218,100.0,,,,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
