,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,€,Nadzaladevi,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
25,25,10-02-2020 02:47:09,Tbilisi,7ee4f68218,2 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,2 гр,0.0071,4874,1897,167,,,,,70.0,,,,,,,,2 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
26,26,10-02-2020 02:47:09,Tbilisi,21de5577be,2 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT,,1,нет,Тбилиси,2 гр,0.0077,5078,1976,174,80.0,,True,,,,,,,,,,2 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT
27,27,10-02-2020 02:47:09,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,2,нет,Тбилиси,2 гр,0.0348,22850,8892,783,360.0,,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
28,28,10-02-2020 02:47:09,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0068,4443,1729,152,70.0,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
29,29,10-02-2020 02:47:09,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0361,24437,9510,838,385.0,,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
30,30,10-02-2020 02:48:08,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.02,14599,5681,501,230.0,,,,,,,,,,,,NZT-52 mind storm limited 2g muka
31,31,10-02-2020 02:48:08,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,3,нет,Тбилиси,2 гр,0.0348,24056,9361,825,379.0,,,,,,,,,,,,Kokain HQ 2g.
32,32,10-02-2020 02:48:08,Tbilisi,013e75d78f,C O C A i N E 2 g +0.2 g падарка. SALE SALE SALE !!! BiG SALE BTC -10 %%%%,True,1,нет,Тбилиси,2.2 гр,0.0348,25389,9880,870,400.0,,,,,,,,,,,,C O C A i N E 2 g +0.2 g padarka. SALE SALE SALE !!! BiG SALE BTC -10 %%%%
33,33,10-02-2020 02:48:08,Tbilisi,ad9cb826c6,"3 Grm Mdma , Purity A +++",True,2,нет,Тбилиси,3 гр,0.0192,13964,5434,479,220.0,,,,,,,,,,,,"3 Grm Mdma , Purity A +++"
34,34,10-02-2020 02:48:08,Tbilisi,dd631c4acf,3г. SPEED Амфетамин стимулятор,True,1,нет,Тбилиси,3 гр,0.0096,6284,2445,215,99.0,,,,,,,,,,,,3g. SPEED Amfetamin stimuljator
35,35,10-02-2020 02:48:08,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0287,20946,8151,718,330.0,,,,,,,,,,,,NZT-52 mind storm limited 3g muka
36,36,10-02-2020 02:48:08,Tbilisi,9795761a65,*new* Cocaine peru HQ 5 gr BTC -10 %,True,2,нет,Тбилиси,5 гр,0.0848,61830,24065,2119,,,,,888.0,,,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
37,37,10-02-2020 02:48:08,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,2,нет,Тбилиси,5 гр,0.0145,9521,3705,326,150.0,,,,,,,,,,,,"LSD - 250 ug, 5 pieces"
38,38,10-02-2020 02:48:08,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,2,нет,Тбилиси,5 гр,0.0057,4126,1606,141,65.0,,,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
39,39,10-02-2020 02:48:08,Tbilisi,c225d2f67d,гашиш евро 5г,True,3,нет,Тбилиси,5 гр,0.0193,13329,5187,457,210.0,,,,,,,,,,,,gashish evro 5g
40,40,10-02-2020 02:48:08,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0368,25389,9880,870,400.0,,,,,,,,,,,,gashish evro 10g
41,41,10-02-2020 02:48:08,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,12,нет,Тбилиси,10 гр,0.0087,6347,2470,218,100.0,,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
42,42,10-02-2020 02:48:08,Tbilisi,9795761a65,* SALE * COCAINE Peru 11 gr BTC -50 %,True,2,нет,Тбилиси,11 гр,0.0884,116002,45149,3975,,,,,1666.0,,,,,,,,* SALE * COCAINE Peru 11 gr BTC -50 %
43,43,10-02-2020 02:48:08,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0714,49318,19192,1691,777.0,,,,,,,,,,,,Gashish Evro 20gr
44,44,10-02-2020 02:48:08,Tbilisi,9795761a65,* SALE *COCAINE Peru 20+2 gr BTC-50%,True,2,нет,Тбилиси,22 гр,0.1474,193359,75257,6625,,,,,2777.0,,,,,,,,* SALE *COCAINE Peru 20+2 gr BTC-50%
45,45,10-02-2020 02:48:08,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.0242,15868,6175,544,250.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
46,46,10-02-2020 02:48:08,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,1,5,Тбилиси,0.35 гр,0.0339,22215,8645,762,350.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
47,47,10-02-2020 02:48:08,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.057999999999999996,38083,14820,1306,600.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
48,48,10-02-2020 02:48:08,Tbilisi,7c395c455d,2 gr mdma Кристаллы очен силни импорт с европи,True,нет,2,Тбилиси,2 гр,0.0211,13964,5434,479,220.0,,,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
49,49,10-02-2020 02:48:08,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0383,25389,9880,870,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
50,50,10-02-2020 02:48:08,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,9,Тбилиси,5 гр,0.023,15233,5928,522,240.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
51,51,10-02-2020 02:48:08,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0239,15868,6175,544,250.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
52,52,10-02-2020 02:48:08,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1306,95208,37050,3264,1500.0,,,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
53,53,10-02-2020 02:48:08,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0239,15868,6175,544,250.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
54,54,10-02-2020 02:48:08,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0239,15868,6175,544,250.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
55,55,10-02-2020 02:48:08,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,4,Тбилиси,5 гр,0.0191,12631,4915,433,199.0,,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
56,56,10-02-2020 02:48:08,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0239,15868,6175,544,250.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
57,57,10-02-2020 02:48:08,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0191,13900,5409,477,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
58,58,10-02-2020 02:48:08,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0182,13266,5162,455,209.0,,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
59,59,10-02-2020 02:48:08,Tbilisi,851e5b91a0,"Jack Herer - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0182,13266,5162,455,209.0,,,,,,,,,,,,"Jack Herer - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
60,60,10-02-2020 02:48:08,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,5,Тбилиси,5 гр,0.0182,13266,5162,455,209.0,,,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
61,61,10-02-2020 02:48:08,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0239,15868,6175,544,250.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
62,62,10-02-2020 02:48:08,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.0174,12694,4940,435,200.0,,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
63,63,10-02-2020 02:48:38,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1924,140000,64421,4798,,,,,,,,,,,,,reagent 25i nbome. 5gr
64,64,10-02-2020 02:48:38,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2616,190416,74100,6529,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
65,65,10-02-2020 02:48:38,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,8,Тбилиси,5 гр,0.0474,31038,12078,1064,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
66,66,10-02-2020 02:48:38,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0174,11425,4446,392,180.0,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
67,67,10-02-2020 02:48:38,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0383,25325,9855,868,399.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
68,68,10-02-2020 02:48:38,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1744,126944,49400,4352,2000.0,,,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
