,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,€,desc_en
0,0,17-08-2020 02:24:18,Tbilisi,f374062dcd,Очень мощный Сирец из Ирана 0.3гр,True,10,нет,Тбилиси,0.3 гр,0.0069,6223,2346,209,85.0,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
1,1,17-08-2020 02:24:18,Tbilisi,8ddca45a78,"0,5G ☠️DURBAN POISON (100% sativa)",True,6,нет,Тбилиси,0.5 гр,0.0024,2123,800,71,29.0,,,,,,,,,,"0,5G ☠️DURBAN POISON (100% sativa)"
2,2,17-08-2020 02:24:18,Tbilisi,8ddca45a78,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,4,нет,Тбилиси,0.5 гр,0.0024,2123,800,71,29.0,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
3,3,17-08-2020 02:24:18,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,0.5 гр,0.0025,2196,828,74,30.0,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
4,4,17-08-2020 02:24:18,Tbilisi,69672fee0d,0.5 г Skunk #1 марихуана шишки тгк 29% VHQ,True,5,нет,Тбилиси,0.5 гр,0.0028,2416,911,81,33.0,,,,,,,,,,0.5 g Skunk #1 marihuana shishki tgk 29% VHQ
5,5,17-08-2020 02:24:18,Tbilisi,4a91350669,0.5 шишки Girl Scout Cookies тгк thc 28%,True,9,нет,Тбилиси,0.5 гр,0.0028,2416,911,81,33.0,,,,,,,,,,0.5 shishki Girl Scout Cookies tgk thc 28%
6,6,17-08-2020 02:24:18,Tbilisi,0dec0e1c48,0.5g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,1,нет,Тбилиси,0.5 гр,0.0024,2050,773,69,28.0,,,,,,,,,,0.5g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
7,7,17-08-2020 02:24:18,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,2,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55.0,,,,,,,,,,1 G Hybrid Marijuana Buds
8,8,17-08-2020 02:24:18,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,5,нет,Тбилиси,1 гр,0.0046,3954,1490,133,54.0,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
9,9,17-08-2020 02:24:18,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,3,нет,Тбилиси,1 гр,0.0051,4393,1656,147,60.0,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
10,10,17-08-2020 02:24:18,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,1,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55.0,,,,,,,,,,1 gr super lemon haze probnik
11,11,17-08-2020 02:24:18,Tbilisi,21de5577be,1 gr. 🍋☘️ Super Lemon Haze 🍋☘️ (Sativa/Indika 60%/40% ),,2,нет,Тбилиси,1 гр,0.0044,3807,1435,128,52.0,True,,,,,,,,,1 gr. 🍋☘️ Super Lemon Haze 🍋☘️ (Sativa/Indika 60%/40% )
12,12,17-08-2020 02:24:18,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,1 гр,0.0045,3880,1463,130,53.0,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
13,13,17-08-2020 02:24:18,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,1,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55.0,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
14,14,17-08-2020 02:24:18,Tbilisi,4659482266,1 г.Super Skunk top class buds! (подезд),,3,нет,Тбилиси,1 гр,0.0047,4027,1518,135,55.0,,True,,,,,,,,1 g.Super Skunk top class buds! (podezd)
15,15,17-08-2020 02:24:18,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,,2,нет,Тбилиси,1 гр,0.0049,4247,1601,142,58.0,,True,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
16,16,17-08-2020 02:24:18,Tbilisi,e56bb6ca93,1g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY),True,6,нет,Тбилиси,1 гр,0.004,3441,1297,115,47.0,,,,,,,,,,1g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY)
17,17,17-08-2020 02:24:18,Tbilisi,0dec0e1c48,1g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,7,нет,Тбилиси,1 гр,0.0041,3514,1325,118,48.0,,,,,,,,,,1g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
18,18,17-08-2020 02:24:18,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,7,нет,Тбилиси,1 гр,0.0041,3588,1352,120,49.0,,,,,,,,,,1gr HYBRID o.g
19,19,17-08-2020 02:24:18,Tbilisi,bb1791277e,1gr Stardawg Auto WEED BUDS,True,5,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55.0,,,,,,,,,,1gr Stardawg Auto WEED BUDS
