,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Gldani,Saburtalo,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,13-03-2020 17:28:24,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,7,нет,Тбилиси,0.25 гр,0.0267,13906,5094,446,190.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
1,1,13-03-2020 17:28:24,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.30 G,True,3,3,Тбилиси,0.3 гр,0.0468,21956,8043,704,300.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
2,2,13-03-2020 17:28:24,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0147,7246,2654,232,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
3,3,13-03-2020 17:28:24,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0161,7978,2922,256,109.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
4,4,13-03-2020 17:28:24,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,11,нет,Тбилиси,0.5 гр,0.0046,2196,804,70,30.0,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
5,5,13-03-2020 17:28:24,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,4,нет,Тбилиси,0.5 гр,0.0154,7246,2654,232,99.0,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
6,6,13-03-2020 17:28:24,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,3,нет,Тбилиси,1 гр,0.006999999999999999,3659,1341,117,50.0,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
7,7,13-03-2020 17:28:24,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,9,нет,Тбилиси,1 гр,0.0131,6221,2279,200,85.0,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
8,8,13-03-2020 17:28:24,Tbilisi,cb721d4bca,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0147,6958,2546,225,,85.0,,,,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
9,9,13-03-2020 17:28:24,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,6,нет,Тбилиси,1 гр,0.0131,6221,2279,200,85.0,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
10,10,13-03-2020 17:28:24,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,1 гр,0.0157,7777,2845,251,,95.0,,,,,,,,,,1gr mdma (skidka v bitkoin 5%)
11,11,13-03-2020 17:28:24,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,17,нет,Тбилиси,1 гр,0.0231,10978,4022,352,150.0,,,,,,,,,,,Apvp VHQ 1g 24/7
