,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,€,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
0,0,21-07-2020 13:19:25,Tbilisi,21de5577be,0.5 gr. Afghan kush (Indika),True,4,нет,Тбилиси,0.5 гр,0.0032,2159,834,72,30.0,,,,,,,,,,,0.5 gr. Afghan kush (Indika)
1,1,21-07-2020 13:19:25,Tbilisi,16a8841259,0.5г Northen Light,,1,нет,Тбилиси,0.5 гр,0.0033,2231,862,74,31.0,True,,,,,,,,,,0.5g Northen Light
2,2,21-07-2020 13:19:25,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,,5,нет,Тбилиси,0.5 гр,0.0036,2447,945,82,34.0,True,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
3,3,21-07-2020 13:19:25,Tbilisi,52fe6d0af9,New !!! VHQ Ketamine Imported!! New!!! 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0114,7772,3002,259,108.0,,,,,,,,,,,New !!! VHQ Ketamine Imported!! New!!! 0.5G
4,4,21-07-2020 13:19:25,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,4,нет,Тбилиси,1 гр,0.0063,4318,1668,144,60.0,True,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
5,5,21-07-2020 13:19:25,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,1 гр,0.0062,4246,1640,142,59.0,True,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
6,6,21-07-2020 13:19:25,Tbilisi,21de5577be,1.0 gr. Afghan kush (Indika),True,5,нет,Тбилиси,1 гр,0.0056,3814,1473,127,53.0,,,,,,,,,,,1.0 gr. Afghan kush (Indika)
7,7,21-07-2020 13:19:25,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,1,нет,Тбилиси,1 гр,0.0063,4318,1668,144,60.0,True,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
8,8,21-07-2020 13:19:25,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,,4,нет,Тбилиси,1 гр,0.0053,3958,1529,132,55.0,True,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
9,9,21-07-2020 13:19:25,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,6,нет,Тбилиси,2 гр,0.0127,8636,3336,288,120.0,True,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
