,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Varketili,Дигоми,Saburtalo,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Батуми,€,Центр,desc_en
0,0,15-08-2020 05:12:36,Tbilisi,f374062dcd,Очень мощный Сирец из Ирана 0.3гр,True,10,нет,Тбилиси,0.3 гр,0.0064,5857,2208,197,80.0,,,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
1,1,15-08-2020 05:12:36,Tbilisi,8ddca45a78,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)",True,2,нет,Тбилиси,0.5 гр,0.0024,2123,800,71,29.0,,,,,,,,,,,,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)"
2,2,15-08-2020 05:12:36,Tbilisi,8ddca45a78,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)",True,3,нет,Тбилиси,0.5 гр,0.0024,2123,800,71,29.0,,,,,,,,,,,,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)"
3,3,15-08-2020 05:12:36,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),True,2,нет,Тбилиси,0.5 гр,0.0019,1684,635,57,23.0,,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
4,4,15-08-2020 05:12:36,Tbilisi,0dec0e1c48,0.5g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,2,нет,Тбилиси,0.5 гр,0.0024,2050,773,69,28.0,,,,,,,,,,,,0.5g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
5,5,15-08-2020 05:12:36,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,5,нет,Тбилиси,0.5 гр,0.0021,1830,690,61,25.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
6,6,15-08-2020 05:12:36,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,4,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds
7,7,15-08-2020 05:12:36,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,10,нет,Тбилиси,1 гр,0.0045,3954,1490,133,54.0,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,8,15-08-2020 05:12:36,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,8,нет,Тбилиси,1 гр,0.005,4393,1656,147,60.0,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
9,9,15-08-2020 05:12:36,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,5,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55.0,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
